age,body_type,diet,drinks,drugs,education,ethnicity,height,income,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status,job
28,average,mostly anything,socially,,working on college/university,black,72,,"san pablo, california",,straight,likes dogs,agnosticism and laughing about it,m,cancer but it doesn&rsquo;t matter,when drinking,"english (fluently), spanish (poorly)",seeing someone,non_stem
36,skinny,anything,socially,sometimes,graduated from college/university,white,69,60000,"oakland, california",doesn&rsquo;t have kids,straight,,,m,aries and it&rsquo;s fun to think about,no,english,single,non_stem
42,thin,mostly anything,not at all,never,graduated from college/university,white,66,,"berkeley, california",has a kid,straight,has cats,agnosticism and very serious about it,f,capricorn but it doesn&rsquo;t matter,no,"english, spanish (okay)",single,student
44,average,anything,socially,,graduated from masters program,white,66,,"san francisco, california",,straight,,agnosticism but not too serious about it,f,taurus,no,english,single,non_stem
20,athletic,mostly kosher,socially,sometimes,working on college/university,"pacific islander, hispanic / latin",69,,"long beach, california",,straight,likes dogs and likes cats,buddhism but not too serious about it,m,leo and it&rsquo;s fun to think about,sometimes,"english (fluently), tagalog (fluently)",single,non_stem
53,average,,rarely,,masters program,,66,,"san francisco, california",has kids,straight,has cats,,f,pisces,no,"english (fluently), spanish (poorly)",single,non_stem
29,athletic,,socially,never,graduated from masters program,,69,150000,"san francisco, california",,straight,dislikes dogs and dislikes cats,agnosticism,m,cancer,no,"english (fluently), spanish (okay), german (poorly)",single,non_stem
36,average,strictly anything,often,never,,"black, hispanic / latin",66,50000,"san francisco, california",,gay,,other,f,cancer,when drinking,english,single,non_stem
41,thin,,rarely,never,,white,70,,"martinez, california",doesn&rsquo;t want kids,straight,likes dogs and has cats,,m,sagittarius,sometimes,english,single,non_stem
56,average,mostly vegetarian,socially,never,graduated from college/university,white,66,50000,"san anselmo, california",,straight,has cats,buddhism and laughing about it,f,leo but it doesn&rsquo;t matter,no,english (fluently),single,non_stem
26,skinny,mostly anything,socially,,graduated from college/university,white,68,40000,"menlo park, california",,straight,has dogs,,f,scorpio,when drinking,"english, spanish (poorly)",single,stem
24,average,,rarely,,working on ph.d program,,69,,"berkeley, california",,straight,likes dogs,atheism and very serious about it,m,taurus but it doesn&rsquo;t matter,when drinking,"english (fluently), french (okay), german (poorly)",single,non_stem
47,fit,,socially,,graduated from masters program,white,67,,"san francisco, california",has a kid,straight,likes dogs and has cats,judaism but not too serious about it,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), french (poorly), spanish (poorly)",single,non_stem
27,average,strictly anything,socially,never,,white,69,,"oakland, california",,straight,,other and very serious about it,m,sagittarius but it doesn&rsquo;t matter,yes,english,single,non_stem
45,average,anything,socially,never,graduated from college/university,indian,68,,"san francisco, california",,straight,,,f,,no,english (fluently),single,non_stem
47,average,,often,sometimes,working on college/university,hispanic / latin,74,,"san francisco, california",doesn&rsquo;t want kids,bisexual,likes dogs and has cats,agnosticism and somewhat serious about it,m,leo and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single,non_stem
31,fit,,socially,never,working on ph.d program,white,64,,"san francisco, california",,straight,,agnosticism and laughing about it,f,aquarius but it doesn&rsquo;t matter,no,english (fluently),single,stem
25,athletic,anything,socially,sometimes,graduated from college/university,"hispanic / latin, white",69,,"redwood city, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and has cats,judaism and somewhat serious about it,m,taurus and it&rsquo;s fun to think about,no,"english (fluently), hebrew (poorly), spanish (poorly)",single,non_stem
33,fit,mostly anything,socially,never,graduated from masters program,white,66,,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,,f,,no,"english, italian (okay), spanish (poorly)",single,non_stem
34,fit,,socially,never,graduated from masters program,white,67,,"san francisco, california",,straight,,,f,taurus,no,"english (fluently), spanish (okay), french (okay)",single,non_stem
29,fit,mostly anything,often,never,graduated from masters program,white,72,,"san francisco, california",,straight,likes dogs,,m,scorpio,no,english,single,stem
44,average,mostly other,rarely,never,graduated from masters program,white,66,,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,,other and laughing about it,f,aquarius and it&rsquo;s fun to think about,no,english (fluently),single,non_stem
30,average,mostly anything,rarely,never,,"hispanic / latin, white",69,,"oakland, california",,straight,likes dogs and likes cats,other but not too serious about it,m,,no,english,single,stem
42,thin,strictly anything,socially,sometimes,graduated from college/university,white,68,,"san francisco, california",,straight,has cats,other and laughing about it,m,aries but it doesn&rsquo;t matter,no,"english (fluently), french (okay)",available,stem
24,average,strictly anything,socially,never,working on college/university,white,73,,"oakland, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,agnosticism but not too serious about it,m,aries and it&rsquo;s fun to think about,trying to quit,"english (fluently), spanish (poorly)",single,non_stem
32,fit,mostly vegetarian,socially,never,working on masters program,,74,40000,"san francisco, california",has a kid,straight,,,m,libra,no,english,single,non_stem
32,fit,anything,socially,never,graduated from masters program,asian,68,,"san mateo, california",,straight,likes dogs,buddhism,m,aries,no,english,single,stem
26,fit,mostly vegetarian,socially,,graduated from college/university,hispanic / latin,61,,"san francisco, california",,straight,has dogs and likes cats,buddhism,f,virgo,no,english,single,non_stem
33,fit,mostly anything,socially,,graduated from college/university,white,74,,"san rafael, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism,m,gemini but it doesn&rsquo;t matter,no,english,single,non_stem
30,a little extra,,socially,never,working on college/university,"black, white, other",72,40000,"san francisco, california",has a kid,straight,likes dogs and likes cats,other but not too serious about it,m,aries and it&rsquo;s fun to think about,no,"english, spanish",single,non_stem
31,average,mostly anything,socially,,graduated from high school,other,66,,"el sobrante, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,,m,cancer and it&rsquo;s fun to think about,,english,single,stem
24,full figured,,rarely,never,graduated from college/university,"asian, white, other",62,,"berkeley, california",,straight,likes dogs,,f,,no,"english (fluently), japanese (poorly), chinese (poorly), spanish (poorly)",single,non_stem
40,fit,,socially,never,graduated from college/university,white,62,100000,"martinez, california",has kids,straight,has dogs,,f,leo and it&rsquo;s fun to think about,no,english (fluently),single,non_stem
30,curvy,strictly vegetarian,socially,never,graduated from ph.d program,indian,64,,"san francisco, california",,straight,,,f,libra but it doesn&rsquo;t matter,no,english,single,non_stem
38,fit,strictly anything,socially,never,masters program,white,69,,"san francisco, california",,straight,likes dogs and likes cats,christianity but not too serious about it,m,scorpio and it&rsquo;s fun to think about,no,english,single,non_stem
42,average,,rarely,never,graduated from masters program,other,67,50000,"berkeley, california",,gay,dislikes dogs,judaism and very serious about it,f,capricorn but it doesn&rsquo;t matter,no,"english, spanish (fluently), hebrew (okay)",single,non_stem
27,overweight,,rarely,,working on college/university,other,59,,"benicia, california","doesn&rsquo;t have kids, but might want them",bisexual,has dogs,agnosticism and laughing about it,f,sagittarius and it&rsquo;s fun to think about,no,"english, tagalog (poorly)",single,non_stem
39,curvy,,socially,,college/university,white,68,,"san francisco, california",,straight,,agnosticism,f,aries and it&rsquo;s fun to think about,no,"english, german",single,non_stem
33,average,,often,never,graduated from college/university,white,73,,"oakland, california",,straight,,agnosticism and somewhat serious about it,m,aquarius but it doesn&rsquo;t matter,no,english,single,stem
35,fit,,socially,never,graduated from masters program,white,67,,"san francisco, california",,straight,,,f,sagittarius but it doesn&rsquo;t matter,no,"english (fluently), french (fluently)",single,non_stem
42,average,mostly vegetarian,socially,,graduated from college/university,white,69,,"san francisco, california",,straight,likes dogs and has cats,agnosticism but not too serious about it,f,aquarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single,stem
42,athletic,mostly halal,very often,often,graduated from ph.d program,black,74,250000,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,dislikes dogs and dislikes cats,islam and laughing about it,m,,yes,"english (fluently), portuguese (poorly)",single,non_stem
31,fit,mostly anything,socially,,graduated from ph.d program,"pacific islander, white",69,,"redwood city, california",has a kid,straight,has dogs and likes cats,agnosticism and laughing about it,m,capricorn and it&rsquo;s fun to think about,no,"english, french (poorly)",single,stem
26,athletic,anything,socially,never,graduated from college/university,hispanic / latin,67,,"san francisco, california",doesn&rsquo;t have kids,straight,,catholicism,m,aquarius,no,"english, spanish",single,non_stem
44,athletic,,socially,never,graduated from space camp,other,70,1000000,"san francisco, california",,straight,,other and somewhat serious about it,m,scorpio and it&rsquo;s fun to think about,no,"english (fluently), c++ (poorly), german (fluently), khmer (fluently), mongolian (fluently)",available,non_stem
26,fit,mostly anything,socially,never,working on college/university,white,69,,"stanford, california",,straight,likes dogs,atheism and somewhat serious about it,m,aries and it&rsquo;s fun to think about,no,"english (fluently), french (fluently), russian (fluently), chinese (poorly)",single,student
30,average,anything,socially,sometimes,graduated from college/university,white,71,70000,"san francisco, california",,straight,likes dogs and likes cats,other but not too serious about it,m,aquarius but it doesn&rsquo;t matter,no,english (fluently),available,stem
33,curvy,,socially,never,graduated from college/university,white,67,,"mountain view, california",,straight,likes dogs and likes cats,agnosticism but not too serious about it,f,scorpio and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",available,non_stem
29,average,mostly vegetarian,often,sometimes,,asian,64,,"san francisco, california",,straight,likes dogs and likes cats,atheism and somewhat serious about it,m,capricorn but it doesn&rsquo;t matter,no,english (fluently),single,non_stem
48,fit,,rarely,never,graduated from masters program,white,69,,"san francisco, california",doesn&rsquo;t want kids,straight,,other and laughing about it,m,,no,english,single,stem
30,fit,mostly anything,rarely,never,dropped out of college/university,white,67,,"san mateo, california",,straight,,catholicism but not too serious about it,m,virgo and it&rsquo;s fun to think about,no,english,single,non_stem
26,,,socially,never,graduated from college/university,white,70,,"berkeley, california",doesn&rsquo;t want kids,gay,,christianity and laughing about it,f,,no,english,single,stem
28,,,socially,sometimes,dropped out of college/university,,74,,"san francisco, california",,straight,likes cats,,m,leo and it&rsquo;s fun to think about,no,english (fluently),single,stem
27,average,,often,sometimes,working on college/university,white,75,30000,"san francisco, california",,straight,has dogs and likes cats,agnosticism but not too serious about it,m,taurus and it&rsquo;s fun to think about,yes,english (fluently),single,non_stem
35,fit,anything,socially,never,graduated from college/university,white,75,60000,"san francisco, california",,gay,,other and laughing about it,m,gemini but it doesn&rsquo;t matter,no,english,single,non_stem
25,jacked,,socially,,graduated from masters program,white,66,,"san francisco, california",,gay,likes dogs and has cats,,f,,no,english,single,student
39,fit,anything,socially,,graduated from masters program,white,60,,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and has cats,,f,aries,no,english,single,non_stem
35,fit,,socially,,,"asian, pacific islander",68,,"san francisco, california",,straight,,,m,aries and it&rsquo;s fun to think about,no,"english (fluently), tagalog (okay), french (poorly), spanish (poorly)",single,non_stem
61,average,,rarely,never,graduated from masters program,white,63,,"berkeley, california",has kids,straight,has dogs and has cats,judaism but not too serious about it,f,scorpio and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single,non_stem
28,average,,socially,never,graduated from college/university,white,70,,"mountain view, california",doesn&rsquo;t have kids,straight,has dogs,,m,,no,english,single,non_stem
26,curvy,mostly vegetarian,rarely,,working on two-year college,,66,20000,"san francisco, california",doesn&rsquo;t want kids,bisexual,has dogs and likes cats,atheism and laughing about it,f,libra and it&rsquo;s fun to think about,no,english,available,non_stem
46,average,,socially,never,graduated from college/university,white,69,,"fremont, california",has kids,straight,likes dogs,other,f,aquarius,no,english (fluently),single,non_stem
25,curvy,strictly other,socially,never,graduated from college/university,hispanic / latin,62,,"palo alto, california","doesn&rsquo;t have kids, but wants them",straight,has dogs and has cats,christianity and very serious about it,f,capricorn and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently), italian (poorly)",single,non_stem
22,fit,strictly anything,socially,never,working on college/university,asian,66,,"berkeley, california","doesn&rsquo;t have kids, but wants them",gay,likes dogs and dislikes cats,catholicism and somewhat serious about it,m,taurus and it&rsquo;s fun to think about,no,"english (fluently), tagalog (okay), spanish (okay), korean (poorly)",single,student
38,average,mostly anything,socially,never,graduated from masters program,asian,66,,"san francisco, california",,straight,,agnosticism and laughing about it,f,scorpio,no,"english (fluently), chinese (fluently), french (poorly), japanese (poorly)",single,non_stem
48,athletic,,socially,never,graduated from ph.d program,white,69,,"berkeley, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and dislikes cats,agnosticism,m,,no,"english, spanish, french, hebrew",single,non_stem
28,athletic,mostly vegetarian,socially,,graduated from college/university,other,69,1000000,"san francisco, california",,straight,likes dogs and likes cats,other and laughing about it,m,aquarius and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay), hebrew (poorly), portuguese (poorly)",single,non_stem
32,athletic,mostly other,socially,never,graduated from college/university,"asian, hispanic / latin",69,,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes cats,,m,libra and it&rsquo;s fun to think about,no,english (fluently),single,stem
44,athletic,mostly other,socially,never,graduated from two-year college,white,72,,"martinez, california",,straight,has dogs and likes cats,other and laughing about it,m,pisces and it&rsquo;s fun to think about,no,"english (fluently), german (fluently)",available,non_stem
31,thin,mostly anything,rarely,never,graduated from college/university,asian,73,,"emeryville, california",,straight,likes dogs and likes cats,atheism but not too serious about it,m,libra but it doesn&rsquo;t matter,no,english (fluently),single,non_stem
42,a little extra,strictly anything,socially,never,dropped out of college/university,,74,,"redwood city, california",doesn&rsquo;t want kids,straight,likes dogs and has cats,agnosticism and laughing about it,m,capricorn and it&rsquo;s fun to think about,when drinking,"english (fluently), italian (poorly), german (okay), spanish (poorly)",seeing someone,stem
51,curvy,other,not at all,never,graduated from masters program,white,62,,"montara, california",doesn&rsquo;t have kids,straight,has dogs,other,f,leo but it doesn&rsquo;t matter,no,"english (fluently), greek (okay)",single,non_stem
40,average,,often,never,graduated from college/university,asian,69,,"oakland, california",doesn&rsquo;t want kids,straight,,atheism and laughing about it,m,,no,"english (fluently), korean (fluently)",single,non_stem
27,fit,strictly anything,socially,,dropped out of ph.d program,white,72,,"san francisco, california",,straight,likes dogs,atheism but not too serious about it,m,sagittarius but it doesn&rsquo;t matter,no,english,single,stem
20,athletic,strictly anything,not at all,never,working on college/university,white,68,,"burlingame, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,other and laughing about it,m,gemini but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single,student
25,athletic,mostly anything,socially,never,graduated from masters program,asian,67,80000,"san francisco, california",,straight,,buddhism but not too serious about it,m,virgo and it&rsquo;s fun to think about,when drinking,english,single,non_stem
47,thin,,rarely,never,graduated from college/university,white,75,70000,"berkeley, california",has a kid,straight,likes dogs and likes cats,,m,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), latin (poorly)",married,non_stem
26,athletic,anything,socially,never,graduated from masters program,indian,71,,"san francisco, california",,straight,likes dogs and dislikes cats,other,m,taurus,no,"english (fluently), other (fluently), spanish (fluently)",single,non_stem
42,,,socially,,graduated from college/university,indian,68,100000,"san francisco, california",,straight,likes dogs,atheism and laughing about it,m,aries and it&rsquo;s fun to think about,no,"english (fluently), german, c++ (fluently), other",single,stem
50,average,anything,socially,,graduated from college/university,white,72,,"el cerrito, california","doesn&rsquo;t have kids, but wants them",straight,has dogs and likes cats,other but not too serious about it,m,libra but it doesn&rsquo;t matter,no,"english (fluently), french (okay), spanish (poorly)",single,non_stem
40,average,mostly anything,socially,never,graduated from high school,white,67,80000,"pacifica, california",,straight,has dogs and likes cats,other and laughing about it,m,scorpio and it&rsquo;s fun to think about,sometimes,english (fluently),single,stem
35,curvy,,socially,never,graduated from college/university,white,67,,"palo alto, california",,straight,has dogs,christianity but not too serious about it,f,pisces and it&rsquo;s fun to think about,no,"english (fluently), french (poorly)",single,non_stem
29,thin,,socially,sometimes,graduated from college/university,,71,,"san francisco, california",,straight,,,m,,no,english,single,non_stem
40,fit,,often,,graduated from ph.d program,indian,70,100000,"albany, california",,straight,likes dogs and likes cats,atheism,m,virgo,no,english,single,non_stem
31,average,,socially,never,graduated from college/university,other,68,,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,,christianity,f,virgo,no,english,single,non_stem
27,athletic,mostly anything,often,sometimes,graduated from college/university,asian,67,,"san francisco, california",,straight,,buddhism but not too serious about it,m,aries but it doesn&rsquo;t matter,when drinking,"english (fluently), japanese (okay), french (poorly)",single,non_stem
30,athletic,mostly anything,socially,,graduated from college/university,white,74,,"oakland, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,,other and laughing about it,m,aries and it&rsquo;s fun to think about,sometimes,"english (fluently), c++ (poorly), spanish (poorly)",single,non_stem
30,fit,anything,socially,never,,hispanic / latin,69,,"burlingame, california",,gay,has dogs,christianity,m,virgo,no,english,single,non_stem
28,fit,,socially,sometimes,working on college/university,white,69,20000,"san francisco, california",,straight,likes dogs and likes cats,atheism and laughing about it,m,pisces but it doesn&rsquo;t matter,no,english,single,student
24,thin,,socially,never,working on two-year college,"hispanic / latin, white",68,,"berkeley, california",,straight,has dogs and likes cats,other but not too serious about it,f,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single,non_stem
34,thin,mostly vegetarian,socially,never,graduated from college/university,asian,62,,"san francisco, california",,straight,likes dogs,buddhism,f,pisces but it doesn&rsquo;t matter,no,english,single,non_stem
23,thin,anything,socially,never,graduated from college/university,white,74,,"san francisco, california",,straight,likes cats,atheism and very serious about it,m,aquarius but it doesn&rsquo;t matter,no,"english (fluently), c++ (fluently), lisp (okay), french (poorly)",available,stem
34,curvy,,rarely,never,graduated from college/university,,62,,"corte madera, california",,straight,likes dogs and likes cats,agnosticism,f,taurus and it&rsquo;s fun to think about,no,"english (fluently), italian (poorly), spanish (poorly)",single,non_stem
19,athletic,,,never,,white,71,20000,"novato, california",,straight,,,m,scorpio,,english,single,non_stem
30,,mostly vegan,socially,,,hispanic / latin,64,,"san francisco, california",,gay,,,f,cancer and it&rsquo;s fun to think about,trying to quit,"english (fluently), spanish (fluently), italian (poorly)",single,stem
56,curvy,,socially,,ph.d program,,60,,"oakland, california",,straight,likes dogs and likes cats,other and very serious about it,f,,no,"english, spanish (fluently), other (fluently)",single,non_stem
30,athletic,mostly anything,socially,never,graduated from college/university,asian,64,,"san mateo, california","doesn&rsquo;t have kids, but wants them",straight,has cats,christianity and somewhat serious about it,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single,non_stem
29,average,mostly anything,socially,never,working on college/university,"hispanic / latin, white",66,50000,"san francisco, california",,straight,likes dogs,catholicism and laughing about it,m,pisces and it&rsquo;s fun to think about,no,english,single,non_stem
26,fit,anything,socially,never,graduated from college/university,white,65,,"san francisco, california",,straight,likes dogs,,f,,no,"english (fluently), spanish",single,non_stem
23,,,socially,never,graduated from college/university,white,73,,"san francisco, california",,straight,likes dogs and likes cats,,f,,no,english,single,stem
45,fit,strictly anything,socially,never,graduated from masters program,white,65,,"san francisco, california",,straight,likes dogs and likes cats,other,f,leo and it&rsquo;s fun to think about,no,"english, german (fluently), spanish (fluently), french (okay), portuguese (poorly)",single,non_stem
44,athletic,,socially,never,graduated from masters program,white,67,,"san francisco, california",has a kid,straight,has dogs,christianity,f,capricorn,no,"english (okay), russian (fluently), french (poorly), german (poorly)",single,non_stem
27,fit,mostly anything,socially,,working on masters program,hispanic / latin,69,,"stanford, california",,gay,,christianity but not too serious about it,m,scorpio but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",single,student
32,fit,strictly anything,not at all,sometimes,graduated from college/university,white,70,,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and has cats,atheism and laughing about it,m,taurus and it&rsquo;s fun to think about,no,english (fluently),single,non_stem
41,average,mostly anything,socially,never,graduated from college/university,asian,69,,"san francisco, california",,straight,,,m,capricorn,no,english,single,stem
38,average,,socially,never,graduated from masters program,white,69,150000,"palo alto, california",,straight,,atheism and somewhat serious about it,m,aquarius but it doesn&rsquo;t matter,no,"english (fluently), russian (fluently), hebrew (fluently)",single,stem
40,fit,mostly anything,socially,,graduated from college/university,hispanic / latin,66,,"san francisco, california",,straight,likes dogs and has cats,,m,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",single,stem
57,,,socially,sometimes,,white,71,,"san francisco, california",,straight,has dogs,,m,cancer,no,english,single,non_stem
28,thin,,socially,,graduated from masters program,white,69,,"menlo park, california","doesn&rsquo;t have kids, but wants them",straight,has dogs and likes cats,agnosticism,f,aquarius but it doesn&rsquo;t matter,no,english,single,stem
28,fit,,socially,,graduated from college/university,white,72,,"walnut creek, california",,straight,has dogs and likes cats,christianity and laughing about it,m,virgo and it&rsquo;s fun to think about,no,"english (fluently), romanian (fluently), french (fluently), italian (poorly), german (poorly)",single,non_stem
32,athletic,,socially,never,graduated from college/university,white,74,80000,"berkeley, california",,straight,likes dogs and dislikes cats,,m,pisces but it doesn&rsquo;t matter,no,english,single,stem
27,average,mostly anything,socially,never,graduated from college/university,"asian, pacific islander",67,,"vallejo, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,catholicism,m,libra and it&rsquo;s fun to think about,no,"english (fluently), tagalog (poorly), c++ (okay), hawaiian (okay)",single,stem
37,jacked,strictly anything,often,never,,white,68,40000,"san francisco, california",doesn&rsquo;t want kids,gay,likes cats,agnosticism,f,scorpio and it&rsquo;s fun to think about,no,english,single,stem
24,athletic,strictly anything,socially,never,dropped out of college/university,white,70,100000,"san francisco, california",,straight,likes dogs and likes cats,atheism and laughing about it,m,aries and it&rsquo;s fun to think about,sometimes,"english (fluently), french (poorly), japanese (poorly), spanish (poorly)",single,stem
32,average,,socially,,graduated from college/university,asian,68,,"san francisco, california",,gay,likes dogs and likes cats,,m,scorpio and it&rsquo;s fun to think about,trying to quit,"english (fluently), chinese (fluently)",single,non_stem
44,fit,mostly anything,not at all,never,graduated from masters program,indian,64,,"palo alto, california",,straight,likes dogs and likes cats,other and laughing about it,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), hindi (okay), french (poorly)",single,non_stem
46,curvy,,socially,never,graduated from college/university,white,66,,"alameda, california",,gay,likes dogs and likes cats,,f,taurus and it&rsquo;s fun to think about,sometimes,english,single,non_stem
27,average,mostly anything,desperately,,dropped out of college/university,white,71,,"san francisco, california",,straight,likes cats,other,m,virgo,sometimes,"english (fluently), spanish (fluently), japanese (poorly), italian (poorly)",single,stem
23,average,strictly anything,rarely,sometimes,working on two-year college,white,75,20000,"vallejo, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism and laughing about it,m,capricorn,no,"english (fluently), german (poorly)",single,non_stem
38,athletic,mostly anything,socially,never,graduated from college/university,white,72,250000,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,,m,virgo but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",single,non_stem
24,fit,anything,socially,,working on college/university,hispanic / latin,69,,"san leandro, california",,straight,,,m,capricorn,sometimes,"english (fluently), spanish (fluently)",single,non_stem
29,athletic,,not at all,never,graduated from college/university,white,65,,"san francisco, california",,straight,,judaism and somewhat serious about it,f,aries and it&rsquo;s fun to think about,no,english,single,non_stem
39,athletic,mostly vegan,socially,never,graduated from college/university,white,64,,"san anselmo, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,,f,cancer,no,"english, german, spanish",single,non_stem
37,athletic,strictly other,rarely,never,college/university,white,72,,"san francisco, california",,straight,has dogs and dislikes cats,other but not too serious about it,m,pisces,no,english,single,non_stem
64,fit,,socially,sometimes,graduated from college/university,white,65,40000,"berkeley, california",has kids,straight,has dogs and likes cats,agnosticism but not too serious about it,f,gemini and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay), french (poorly)",single,non_stem
33,average,strictly other,socially,sometimes,graduated from college/university,white,65,,"san francisco, california",,straight,,agnosticism,f,pisces and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",single,non_stem
24,average,mostly anything,often,sometimes,working on college/university,white,75,1000000,"san francisco, california",,straight,likes dogs,atheism,m,virgo but it doesn&rsquo;t matter,trying to quit,"english (fluently), spanish (okay)",single,non_stem
