x.1,x.2,x.3,x.4,x.5,x.6,x.7,x.8,x.9,x.10,y
-5.058,2.236,1.381,1.885,-0.259,-0.483,-0.562,0.123,-0.063,0.663,1
-5.124,2.319,1.413,1.804,-0.277,-0.33,-0.746,0.221,0.06,0.46,1
-5.131,2.192,1.364,1.936,-0.591,-0.354,-0.677,0.15,0.178,0.38,1
-5.125,2.077,1.283,2.003,-0.734,-0.513,-0.557,0.055,0.295,0.269,1
-5.143,2.051,1.216,1.898,-0.555,-0.466,-0.842,0.011,0.461,0.193,1
-5.105,1.968,1.14,1.719,-0.443,-0.432,-0.969,-0.173,0.551,0.176,1
-3.546,1.064,-0.006,1.455,0.847,1.117,0.073,-0.025,-1.318,0.557,2
-2.904,0.458,-0.656,0.832,0.61,0.805,0.568,0.041,-0.114,-0.615,2
-1.012,0.516,-2.041,0.32,-0.634,1.969,0.041,1.414,-0.687,0.047,2
-3.278,0.324,1.047,1.152,0.725,0.168,-0.839,-0.381,-0.687,0.013,2
-2.613,-0.092,-0.54,0.484,0.389,1.741,0.198,0.257,-0.375,-0.604,2
-3.266,0.577,-0.261,1.481,0.874,0.301,-0.496,-0.012,-0.623,0.879,2
-3.584,1.252,-0.062,1.646,0.787,1.134,0.096,-0.292,-1.133,0.472,2
-1.537,0.043,-1.125,-0.213,-0.378,1.265,0.33,0.87,0.293,-0.393,2
-3.711,1.377,-0.584,1.428,-0.033,1.062,-0.127,0.328,-1.092,-0.565,2
-3.165,0.408,-0.971,1.207,-0.298,1.921,-0.215,0.723,-0.492,-0.425,2
-3.152,0.086,-0.325,0.868,1.084,0.753,-0.522,-0.005,-0.821,0.483,2
-3.917,1.925,0.267,1.361,0.453,-0.19,-0.242,-0.633,-0.62,1.039,2
-0.941,0.539,-2.02,0.314,-0.679,1.897,0.028,1.504,-0.632,0.111,2
-4.395,1.864,0.503,1.718,0.241,-0.817,-0.672,-0.687,-0.449,1.396,2
-2.966,0.659,-1.057,1.36,0.152,1.435,0.197,0.926,-0.45,-0.637,2
-1.53,0.029,-0.925,0.054,-0.565,1.593,0.123,1.117,0.338,0.026,2
-2.913,0.757,-0.819,1.245,0.419,1.17,0.051,0.328,-0.96,-0.614,2
-3.379,0.95,-0.06,1.47,0.538,0.051,-0.681,-0.098,-0.405,0.912,2
-1.657,0.056,-1.044,-0.32,-0.316,1.321,0.638,0.8,0.298,-0.159,2
-1.388,0.215,-1.105,-0.295,-0.39,1.282,0.356,0.816,0.292,-0.376,2
-3.618,0.916,-0.4,1.771,0.666,1.535,-0.389,-0.342,-1.279,-0.109,2
-3.049,0.084,0.981,1.193,0.761,0.495,-0.714,-0.466,-0.568,-0.149,2
-2.385,1.01,-0.754,0.37,0.785,0.471,0.415,0.318,-0.797,-0.679,3
-2.21,0.661,-0.581,1.139,0.238,0.074,-0.625,-0.366,-0.326,0.557,3
-1.501,0.847,-1.619,0.92,-0.488,1.616,-0.161,1.127,-0.613,-0.051,3
-2.452,0.279,-0.805,1.141,0.239,0.176,-0.104,-0.752,-0.334,0.731,3
-1.22,0.831,-1.674,0.94,-0.425,1.463,-0.063,1.135,-0.422,0.06,3
-2.6,1.219,-1.315,0.589,0.311,0.364,0.451,0.35,-0.556,-0.314,3
-3.086,1.01,-0.627,1.508,0.338,0.747,-0.479,-0.323,-1.087,0.645,3
-3.232,1.551,-0.832,1.674,-0.042,0.296,-0.553,-0.443,-0.413,0.96,3
-3.047,1.267,-0.799,0.507,0.524,0.507,0.044,0.302,-0.731,-0.431,3
-1.494,0.663,-1.58,1.191,-0.252,1.777,-0.072,1.189,-0.409,0.09,3
-1.816,0.458,-0.947,-0.341,0.085,0.75,0.144,0.462,-0.24,-0.266,3
-2.12,0.894,-1.576,0.147,-0.707,1.559,-0.579,0.676,-0.809,-0.049,3
-3.369,1.784,-0.603,1.303,0.007,-0.044,-0.459,-0.012,-0.591,1.047,3
-3.097,1.385,-0.173,1.392,-0.613,-0.143,-0.014,-0.565,-0.065,1.129,3
-1.945,0.352,-1.053,-0.228,-0.12,0.927,0.088,0.509,-0.279,-0.246,3
-2.817,1.268,-1.127,0.707,0.399,0.406,0.289,0.319,-0.691,-0.379,3
-1.28,0.798,-1.647,0.968,-0.418,1.609,-0.031,1.224,-0.374,0.044,3
-2.875,0.868,-0.728,1.439,0.355,0.846,-0.378,-0.233,-1.072,0.505,3
-3.961,1.078,0.11,1.232,0.21,-0.67,-0.536,-0.33,-0.268,1.098,3
-2.207,1.09,-0.627,0.024,0.912,0.662,0.241,0.348,-0.702,-0.912,3
-3.249,1.042,0.589,1.408,0.023,-0.821,-0.581,0.031,0.068,0.325,3
-2.693,0.771,-0.87,1.341,0.317,0.925,-0.328,-0.169,-0.936,0.399,3
-2.931,1.85,-0.896,0.685,-1.0,0.504,0.212,-0.276,-0.203,0.595,4
-1.57,1.655,-1.04,1.16,-0.923,0.961,-0.231,0.955,-0.273,0.065,4
-1.926,2.172,-0.571,0.257,-0.159,-0.493,0.27,-0.153,-0.673,-0.005,4
-2.482,1.896,-1.289,0.112,0.285,0.096,0.022,0.832,-0.333,-0.764,4
-1.793,0.925,-0.739,-0.396,-0.211,0.329,-0.403,0.604,0.197,-0.251,4
-2.303,1.954,-1.493,0.305,0.047,0.056,0.026,0.902,-0.522,-0.645,4
-1.951,1.684,-1.039,0.586,-1.166,0.345,0.33,-0.108,-0.198,-0.609,4
-2.289,1.845,-1.616,0.987,-0.876,1.044,-0.549,0.196,-0.07,-0.814,4
-2.71,1.943,-1.247,0.772,-0.345,0.107,-0.062,0.04,-0.322,1.018,4
-1.954,1.595,-1.593,0.37,-0.136,0.022,0.034,0.321,-0.19,-0.491,4
-2.081,2.043,-0.521,0.578,-0.463,-0.246,-0.041,-0.162,-0.814,0.425,4
-2.584,2.091,-1.451,0.889,-0.464,0.285,-0.213,-0.245,-0.138,1.206,4
-2.162,1.533,-0.267,-0.287,-0.026,0.122,0.168,-0.024,-0.268,-0.27,4
-2.041,2.119,-0.585,0.549,-0.43,-0.291,-0.002,-0.234,-0.751,0.253,4
-1.985,2.161,-0.601,0.424,-0.295,-0.489,0.208,-0.216,-0.562,0.079,4
-2.395,1.929,-1.496,0.372,0.065,0.009,0.149,0.813,-0.484,-0.672,4
-2.493,1.382,-0.929,0.465,-0.369,0.002,0.187,-0.696,-0.31,0.348,4
-3.194,1.589,-0.774,0.814,-1.087,0.618,0.218,-0.45,-0.003,0.526,4
-1.611,0.831,-0.056,-0.048,-0.044,-0.423,0.289,-0.092,-0.633,0.221,4
-2.03,1.764,-0.386,-0.249,0.18,0.117,0.096,-0.121,0.067,-0.552,4
-1.512,1.492,-1.053,1.262,-0.809,0.941,-0.122,0.807,-0.206,0.145,4
-1.899,2.135,0.092,-0.11,-0.145,0.081,-0.067,-0.104,-0.408,-0.099,4
-3.002,2.944,-1.379,-0.188,-0.131,0.957,0.346,-0.392,-0.711,0.617,5
-3.05,3.055,-1.598,-0.12,0.144,0.757,0.119,-0.397,-0.396,0.477,5
-2.7,2.686,-0.043,-0.528,-0.626,0.917,0.167,0.652,0.1,-0.937,5
-2.884,2.424,-0.764,-0.108,-1.015,0.361,0.712,0.133,-0.017,-0.847,5
-2.942,2.642,-1.217,0.384,-0.994,1.467,0.134,-0.458,-0.465,0.646,5
-2.742,2.729,-0.129,-0.49,-0.573,0.868,0.07,0.771,0.053,-0.939,5
-2.598,1.938,-0.846,1.062,-1.633,0.764,0.394,-0.15,0.277,-0.396,5
-2.823,2.743,-2.012,0.234,-0.919,1.103,0.091,-0.177,-0.143,-0.09,5
-2.531,1.802,0.739,0.236,-1.169,-0.069,-0.349,0.903,0.123,-0.119,5
-2.247,3.42,-0.887,-0.823,-0.297,0.774,0.185,-0.242,-0.79,0.046,5
-2.8,2.609,-1.726,0.036,-0.941,1.039,0.191,0.044,-0.165,-0.234,5
-2.79,2.665,0.036,-0.44,-0.604,0.811,0.098,0.723,0.134,-0.91,5
-3.828,2.367,-0.836,-0.343,-0.466,0.116,1.172,-0.175,-0.275,0.117,5
-2.475,1.498,0.864,0.397,-1.17,-0.234,-0.388,0.825,0.16,0.057,5
-2.696,3.129,-0.52,0.294,-0.989,0.019,-0.066,1.106,0.361,-0.396,5
-2.64,2.704,-0.345,-0.23,-1.649,0.064,0.275,0.952,-0.651,-0.571,5
-3.001,2.263,-1.178,-0.116,-0.922,0.536,1.286,-0.506,-0.566,-0.102,5
-2.724,2.998,-0.56,-0.077,-0.944,0.548,-0.08,0.4,0.144,-0.63,5
-2.176,1.952,-0.144,1.659,-1.128,0.28,-0.658,1.346,0.008,0.505,5
-2.797,2.706,-1.936,0.147,-0.921,1.24,-0.082,-0.006,-0.214,-0.064,5
-2.601,2.735,-0.322,-0.255,-1.67,0.229,0.202,1.01,-0.871,-0.461,5
-3.119,3.135,-1.466,-0.352,-0.023,0.752,0.143,-0.231,-0.376,0.721,5
-2.691,2.111,-1.067,0.174,-0.649,0.431,-0.017,0.655,-0.498,-0.292,6
-2.445,1.503,-0.677,-0.46,-0.14,-0.002,1.014,0.061,-0.599,0.175,6
-2.561,2.191,-0.955,0.214,-0.841,0.386,-0.083,0.74,-0.612,-0.196,6
-2.591,1.809,-0.659,-0.016,-0.673,0.588,0.084,0.182,-0.094,-0.372,6
-2.904,2.741,-1.123,0.014,0.071,0.654,0.212,-0.454,-0.815,0.752,6
-3.371,2.007,-0.919,0.843,0.221,0.541,-0.317,-0.37,-0.5,0.652,6
-2.335,2.896,-0.295,-0.42,-0.645,0.351,0.12,0.447,-1.126,0.11,6
-2.625,1.551,0.298,0.324,-1.05,0.746,0.067,0.603,0.342,-0.413,6
-3.133,1.983,-1.398,0.254,-0.667,0.532,0.389,-0.178,-0.584,0.844,6
-3.065,2.372,-1.002,0.496,-1.295,0.86,0.327,-0.404,0.067,-0.155,6
-2.906,1.102,-0.491,0.575,-0.386,0.771,-0.134,0.977,-0.54,-0.604,6
-2.521,2.271,-0.277,0.27,-0.909,0.274,0.348,-0.028,-1.177,0.432,6
-2.703,2.066,0.205,-0.63,-0.345,1.229,0.403,-0.032,0.247,-0.696,6
-2.555,1.421,-0.8,-0.233,-0.078,0.244,0.771,-0.112,-0.707,0.165,6
-2.708,2.56,-0.439,0.324,-0.348,0.429,0.091,-0.037,-0.434,0.344,6
-2.902,2.988,-1.152,0.057,-0.477,0.622,0.338,-0.368,-0.689,0.793,6
-3.765,1.97,-0.955,0.304,-0.735,0.41,0.38,0.146,-0.536,0.738,6
-3.015,2.232,-0.899,0.574,-1.331,0.546,0.61,-0.452,0.035,-0.156,6
-2.592,1.617,0.267,0.38,-0.777,0.487,-0.206,0.733,0.592,-0.403,6
-2.125,1.952,-0.415,1.458,-0.985,0.52,-0.344,1.249,-0.37,0.145,6
-2.729,2.104,-0.505,0.138,-0.533,0.455,0.148,-0.407,-1.059,0.625,6
-2.509,1.326,0.354,0.663,-0.724,0.418,-0.496,0.713,0.638,-0.204,6
-3.311,2.946,-0.808,-0.3,-0.457,0.324,0.515,0.149,0.533,-0.718,7
-2.776,2.563,0.532,0.277,-1.47,-0.368,-0.278,1.479,-0.164,-0.797,7
-3.141,3.314,-0.996,-0.394,-0.19,-0.312,0.137,0.631,0.547,-0.247,7
-3.975,3.066,-0.506,-0.827,-0.478,0.434,0.356,0.939,-1.309,0.204,7
-3.887,3.172,-0.739,-0.69,-0.548,0.33,0.569,0.98,-1.609,0.283,7
-3.073,1.532,0.949,1.541,-1.058,0.272,-0.961,0.449,0.619,0.969,7
-3.027,2.903,-0.799,-0.452,-0.503,1.044,0.679,0.483,-0.776,-0.062,7
-3.406,2.403,1.025,0.108,-1.1,-0.316,0.099,1.541,-0.304,-0.671,7
-3.062,1.008,0.935,1.443,-0.579,0.068,-1.333,0.106,0.958,0.979,7
-3.045,3.312,0.171,-0.605,-1.027,0.924,0.353,0.897,0.365,-0.871,7
-3.239,3.083,-1.427,-0.202,-0.282,1.421,0.576,0.068,-0.914,0.147,7
-3.179,1.346,0.988,1.32,-0.852,-0.008,-1.234,0.347,1.02,0.771,7
-3.024,3.26,0.35,-0.577,-1.183,0.872,0.556,0.762,0.395,-0.665,7
-2.652,2.156,-0.053,1.694,-1.258,0.062,-0.61,1.397,0.133,0.602,7
-3.236,2.745,-0.806,-0.2,-0.386,0.358,0.889,0.516,-0.297,-1.075,7
-3.57,3.41,-1.576,0.563,0.002,0.759,0.285,-0.466,-1.409,0.586,7
-2.919,3.48,-0.823,-0.751,-0.416,1.045,0.609,0.18,-1.172,0.123,7
-2.71,0.809,0.754,1.903,-0.764,0.378,-1.123,0.162,0.405,1.163,7
-2.447,1.914,-0.208,1.641,-1.159,0.104,-0.539,1.58,0.058,0.786,7
-2.702,3.596,-0.57,-1.041,-0.709,1.009,0.403,0.426,-1.013,-0.009,7
-2.933,0.717,0.829,1.508,-0.517,0.069,-1.163,0.021,0.866,1.066,7
-3.19,3.101,-1.659,-0.182,-0.436,0.828,0.272,0.502,-0.857,-0.516,7
-3.902,3.586,0.334,-0.669,-1.087,0.255,0.461,0.812,-0.185,0.535,8
-4.228,3.111,-0.38,1.16,-1.188,-0.362,0.516,0.507,0.669,-0.074,8
-4.415,3.737,-1.313,-0.815,0.168,0.59,0.975,0.42,-0.825,-0.748,8
-4.039,3.689,-1.007,-0.139,-0.542,0.587,0.535,0.465,0.194,0.168,8
-3.977,3.684,-1.242,-0.364,-0.217,0.594,0.759,0.6,0.069,-0.25,8
-4.471,4.461,-1.887,-0.799,0.719,0.938,0.239,0.342,-1.036,-0.06,8
-3.576,1.357,0.912,1.878,-1.166,0.039,-1.537,0.658,0.843,1.087,8
-3.792,4.29,-1.531,-0.125,-0.312,0.624,0.324,-0.053,-0.942,-0.301,8
-3.847,4.268,-1.521,-0.465,-0.23,1.067,-0.02,0.005,-0.577,-0.509,8
-3.963,3.938,0.466,-0.564,-1.042,-0.064,0.241,0.888,-0.032,0.798,8
-3.797,4.314,-1.596,-0.476,0.044,0.903,0.129,-0.141,-0.646,-0.318,8
-3.642,3.582,-1.031,-0.761,0.046,1.255,0.841,0.512,-0.259,-0.447,8
-3.983,3.695,0.096,-0.333,-1.01,0.169,-0.108,1.674,0.262,-0.231,8
-4.384,3.721,-0.905,-0.965,-0.16,0.498,0.809,0.66,-0.613,-0.831,8
-3.888,3.085,0.436,0.142,-1.526,-0.052,-0.503,1.085,0.511,0.976,8
-3.675,3.132,-0.241,1.587,-1.75,-0.222,0.039,1.052,0.545,0.233,8
-4.474,4.569,-1.069,-1.409,0.137,1.049,0.071,0.877,-1.355,-0.167,8
-3.356,3.236,-0.653,-0.9,-0.661,1.43,0.901,0.395,-0.139,-0.726,8
-4.238,2.437,0.036,1.158,-2.127,0.554,0.12,0.823,0.565,-0.293,8
-3.852,4.214,-1.556,-0.336,-0.305,1.133,-0.152,0.237,-0.915,-0.445,8
-3.958,4.132,-0.074,-0.19,-1.184,-0.11,-0.679,1.198,0.442,0.563,8
-4.21,3.289,-0.106,-1.247,-0.683,0.539,0.579,0.832,-0.035,-0.764,8
-3.776,1.752,0.92,0.722,-1.164,0.774,-0.01,0.657,0.248,1.055,9
-3.777,2.064,-0.983,0.846,-0.373,0.96,-0.04,1.331,0.247,-1.09,9
-3.919,2.575,0.471,-0.064,-0.042,0.88,-0.128,0.612,-0.504,-0.539,9
-4.071,2.754,-0.232,-0.262,0.356,0.694,0.381,0.5,-0.721,-0.859,9
-3.857,2.133,-0.58,0.996,0.502,0.65,-0.283,-0.468,-0.983,0.613,9
-4.036,2.141,-0.355,-0.602,0.837,0.663,-0.013,0.507,-1.412,0.21,9
-3.905,3.147,-1.259,0.304,-0.216,1.055,0.578,0.353,-0.517,-0.871,9
-3.86,2.116,-0.939,0.688,-0.675,1.679,-0.512,0.928,-0.167,-0.434,9
-4.475,4.064,-0.927,-0.678,0.599,0.445,0.224,0.103,-1.336,-0.192,9
-3.963,2.272,-0.534,0.977,0.329,0.514,-0.363,-0.425,-0.712,0.41,9
-4.267,3.01,0.172,0.028,-0.827,0.532,0.099,0.326,0.34,0.696,9
-4.58,4.116,-0.753,-0.849,0.516,0.498,0.117,0.181,-1.256,-0.119,9
-3.155,1.021,0.455,0.624,-1.306,0.842,-0.123,0.909,0.328,0.876,9
-3.98,2.459,0.068,0.023,0.237,1.029,-0.189,0.521,-0.773,-0.5,9
-4.101,2.84,-0.802,0.062,-0.733,1.304,-0.145,0.443,0.049,-0.611,9
-4.039,3.506,-0.964,0.041,-0.4,0.976,0.65,0.659,-0.216,-0.327,9
-3.145,0.863,0.416,0.699,-1.378,0.892,0.02,0.89,0.221,0.834,9
-3.546,1.258,-1.227,0.823,-0.702,1.734,-0.397,1.333,-0.277,0.013,9
-3.846,1.426,-0.607,1.434,-0.072,1.13,-0.535,1.159,-0.123,-0.385,9
-3.915,2.158,0.781,0.643,-1.023,0.598,-0.718,0.274,0.376,0.77,9
-3.246,0.712,0.39,0.82,-1.352,1.074,0.197,0.857,-0.056,0.485,9
-3.81,1.91,0.527,0.478,-0.972,0.945,-0.28,0.719,0.482,0.829,9
-4.902,4.49,-0.564,-0.536,-0.164,-0.298,0.842,-0.158,-0.906,0.358,10
-4.145,2.739,-0.115,0.907,0.669,0.478,-1.183,-0.24,-0.887,-0.365,10
-4.693,3.146,-0.136,0.587,-0.731,1.055,-0.104,-0.021,0.637,-0.192,10
-4.611,2.962,-0.856,1.161,-0.612,0.469,0.162,0.705,0.37,-0.916,10
-4.264,2.925,0.065,0.794,0.323,0.515,-1.282,-0.14,-0.863,-0.39,10
-4.753,3.421,-0.189,0.656,-0.984,1.443,-0.652,0.546,0.123,-0.326,10
-4.521,1.43,0.162,0.58,-0.351,1.339,-0.259,0.81,0.431,-0.102,10
-4.118,2.542,-0.2,1.616,1.106,-0.06,-0.728,-0.544,-0.912,-0.101,10
-3.648,1.812,-1.378,1.578,0.065,1.577,-0.466,0.702,0.06,-0.836,10
-4.717,3.059,-0.682,0.532,-0.48,0.731,0.174,0.493,0.635,-0.473,10
-4.062,2.358,-0.31,1.895,1.095,0.049,-0.87,-0.524,-0.98,-0.065,10
-5.04,5.074,-1.721,-0.264,0.279,0.176,0.003,-0.609,-0.177,0.422,10
-4.316,1.147,0.088,0.593,-0.314,1.316,-0.255,0.761,0.492,0.133,10
-4.513,3.08,0.068,0.05,-0.484,0.341,-0.257,1.302,-0.517,-1.057,10
-4.376,2.216,-0.269,1.32,-0.66,0.159,0.719,0.008,1.058,0.472,10
-4.188,2.637,0.502,0.552,0.735,0.395,-0.026,0.803,-0.874,-0.913,10
-4.319,1.338,-0.549,1.678,0.027,1.922,-0.228,0.161,-0.47,-0.442,10
-5.08,2.241,0.971,-0.374,0.501,0.226,0.144,0.851,-1.319,-0.3,10
-4.17,2.232,-0.389,1.211,-1.011,0.57,0.543,0.218,1.206,0.044,10
-3.684,1.774,-1.728,1.611,0.1,1.393,-0.193,0.554,0.245,-0.919,10
-4.066,1.05,-0.049,0.458,-0.357,1.331,-0.129,0.848,0.509,0.317,10
-4.782,3.325,-0.071,0.663,-0.913,1.012,-0.033,-0.103,0.483,-0.202,10
-2.812,1.954,-0.661,0.109,-0.011,0.11,0.187,0.096,-1.538,0.592,11
-2.528,1.288,-0.144,-0.171,-0.077,0.26,-0.045,0.681,-1.399,-0.066,11
-3.325,2.141,-0.528,0.439,0.099,0.321,0.217,0.135,-1.388,0.746,11
-2.52,1.52,-0.959,1.296,-1.103,1.149,-0.268,1.249,0.092,-0.682,11
-2.562,1.361,-0.94,1.333,-1.047,1.208,-0.316,1.055,0.354,-0.77,11
-2.946,1.649,-1.167,0.788,-0.909,1.3,-0.562,0.902,-0.07,-0.842,11
-3.265,1.933,-0.316,0.602,0.438,0.336,0.048,0.134,-0.16,-0.991,11
-2.973,1.304,-0.849,0.984,-0.508,0.59,0.248,0.728,0.073,-1.107,11
