age,body_type,diet,drinks,drugs,education,ethnicity,height,income,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status,job
34.0,fit,mostly anything,socially,never,graduated from masters program,white,67.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,f,taurus,no,"english (fluently), spanish (okay), french (okay)",single,non_stem
29.0,fit,mostly anything,often,never,graduated from masters program,white,72.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs,other,m,scorpio,no,english,single,stem
44.0,average,mostly other,rarely,never,graduated from masters program,white,66.0,60000.0,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,other and laughing about it,f,aquarius and it&rsquo;s fun to think about,no,english (fluently),single,non_stem
30.0,average,mostly anything,rarely,never,graduated from college/university,"hispanic / latin, white",69.0,60000.0,"oakland, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other but not too serious about it,m,libra and it&rsquo;s fun to think about,no,english,single,stem
42.0,thin,strictly anything,socially,sometimes,graduated from college/university,white,68.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,has cats,other and laughing about it,m,aries but it doesn&rsquo;t matter,no,"english (fluently), french (okay)",available,stem
24.0,average,strictly anything,socially,never,working on college/university,white,73.0,60000.0,"oakland, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,agnosticism but not too serious about it,m,aries and it&rsquo;s fun to think about,trying to quit,"english (fluently), spanish (poorly)",single,non_stem
32.0,fit,mostly vegetarian,socially,never,working on masters program,white,74.0,40000.0,"san francisco, california",has a kid,straight,likes dogs and likes cats,other,m,libra,no,english,single,non_stem
32.0,fit,anything,socially,never,graduated from masters program,asian,68.0,60000.0,"san mateo, california",doesn&rsquo;t have kids,straight,likes dogs,buddhism,m,aries,no,english,single,stem
26.0,fit,mostly vegetarian,socially,never,graduated from college/university,hispanic / latin,61.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,has dogs and likes cats,buddhism,f,virgo,no,english,single,non_stem
33.0,fit,mostly anything,socially,never,graduated from college/university,white,74.0,60000.0,"san rafael, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism,m,gemini but it doesn&rsquo;t matter,no,english,single,non_stem
30.0,a little extra,mostly anything,socially,never,working on college/university,"black, white, other",72.0,40000.0,"san francisco, california",has a kid,straight,likes dogs and likes cats,other but not too serious about it,m,aries and it&rsquo;s fun to think about,no,"english, spanish",single,non_stem
31.0,average,mostly anything,socially,never,graduated from high school,other,66.0,60000.0,"el sobrante, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,other,m,cancer and it&rsquo;s fun to think about,no,english,single,stem
24.0,full figured,mostly anything,rarely,never,graduated from college/university,"asian, white, other",62.0,60000.0,"berkeley, california",doesn&rsquo;t have kids,straight,likes dogs,other,f,libra and it&rsquo;s fun to think about,no,"english (fluently), japanese (poorly), chinese (poorly), spanish (poorly)",single,non_stem
40.0,fit,mostly anything,socially,never,graduated from college/university,white,62.0,100000.0,"martinez, california",has kids,straight,has dogs,other,f,leo and it&rsquo;s fun to think about,no,english (fluently),single,non_stem
30.0,curvy,strictly vegetarian,socially,never,graduated from ph.d program,indian,64.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,f,libra but it doesn&rsquo;t matter,no,english,single,non_stem
38.0,fit,strictly anything,socially,never,masters program,white,69.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,christianity but not too serious about it,m,scorpio and it&rsquo;s fun to think about,no,english,single,non_stem
42.0,average,mostly anything,rarely,never,graduated from masters program,other,67.0,50000.0,"berkeley, california",doesn&rsquo;t have kids,gay,dislikes dogs,judaism and very serious about it,f,capricorn but it doesn&rsquo;t matter,no,"english, spanish (fluently), hebrew (okay)",single,non_stem
27.0,overweight,mostly anything,rarely,never,working on college/university,other,59.0,60000.0,"benicia, california","doesn&rsquo;t have kids, but might want them",bisexual,has dogs,agnosticism and laughing about it,f,sagittarius and it&rsquo;s fun to think about,no,"english, tagalog (poorly)",single,non_stem
39.0,curvy,mostly anything,socially,never,college/university,white,68.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism,f,aries and it&rsquo;s fun to think about,no,"english, german",single,non_stem
33.0,average,mostly anything,often,never,graduated from college/university,white,73.0,60000.0,"oakland, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism and somewhat serious about it,m,aquarius but it doesn&rsquo;t matter,no,english,single,stem
35.0,fit,mostly anything,socially,never,graduated from masters program,white,67.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,f,sagittarius but it doesn&rsquo;t matter,no,"english (fluently), french (fluently)",single,non_stem
42.0,average,mostly vegetarian,socially,never,graduated from college/university,white,69.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and has cats,agnosticism but not too serious about it,f,aquarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single,stem
42.0,athletic,mostly halal,very often,often,graduated from ph.d program,black,74.0,250000.0,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,dislikes dogs and dislikes cats,islam and laughing about it,m,libra and it&rsquo;s fun to think about,yes,"english (fluently), portuguese (poorly)",single,non_stem
31.0,fit,mostly anything,socially,never,graduated from ph.d program,"pacific islander, white",69.0,60000.0,"redwood city, california",has a kid,straight,has dogs and likes cats,agnosticism and laughing about it,m,capricorn and it&rsquo;s fun to think about,no,"english, french (poorly)",single,stem
26.0,athletic,anything,socially,never,graduated from college/university,hispanic / latin,67.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,catholicism,m,aquarius,no,"english, spanish",single,non_stem
44.0,athletic,mostly anything,socially,never,graduated from space camp,other,70.0,1000000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other and somewhat serious about it,m,scorpio and it&rsquo;s fun to think about,no,"english (fluently), c++ (poorly), german (fluently), khmer (fluently), mongolian (fluently)",available,non_stem
26.0,fit,mostly anything,socially,never,working on college/university,white,69.0,60000.0,"stanford, california",doesn&rsquo;t have kids,straight,likes dogs,atheism and somewhat serious about it,m,aries and it&rsquo;s fun to think about,no,"english (fluently), french (fluently), russian (fluently), chinese (poorly)",single,student
30.0,average,anything,socially,sometimes,graduated from college/university,white,71.0,70000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other but not too serious about it,m,aquarius but it doesn&rsquo;t matter,no,english (fluently),available,stem
33.0,curvy,mostly anything,socially,never,graduated from college/university,white,67.0,60000.0,"mountain view, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism but not too serious about it,f,scorpio and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",available,non_stem
29.0,average,mostly vegetarian,often,sometimes,graduated from college/university,asian,64.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,atheism and somewhat serious about it,m,capricorn but it doesn&rsquo;t matter,no,english (fluently),single,non_stem
48.0,fit,mostly anything,rarely,never,graduated from masters program,white,69.0,60000.0,"san francisco, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,other and laughing about it,m,libra and it&rsquo;s fun to think about,no,english,single,stem
30.0,fit,mostly anything,rarely,never,dropped out of college/university,white,67.0,60000.0,"san mateo, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,catholicism but not too serious about it,m,virgo and it&rsquo;s fun to think about,no,english,single,non_stem
26.0,average,mostly anything,socially,never,graduated from college/university,white,70.0,60000.0,"berkeley, california",doesn&rsquo;t want kids,gay,likes dogs and likes cats,christianity and laughing about it,f,libra and it&rsquo;s fun to think about,no,english,single,stem
28.0,average,mostly anything,socially,sometimes,dropped out of college/university,white,74.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes cats,other,m,leo and it&rsquo;s fun to think about,no,english (fluently),single,stem
27.0,average,mostly anything,often,sometimes,working on college/university,white,75.0,30000.0,"san francisco, california",doesn&rsquo;t have kids,straight,has dogs and likes cats,agnosticism but not too serious about it,m,taurus and it&rsquo;s fun to think about,yes,english (fluently),single,non_stem
35.0,fit,anything,socially,never,graduated from college/university,white,75.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,gay,likes dogs and likes cats,other and laughing about it,m,gemini but it doesn&rsquo;t matter,no,english,single,non_stem
25.0,jacked,mostly anything,socially,never,graduated from masters program,white,66.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,gay,likes dogs and has cats,other,f,libra and it&rsquo;s fun to think about,no,english,single,student
39.0,fit,anything,socially,never,graduated from masters program,white,60.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and has cats,other,f,aries,no,english,single,non_stem
35.0,fit,mostly anything,socially,never,graduated from college/university,"asian, pacific islander",68.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,m,aries and it&rsquo;s fun to think about,no,"english (fluently), tagalog (okay), french (poorly), spanish (poorly)",single,non_stem
61.0,average,mostly anything,rarely,never,graduated from masters program,white,63.0,60000.0,"berkeley, california",has kids,straight,has dogs and has cats,judaism but not too serious about it,f,scorpio and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single,non_stem
28.0,average,mostly anything,socially,never,graduated from college/university,white,70.0,60000.0,"mountain view, california",doesn&rsquo;t have kids,straight,has dogs,other,m,libra and it&rsquo;s fun to think about,no,english,single,non_stem
26.0,curvy,mostly vegetarian,rarely,never,working on two-year college,white,66.0,20000.0,"san francisco, california",doesn&rsquo;t want kids,bisexual,has dogs and likes cats,atheism and laughing about it,f,libra and it&rsquo;s fun to think about,no,english,available,non_stem
46.0,average,mostly anything,socially,never,graduated from college/university,white,69.0,60000.0,"fremont, california",has kids,straight,likes dogs,other,f,aquarius,no,english (fluently),single,non_stem
25.0,curvy,strictly other,socially,never,graduated from college/university,hispanic / latin,62.0,60000.0,"palo alto, california","doesn&rsquo;t have kids, but wants them",straight,has dogs and has cats,christianity and very serious about it,f,capricorn and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently), italian (poorly)",single,non_stem
22.0,fit,strictly anything,socially,never,working on college/university,asian,66.0,60000.0,"berkeley, california","doesn&rsquo;t have kids, but wants them",gay,likes dogs and dislikes cats,catholicism and somewhat serious about it,m,taurus and it&rsquo;s fun to think about,no,"english (fluently), tagalog (okay), spanish (okay), korean (poorly)",single,student
38.0,average,mostly anything,socially,never,graduated from masters program,asian,66.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism and laughing about it,f,scorpio,no,"english (fluently), chinese (fluently), french (poorly), japanese (poorly)",single,non_stem
48.0,athletic,mostly anything,socially,never,graduated from ph.d program,white,69.0,60000.0,"berkeley, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and dislikes cats,agnosticism,m,libra and it&rsquo;s fun to think about,no,"english, spanish, french, hebrew",single,non_stem
28.0,athletic,mostly vegetarian,socially,never,graduated from college/university,other,69.0,1000000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other and laughing about it,m,aquarius and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay), hebrew (poorly), portuguese (poorly)",single,non_stem
32.0,athletic,mostly other,socially,never,graduated from college/university,"asian, hispanic / latin",69.0,60000.0,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes cats,other,m,libra and it&rsquo;s fun to think about,no,english (fluently),single,stem
44.0,athletic,mostly other,socially,never,graduated from two-year college,white,72.0,60000.0,"martinez, california",doesn&rsquo;t have kids,straight,has dogs and likes cats,other and laughing about it,m,pisces and it&rsquo;s fun to think about,no,"english (fluently), german (fluently)",available,non_stem
31.0,thin,mostly anything,rarely,never,graduated from college/university,asian,73.0,60000.0,"emeryville, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,atheism but not too serious about it,m,libra but it doesn&rsquo;t matter,no,english (fluently),single,non_stem
42.0,a little extra,strictly anything,socially,never,dropped out of college/university,white,74.0,60000.0,"redwood city, california",doesn&rsquo;t want kids,straight,likes dogs and has cats,agnosticism and laughing about it,m,capricorn and it&rsquo;s fun to think about,when drinking,"english (fluently), italian (poorly), german (okay), spanish (poorly)",seeing someone,stem
51.0,curvy,other,not at all,never,graduated from masters program,white,62.0,60000.0,"montara, california",doesn&rsquo;t have kids,straight,has dogs,other,f,leo but it doesn&rsquo;t matter,no,"english (fluently), greek (okay)",single,non_stem
40.0,average,mostly anything,often,never,graduated from college/university,asian,69.0,60000.0,"oakland, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,atheism and laughing about it,m,libra and it&rsquo;s fun to think about,no,"english (fluently), korean (fluently)",single,non_stem
27.0,fit,strictly anything,socially,never,dropped out of ph.d program,white,72.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs,atheism but not too serious about it,m,sagittarius but it doesn&rsquo;t matter,no,english,single,stem
20.0,athletic,strictly anything,not at all,never,working on college/university,white,68.0,60000.0,"burlingame, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,other and laughing about it,m,gemini but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single,student
25.0,athletic,mostly anything,socially,never,graduated from masters program,asian,67.0,80000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,buddhism but not too serious about it,m,virgo and it&rsquo;s fun to think about,when drinking,english,single,non_stem
47.0,thin,mostly anything,rarely,never,graduated from college/university,white,75.0,70000.0,"berkeley, california",has a kid,straight,likes dogs and likes cats,other,m,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), latin (poorly)",married,non_stem
26.0,athletic,anything,socially,never,graduated from masters program,indian,71.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and dislikes cats,other,m,taurus,no,"english (fluently), other (fluently), spanish (fluently)",single,non_stem
42.0,average,mostly anything,socially,never,graduated from college/university,indian,68.0,100000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs,atheism and laughing about it,m,aries and it&rsquo;s fun to think about,no,"english (fluently), german, c++ (fluently), other",single,stem
50.0,average,anything,socially,never,graduated from college/university,white,72.0,60000.0,"el cerrito, california","doesn&rsquo;t have kids, but wants them",straight,has dogs and likes cats,other but not too serious about it,m,libra but it doesn&rsquo;t matter,no,"english (fluently), french (okay), spanish (poorly)",single,non_stem
40.0,average,mostly anything,socially,never,graduated from high school,white,67.0,80000.0,"pacifica, california",doesn&rsquo;t have kids,straight,has dogs and likes cats,other and laughing about it,m,scorpio and it&rsquo;s fun to think about,sometimes,english (fluently),single,stem
35.0,curvy,mostly anything,socially,never,graduated from college/university,white,67.0,60000.0,"palo alto, california",doesn&rsquo;t have kids,straight,has dogs,christianity but not too serious about it,f,pisces and it&rsquo;s fun to think about,no,"english (fluently), french (poorly)",single,non_stem
29.0,thin,mostly anything,socially,sometimes,graduated from college/university,white,71.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,m,libra and it&rsquo;s fun to think about,no,english,single,non_stem
40.0,fit,mostly anything,often,never,graduated from ph.d program,indian,70.0,100000.0,"albany, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,atheism,m,virgo,no,english,single,non_stem
31.0,average,mostly anything,socially,never,graduated from college/university,other,68.0,60000.0,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,christianity,f,virgo,no,english,single,non_stem
27.0,athletic,mostly anything,often,sometimes,graduated from college/university,asian,67.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,buddhism but not too serious about it,m,aries but it doesn&rsquo;t matter,when drinking,"english (fluently), japanese (okay), french (poorly)",single,non_stem
30.0,athletic,mostly anything,socially,never,graduated from college/university,white,74.0,60000.0,"oakland, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and likes cats,other and laughing about it,m,aries and it&rsquo;s fun to think about,sometimes,"english (fluently), c++ (poorly), spanish (poorly)",single,non_stem
30.0,fit,anything,socially,never,graduated from college/university,hispanic / latin,69.0,60000.0,"burlingame, california",doesn&rsquo;t have kids,gay,has dogs,christianity,m,virgo,no,english,single,non_stem
28.0,fit,mostly anything,socially,sometimes,working on college/university,white,69.0,20000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,atheism and laughing about it,m,pisces but it doesn&rsquo;t matter,no,english,single,student
24.0,thin,mostly anything,socially,never,working on two-year college,"hispanic / latin, white",68.0,60000.0,"berkeley, california",doesn&rsquo;t have kids,straight,has dogs and likes cats,other but not too serious about it,f,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single,non_stem
34.0,thin,mostly vegetarian,socially,never,graduated from college/university,asian,62.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs,buddhism,f,pisces but it doesn&rsquo;t matter,no,english,single,non_stem
23.0,thin,anything,socially,never,graduated from college/university,white,74.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes cats,atheism and very serious about it,m,aquarius but it doesn&rsquo;t matter,no,"english (fluently), c++ (fluently), lisp (okay), french (poorly)",available,stem
34.0,curvy,mostly anything,rarely,never,graduated from college/university,white,62.0,60000.0,"corte madera, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism,f,taurus and it&rsquo;s fun to think about,no,"english (fluently), italian (poorly), spanish (poorly)",single,non_stem
19.0,athletic,mostly anything,socially,never,graduated from college/university,white,71.0,20000.0,"novato, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,m,scorpio,no,english,single,non_stem
30.0,average,mostly vegan,socially,never,graduated from college/university,hispanic / latin,64.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,gay,likes dogs and likes cats,other,f,cancer and it&rsquo;s fun to think about,trying to quit,"english (fluently), spanish (fluently), italian (poorly)",single,stem
56.0,curvy,mostly anything,socially,never,ph.d program,white,60.0,60000.0,"oakland, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other and very serious about it,f,libra and it&rsquo;s fun to think about,no,"english, spanish (fluently), other (fluently)",single,non_stem
30.0,athletic,mostly anything,socially,never,graduated from college/university,asian,64.0,60000.0,"san mateo, california","doesn&rsquo;t have kids, but wants them",straight,has cats,christianity and somewhat serious about it,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single,non_stem
29.0,average,mostly anything,socially,never,working on college/university,"hispanic / latin, white",66.0,50000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs,catholicism and laughing about it,m,pisces and it&rsquo;s fun to think about,no,english,single,non_stem
26.0,fit,anything,socially,never,graduated from college/university,white,65.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs,other,f,libra and it&rsquo;s fun to think about,no,"english (fluently), spanish",single,non_stem
