x.1,x.2,x.3,x.4,x.5,x.6,x.7,x.8,x.9,x.10,x.11,x.12,x.13,x.14,x.15,x.16,x.17,x.18,x.19,x.20,x.21,y
0.9776,1.2204,0.6537,-0.8397,0.4961,-0.2086,1.211,0.8299,1.5053,3.1177,1.5846,2.7047,4.0809,4.571,6.5799,5.9378,3.622,3.9985,2.4697,2.1784,0.3284,1
0.4935,0.2675,1.8535,-0.9753,0.5772,1.6234,1.0371,4.8168,3.4949,4.4411,5.7824,3.34,4.0436,3.4623,0.9699,1.5656,1.1951,1.3032,0.5506,-0.6319,-0.9517,1
0.3526,-0.2562,0.5073,1.4635,-0.551,2.8407,0.987,2.0269,1.0063,2.8801,4.2313,4.6185,5.6249,3.7389,2.6282,2.49,2.032,0.3568,0.883,0.234,-0.5166,1
-0.0275,0.1158,-0.4895,0.4775,1.1077,1.031,0.2484,0.2856,0.8523,2.6161,3.5499,4.9231,5.4681,4.6959,4.8043,4.1432,3.2803,2.1917,-0.0743,0.2362,-1.216,1
-0.5318,1.9485,-0.983,1.5285,1.2367,2.2833,1.6041,-0.0864,3.3807,3.3606,5.118,4.8911,4.2534,1.705,3.9591,1.2745,1.8458,2.2818,0.9166,-1.567,-0.0989,1
-1.2708,0.06,0.567,0.9046,-0.6151,-0.7511,0.9179,2.2452,1.8378,2.3013,3.7318,2.3852,4.4029,4.2985,6.2421,1.3303,2.1609,1.939,1.4478,-0.3199,-0.9377,1
1.9073,-1.9302,0.6512,-0.6103,1.051,0.8999,1.6153,3.2088,3.817,2.1032,5.9308,4.5706,3.7128,3.3345,4.2161,3.1062,0.2824,3.9501,-0.1611,2.1062,-1.3733,1
0.0695,-1.731,-0.5586,0.9473,-1.0113,1.0672,1.8305,2.0039,3.303,6.017,6.3159,7.0697,4.2622,1.463,1.6752,0.8522,-1.0217,-1.6246,2.0417,-1.8313,-1.0652,1
2.2805,-0.4305,-0.9346,-0.469,0.0553,1.5935,1.9558,3.617,3.3442,4.1108,7.2734,5.2296,6.2921,3.6759,2.9026,0.3751,0.7409,0.4161,-0.3143,0.7707,-0.2356,1
0.9942,0.1397,-0.4065,-0.8331,0.0074,-0.7587,1.735,3.5444,3.4566,4.4266,6.3551,5.413,3.7643,3.462,1.9196,0.9713,0.5483,0.4619,-1.9491,1.2202,-1.1712,1
0.266,0.148,0.2094,0.516,-1.7263,-0.4452,-0.6993,0.123,0.9495,1.8405,2.2751,4.0478,2.243,2.2442,3.3974,5.8438,3.5411,1.0753,1.1915,0.2819,-1.4036,1
-1.2401,-0.1674,3.1398,1.4938,-0.2319,-0.2714,1.8599,1.9196,2.9805,3.5544,3.7035,5.6079,3.9311,2.2898,0.9433,1.1121,0.8916,1.1545,1.5913,0.2493,-1.9453,1
-1.3671,1.3069,0.2142,0.0387,1.4024,-0.3068,1.1707,0.999,0.5015,3.5292,6.0359,4.4824,4.0149,2.4687,2.2531,3.0675,-0.5234,-0.2812,1.1713,-0.0171,-2.2563,1
0.7674,0.0207,0.9092,-0.9282,-0.5308,-1.5272,3.0368,1.373,1.5019,4.9284,5.2684,4.6631,5.0308,3.663,2.9392,0.0236,-0.0841,-0.4913,0.2253,-0.2058,0.3189,1
-0.0156,0.1468,1.3942,-0.1314,-0.0123,0.4531,0.6625,2.4548,0.332,2.1418,0.8214,3.7971,4.0945,4.4317,3.0142,2.6645,-0.1852,0.8743,0.0086,0.3551,-0.0077,1
1.4995,0.1364,-0.184,-0.7618,0.1944,0.8816,2.8394,1.2515,2.5675,4.6535,5.1621,5.0688,3.708,3.5826,2.8332,2.8185,0.3225,1.6884,0.7107,-0.0476,0.0586,1
0.7753,-0.855,1.0846,-2.5925,1.5307,2.1303,4.3349,0.1758,1.3218,1.6917,1.3957,2.2607,4.153,5.004,3.2243,4.1871,3.7117,2.1116,-0.4946,0.4778,0.6613,1
-1.4923,-0.3802,-0.3926,-1.4207,-0.1463,1.9497,2.0886,1.095,0.9872,3.159,2.6504,5.4336,4.2068,4.9621,4.4463,2.9309,1.6508,0.1931,0.5597,0.075,-0.9333,1
-1.3725,0.5378,-2.7973,0.6088,1.8543,0.0787,0.2068,0.182,-0.3002,2.2869,3.9881,3.5239,3.9136,4.1641,3.7831,2.1981,3.8408,2.4207,1.9622,1.4212,0.3156,1
-1.015,1.7524,0.9568,-0.9412,-0.0836,0.4176,0.4831,2.3082,2.946,5.6489,6.8161,3.1888,4.2498,1.3707,3.2455,2.6548,1.6354,0.4057,0.9024,0.0727,0.3218,1
1.1949,0.3132,0.2713,-1.1477,0.2608,-0.1006,1.6606,0.8853,1.8857,2.2386,5.7348,3.5654,4.8528,3.6378,1.4712,1.5266,2.1427,0.6274,0.5554,1.9431,-0.0218,1
-0.6981,0.3684,1.1529,-0.7675,1.1006,3.0519,1.624,1.8859,0.2694,0.7784,3.6602,4.0661,3.6517,5.9546,3.7985,3.292,2.7947,2.7637,2.2297,0.6742,-1.3458,1
1.166,0.6461,0.1249,-0.8336,-0.7605,0.6601,2.1254,3.3449,2.26,1.6767,1.4603,2.9081,3.4824,4.3851,5.5711,5.0142,2.9758,3.0622,0.0742,0.4997,-0.0632,1
1.9841,0.2098,0.2435,-0.7207,-0.744,1.336,0.3208,1.9937,2.6071,3.5373,5.4956,5.4089,2.6929,2.1445,1.7781,1.3437,-0.1353,-1.4416,-0.3248,-0.4473,0.5925,1
-0.7269,0.472,0.0497,-0.654,0.9422,1.953,0.3275,1.2231,1.9612,3.6489,4.0915,3.3564,4.8724,2.8333,4.4634,1.5741,1.4063,3.0006,-1.0606,-0.3074,0.0997,1
-0.245,0.9757,-2.3357,-0.7722,-0.0187,0.7731,1.9671,1.1121,1.1765,2.1469,2.6215,2.6142,4.4829,4.9182,6.5647,2.9943,4.9138,0.6294,3.0592,2.307,-0.1483,1
-0.2751,-0.0601,0.2624,0.15,-0.6952,0.0522,0.4572,2.4367,2.5944,4.3266,6.5818,3.4311,4.6414,2.6815,3.5102,3.1896,0.3895,0.3713,-0.4409,2.5186,0.2566,1
1.5513,0.6772,1.7081,1.1414,-1.9158,-0.45,-0.7184,0.2933,1.599,2.7945,2.875,3.7149,3.4485,3.3208,4.7879,3.933,1.7907,1.0392,1.673,1.1879,1.6825,1
-0.137,0.7978,-0.5446,0.2502,-0.5039,0.3778,1.6505,-1.4931,1.7775,1.5239,3.3888,4.3461,3.3739,4.9628,5.0335,3.4009,3.9955,3.2103,4.0854,2.0044,0.233,1
0.7685,-0.6103,1.8182,0.8145,1.2567,2.2651,0.9866,3.0613,5.5399,5.8387,6.4341,5.5928,3.902,2.8061,2.1746,1.5162,1.7405,-0.5368,2.0818,-1.4637,0.4325,1
-0.5854,-1.608,-0.076,-1.2879,0.4674,-0.5512,0.5836,1.3585,2.1806,2.6382,2.5362,5.1798,3.7998,4.7476,3.5224,3.4685,1.1953,2.5093,2.7822,-0.3759,1.5584,1
0.8876,-1.0592,-0.3936,1.3604,0.5854,-0.3667,1.9664,0.6825,2.0145,1.4463,2.2409,3.5026,2.4053,5.392,3.5196,2.1514,1.9314,1.7454,0.639,-0.2397,-0.1947,1
-0.6849,0.5228,0.456,-0.6133,1.8838,1.5316,3.2408,1.1787,0.3378,1.4517,3.1584,2.7002,5.0625,4.4928,5.1468,4.0406,2.6678,2.1194,1.5412,1.3177,-1.4277,1
-2.1747,0.8998,-0.4741,-0.1176,-2.0253,0.9739,2.9563,2.3992,2.863,5.2894,6.1641,5.1319,4.9411,2.5444,4.0166,0.3202,2.5516,0.3628,0.6368,2.3216,-0.3403,1
0.3371,-0.0741,-1.8093,0.2491,-0.7669,-0.265,0.7022,0.7673,1.7636,0.8018,0.6362,3.3066,2.9906,4.7805,3.481,4.9882,3.084,2.5005,1.6017,0.0777,0.6669,1
0.8294,1.3803,1.4016,-1.0073,-0.274,1.1365,1.4675,2.8875,2.99,4.3144,6.6493,4.329,2.9267,3.081,2.3771,1.1961,0.0524,0.4407,-1.2741,-0.6714,0.8657,2
-0.453,-0.5657,1.3889,1.491,2.6775,2.4897,1.2816,3.86,5.0484,4.8606,7.0009,5.1453,2.1036,2.084,1.6879,2.7849,0.3157,0.9439,0.7926,0.886,0.6653,2
0.6018,0.6129,-0.2587,2.6561,0.6064,-0.1673,2.627,2.9551,3.5141,5.472,2.5351,4.2643,4.1158,3.3932,0.4233,-0.182,0.41,-0.9476,-0.4227,0.1892,-0.0955,2
-0.4947,1.9544,0.0412,3.7486,4.0931,3.1776,5.876,5.3762,2.8802,3.2112,3.3668,2.3237,0.6462,0.477,-0.2232,0.0103,0.1921,-2.479,-0.2376,1.6189,-1.0543,2
0.9313,-1.9618,0.4125,1.1945,0.0496,1.6806,3.2755,3.9981,3.793,4.7343,4.7152,4.8998,4.1363,2.6451,0.5527,1.3092,-0.5774,-1.3929,-1.8434,0.2727,-0.3976,2
-0.1457,0.3354,1.7087,-0.6038,-0.7773,1.1149,2.6247,2.1337,5.4222,4.9778,4.3729,4.49,2.7294,3.8801,1.3311,1.8851,0.1177,1.2486,0.2074,-0.4396,-0.5488,2
1.6072,-0.8841,0.9021,0.4109,1.6733,3.6369,3.0366,4.8751,6.2019,3.9572,4.6226,4.6222,4.275,1.4871,2.3456,2.0094,1.5281,0.1831,0.7909,0.1961,1.978,2
0.2613,2.3419,1.5123,1.9147,0.4951,4.4481,3.4143,5.6359,5.0395,4.9527,2.0965,2.5112,1.0658,2.4075,1.5166,1.6478,-0.489,0.4335,0.6489,0.0978,-0.4985,2
0.7508,0.4719,1.9904,0.7634,2.2369,2.3239,5.7877,4.4133,1.7924,4.6612,4.6462,3.8529,2.5054,1.8151,-1.1098,0.023,0.4101,-0.0561,-0.2055,0.6631,-0.9348,2
1.739,-1.2852,-0.9632,-1.1881,0.8807,0.6274,1.034,1.8618,4.9553,6.1916,5.8277,4.9138,4.3435,2.6459,3.4278,2.1278,0.324,0.3583,-1.1613,-0.7885,-0.7101,2
-0.3888,0.2175,0.884,0.7249,-0.7991,2.0932,3.9451,3.3072,4.775,6.9822,6.2781,3.5544,2.4021,1.0231,2.925,0.9135,0.1731,-0.0067,-0.1959,-0.3012,0.1656,2
2.1825,1.1732,1.7826,1.1033,1.6355,4.9378,7.1011,4.1132,3.6859,4.4001,3.5314,2.0001,-0.0184,-0.4881,1.727,1.485,-0.1713,0.1693,-2.2957,0.1148,-0.2107,2
0.5056,0.623,2.3351,2.5361,1.6256,5.1322,7.1821,3.8503,4.2319,3.2998,3.3954,2.2631,0.512,0.6506,-0.8763,-1.5335,-0.4353,-0.5259,1.2518,-1.2944,0.6322,2
0.6664,1.0503,-0.0096,-0.016,2.3507,1.7177,4.903,4.0998,3.9103,4.9346,4.7865,3.7468,2.8861,2.4393,1.5202,0.1023,-1.5523,-2.0882,-0.0207,-0.2715,0.3532,2
-0.5902,0.4726,2.4193,3.0256,4.9393,6.8124,6.0119,3.6095,3.4898,-0.0815,1.6921,0.8204,0.609,0.4974,-1.0158,-0.7515,-2.2115,0.515,-0.2337,0.9374,2.1236,2
-1.9093,-0.8336,-0.7644,1.126,1.9034,2.6583,3.503,5.2345,3.6834,3.2524,6.5192,2.7935,4.0035,1.9141,0.1186,-0.7792,-0.0579,-0.842,1.9835,0.0226,-1.0453,2
-1.9339,0.2509,-0.4858,4.2866,2.3116,3.2814,4.1337,2.839,4.5945,2.408,2.9373,2.6428,3.3169,0.9465,0.4677,1.4979,-1.0073,0.7895,-0.0306,-1.3717,-0.2076,2
-0.505,1.8638,0.5103,1.7356,1.2941,3.2131,4.3528,4.5642,4.9317,2.5668,4.3445,3.6074,2.9402,2.2655,1.622,-0.7351,1.251,0.5573,1.1123,0.9223,1.9178,2
0.138,0.7558,-0.1639,3.2252,3.1121,4.3963,5.3341,6.0312,4.7493,2.8965,3.9268,-0.357,1.4562,0.8354,-0.4241,-0.3889,-0.464,-0.4657,-0.2898,1.525,1.3768,2
-0.9701,0.8724,0.2621,1.4127,2.1588,2.4643,5.4,2.91,4.1922,3.7391,4.9335,2.3818,0.4979,1.7194,-0.7611,1.5497,-1.1307,-0.9299,0.4541,0.939,-0.6477,2
0.5943,-0.409,1.3768,3.4741,1.3303,3.8362,4.2335,4.5221,3.4844,3.242,3.7737,2.7981,0.3091,1.8597,2.0008,1.5357,-1.1744,0.7281,0.3414,-0.4376,0.3749,2
0.3513,2.9333,1.3913,3.7738,0.5035,3.953,3.116,3.4028,4.8405,3.6722,3.6541,3.9707,2.8087,0.6556,0.2607,1.4684,1.2838,-0.8031,-0.0138,0.7469,-0.9236,2
2.6012,2.2936,0.9347,1.5676,2.8807,2.887,4.1294,2.8009,4.6486,3.7114,3.8748,2.1575,2.4781,0.2193,-0.3941,0.293,-0.557,0.0898,-0.657,-0.6218,-0.0776,2
0.5461,0.1036,2.0357,-0.4486,0.1157,2.9079,2.5072,4.6913,4.4,2.8433,3.7278,4.6171,4.3434,3.2104,2.5589,-1.0069,1.9239,1.1301,-1.3147,1.6935,0.9226,2
1.0151,-0.1333,-1.1005,1.1365,0.2876,1.8515,2.939,3.7419,5.0963,5.9028,5.0112,3.7228,2.8483,1.3644,0.1756,1.2511,0.8571,-0.1563,0.4803,-1.8894,-0.5728,2
-0.2168,0.1176,1.3227,0.528,0.5542,1.9919,1.9115,1.5888,5.2985,5.8881,5.491,5.3011,4.2871,4.705,2.3818,1.6229,-0.7992,0.2824,-0.3566,0.5889,0.5489,2
0.8097,1.382,2.4596,1.4838,3.5353,4.4423,6.9399,6.0498,5.4957,4.1533,1.5741,0.2801,-0.7522,0.6271,0.4349,0.0265,-0.5174,-0.2985,-1.4344,0.1854,1.023,2
-1.0078,1.3974,2.3563,2.7011,3.3012,5.4603,6.7963,2.4807,4.312,3.9616,2.9626,2.675,2.0078,0.5101,1.3507,0.047,0.3578,1.2745,-0.8537,-1.2421,-0.6925,2
-0.6554,1.2247,-0.4147,-0.6521,-0.4391,1.1738,2.7165,2.449,3.2545,4.7057,6.2991,4.8699,4.9279,4.1474,1.5082,1.4286,-0.005,2.0434,-0.7321,0.6736,0.6688,2
-1.063,-0.8262,0.9985,-0.2167,-0.0727,0.9251,0.0922,3.0143,4.1985,3.5989,4.11,5.0559,4.3608,3.324,0.6589,2.5567,1.0784,-1.8332,-0.8136,-0.6189,1.3394,2
0.4364,2.3542,0.2668,3.2615,3.3066,4.3176,5.6389,5.7695,3.5671,3.7383,2.3135,1.6937,0.0667,1.0749,0.1864,1.9622,0.0358,0.2295,0.2291,2.0798,-0.4158,2
0.0824,1.8563,-0.1423,-1.3475,0.1244,1.4734,1.7794,2.4253,3.9811,3.4749,6.0171,4.4939,3.7448,3.6453,0.6969,0.792,1.6281,0.9927,-1.1526,-0.7211,0.8517,2
-0.4034,1.7481,0.9917,-0.3815,1.8201,3.3974,1.7881,2.529,5.017,4.2013,5.0636,1.292,4.3111,1.7836,-0.3052,1.4687,-0.8,-0.8686,0.86,0.4922,1.6009,2
0.3957,-0.6514,1.6935,-0.8656,2.2289,2.6463,2.1882,2.6824,4.0163,4.6402,6.6248,3.8094,4.5432,2.2868,1.5457,-0.3034,-0.3407,1.2465,1.6666,-0.1301,-0.4745,2
1.8524,0.318,2.1363,0.6784,1.9175,5.2175,3.0052,3.6165,3.6039,4.5793,1.8573,1.6393,0.8974,1.0013,-0.3024,0.7706,-1.1435,0.7626,-1.288,0.1101,-0.4346,2
1.1317,-0.0854,1.6236,0.811,1.8703,1.5229,3.7518,5.0273,3.1227,4.1618,4.4985,3.3157,1.8665,2.4285,1.7496,1.9149,-0.6373,-0.8475,1.5208,-1.1297,-0.3501,2
0.366,-0.1998,0.9322,1.2128,2.5291,3.779,5.1564,5.309,4.3451,5.7048,3.2475,1.9855,1.0564,2.2294,-1.5871,0.2879,-0.839,0.4062,-0.0302,-1.4463,0.3729,2
0.4257,0.8227,2.2894,2.4893,2.3014,4.5964,6.1941,4.8049,4.3389,4.5933,3.5193,-1.2535,-0.5392,1.6577,1.4819,1.0512,-0.472,0.0292,-0.6336,1.6456,0.8125,2
1.554,-0.781,1.0415,0.7772,0.7056,2.9673,2.5503,3.6078,4.2437,4.1961,3.5957,2.6881,2.2674,-1.4472,1.1247,-1.5998,0.9267,-0.3895,-0.6435,-0.6791,0.9044,2
-0.9531,0.7091,0.8587,3.6134,4.1884,4.2409,5.6582,4.4257,4.93,3.2268,1.9323,2.4819,1.156,0.5183,1.189,0.0631,-0.3532,0.9765,1.5852,1.5693,0.2251,2
1.0515,-0.5382,-1.3438,0.9739,0.3659,1.8218,4.8663,3.7976,2.3723,3.597,5.5328,4.6134,2.5792,2.9855,2.8388,0.1155,-1.3772,-1.5039,2.0517,0.2095,-1.7289,2
1.2317,0.8329,2.5687,1.289,2.4592,2.3291,3.2104,3.345,4.0801,4.1461,4.0733,2.3996,2.3213,1.408,2.4258,0.7351,-1.9473,1.4417,0.1182,0.3814,0.8164,2
0.429,1.4012,2.0862,3.5452,2.0333,6.4129,7.5065,4.6871,2.94,4.2801,2.3052,3.0642,0.2428,0.4051,0.9582,0.3142,1.3367,0.7795,0.4345,1.2116,-0.6094,2
-1.3979,0.1195,0.5709,0.8323,3.6406,4.3148,3.8478,5.5321,3.123,2.6589,2.4212,2.1431,-0.7799,1.9837,-0.1342,0.8134,0.0168,0.0509,-1.4345,1.0516,-0.6006,2
-1.6671,0.6463,0.6336,1.728,0.8089,3.6846,1.7621,3.2608,3.9959,3.5439,5.5053,3.9422,-0.4599,3.522,-0.253,-1.6878,-0.7661,-0.0956,0.1094,0.0151,-0.3461,2
1.3649,0.3298,2.4705,1.0529,1.3009,3.4909,4.2836,2.7098,4.3965,3.4324,5.6757,3.4168,3.5118,1.9963,-0.0715,0.9095,0.4417,0.8679,0.3613,-0.2979,1.6814,2
-0.2875,0.3233,1.6526,2.7791,5.0728,5.6947,5.4416,4.4304,5.7656,3.706,0.7544,1.131,0.7674,2.9625,1.7933,-1.7763,-0.0593,-0.4742,0.3757,0.4747,-0.1912,2
0.087,0.4563,0.5054,2.2941,3.1265,5.5236,7.3957,4.2028,4.1219,1.8429,1.6979,2.0836,-0.958,-1.4894,0.7916,0.5863,-1.8677,-1.255,0.1352,0.5706,1.7221,2
0.5267,1.5742,0.17,2.4284,0.0168,3.3591,3.867,4.1284,3.9476,2.8236,5.5402,4.0564,1.9938,0.9319,-0.2344,1.4536,0.4156,0.0389,-0.0158,-2.3864,-0.775,2
1.4027,-0.6442,1.2196,1.8718,1.0057,2.7607,1.428,2.0357,3.9441,5.6284,7.4178,4.8049,2.6629,3.7175,0.6188,2.9291,0.2043,-1.1345,-0.4526,1.1357,2.0541,2
0.0634,0.9529,0.2094,1.4435,1.2154,2.3321,2.5752,4.402,3.9648,2.1668,5.0561,3.1758,3.6477,1.8198,0.2635,1.0585,0.4176,2.1492,0.2711,-0.0595,0.2813,2
-2.3529,0.2383,1.5927,0.7177,3.2749,3.5406,5.7407,1.8411,3.7585,5.1238,4.69,3.791,2.0876,0.2611,1.1336,-1.1685,-0.8238,-1.1318,0.4253,0.864,0.2807,2
1.8324,1.4239,1.5378,2.0453,3.4961,4.825,6.5415,4.0957,3.1489,3.4711,0.5802,0.9515,2.0799,-0.4135,0.7107,-0.7099,-0.1263,0.3081,0.2145,0.5794,1.0968,2
-0.6565,0.1069,2.5341,3.7389,2.5628,4.4018,4.5536,4.2603,3.452,3.823,5.2593,2.3998,1.5112,0.2402,2.8566,-2.0501,-0.9478,0.9839,2.2596,-0.6149,0.1432,2
0.497,1.0301,1.5965,1.5692,2.2719,4.9632,6.2584,2.6437,4.8108,3.9302,1.4575,3.769,1.2402,0.8223,0.0577,-1.1118,-1.9874,1.5098,0.6151,0.3704,1.7904,2
-0.976,-0.4381,0.3247,3.4035,3.0347,4.0557,5.092,3.5339,3.546,3.4686,4.6163,3.9275,3.5482,2.4343,0.9546,0.7663,-1.4483,-0.3243,-0.9224,0.1025,-0.9965,2
-0.463,-0.7573,2.7834,3.1721,4.2993,4.2248,4.3154,5.0074,4.5313,3.1319,2.7447,1.489,-1.6198,1.3517,0.7557,0.0685,0.5763,1.6715,-0.4792,0.054,-0.1239,2
0.6583,-0.6557,-0.3965,1.0475,0.9104,1.7377,3.9462,4.8891,3.5327,3.8188,4.2776,4.2322,1.6881,1.172,-1.1602,-0.7686,0.229,0.0153,-0.2823,-0.463,-0.3894,2
