Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
576,6.5,1.4,8.1,2.0,6.0,3.06,Moderate
708,6.7,0.1,9.8,4.0,3.4,3.15,Moderate
183,7.1,1.5,7.6,0.3,7.5,3.17,Moderate
283,6.6,1.5,7.0,4.2,4.7,2.79,Moderate
1482,7.5,2.8,6.2,1.9,5.6,3.02,Moderate
832,7.1,3.8,7.7,3.3,2.1,3.33,Moderate
1042,6.1,1.6,8.5,1.3,6.5,2.76,Moderate
1431,6.1,2.7,7.7,5.0,2.5,3.04,Moderate
1639,7.3,1.6,8.4,1.5,5.2,3.27,Moderate
1123,6.0,2.5,6.8,6.0,2.7,2.5,Moderate
641,7.4,2.9,6.4,1.2,6.1,2.89,Moderate
932,6.5,2.6,8.0,4.2,2.7,2.83,Moderate
269,6.0,0.4,6.3,0.3,11.0,3.05,Moderate
1191,6.9,3.4,8.2,3.6,1.9,3.37,Moderate
201,6.2,0.1,9.4,0.1,8.2,2.95,Moderate
588,8.0,3.5,9.7,0.3,2.5,3.02,Moderate
992,6.7,2.8,8.8,5.3,0.4,3.05,Moderate
155,7.3,0.5,9.9,5.0,1.3,3.11,Moderate
557,6.1,2.7,8.7,5.1,1.4,2.57,Moderate
1941,6.9,1.5,8.2,3.0,4.4,2.99,Moderate
20,6.6,2.0,9.5,1.5,4.4,2.93,Moderate
780,8.0,2.4,8.4,3.0,2.2,2.96,Moderate
1645,8.0,2.4,9.1,1.9,2.6,3.01,Moderate
721,7.7,1.2,7.5,1.8,5.8,2.88,Moderate
1899,7.9,2.3,7.4,3.3,3.1,3.75,Moderate
504,6.5,0.4,8.9,3.9,4.3,3.01,Moderate
1051,7.9,3.6,7.8,3.0,1.7,3.05,Moderate
597,6.2,0.9,6.4,1.5,9.0,2.92,Moderate
1002,7.5,3.6,8.6,2.5,1.8,3.19,Moderate
336,6.9,1.6,7.3,4.7,3.5,3.38,Moderate
628,7.3,0.7,9.3,5.3,1.4,2.97,Moderate
1157,7.4,2.0,9.2,4.5,0.9,2.77,Moderate
1800,7.4,0.2,9.9,4.3,2.2,2.84,Moderate
1892,8.0,2.5,7.7,0.5,5.3,3.12,Moderate
1648,6.9,1.8,7.7,1.2,6.4,2.75,Moderate
601,7.6,0.3,6.9,5.5,3.7,3.35,Moderate
167,6.9,1.1,8.2,2.5,5.3,3.22,Moderate
1490,6.1,2.1,6.3,5.6,3.9,2.73,Moderate
424,6.5,2.4,6.5,1.8,6.8,2.91,Moderate
1681,6.7,1.6,8.6,3.1,4.0,3.54,Moderate
234,7.0,1.1,9.9,2.5,3.5,2.84,Moderate
701,6.7,2.0,8.1,5.5,1.7,3.11,Moderate
1421,7.8,1.0,8.3,0.7,6.2,2.69,Moderate
1221,7.5,1.3,7.2,5.1,2.9,3.27,Moderate
506,6.0,1.5,6.8,0.3,9.4,2.44,Moderate
768,6.8,1.6,8.4,0.3,6.9,2.88,Moderate
1495,6.9,3.5,7.8,2.5,3.3,3.02,Moderate
493,7.5,1.8,7.9,3.7,3.1,3.17,Moderate
102,7.3,0.5,9.8,3.6,2.8,3.22,Moderate
1646,7.7,1.8,7.2,0.5,6.8,2.97,Moderate
1146,7.4,0.6,8.2,1.0,6.8,3.11,Moderate
713,7.2,1.0,6.7,5.0,4.1,3.21,Moderate
1828,6.8,3.2,7.6,0.8,5.6,2.78,Moderate
432,8.0,2.8,6.2,3.1,3.9,3.46,Moderate
318,6.9,3.5,9.3,3.5,0.8,3.02,Moderate
205,6.8,1.1,6.5,1.4,8.2,3.01,Moderate
693,7.8,3.4,9.0,0.7,3.1,2.95,Moderate
1654,6.7,2.3,6.6,0.5,7.9,2.77,Moderate
1327,7.7,2.7,8.5,4.9,0.2,2.68,Moderate
829,8.0,3.6,6.9,1.2,4.3,3.08,Moderate
744,7.5,2.9,9.8,0.8,3.0,3.19,Moderate
69,7.3,2.2,9.7,1.9,2.9,3.15,Moderate
1661,6.1,1.6,9.3,4.3,2.7,2.65,Moderate
1274,7.8,2.1,8.3,1.4,4.4,3.31,Moderate
1500,6.8,0.0,9.2,0.2,7.8,2.8,Moderate
255,6.3,1.9,9.3,4.4,2.1,2.85,Moderate
968,7.2,1.1,7.8,2.1,5.8,2.93,Moderate
1124,7.8,3.7,9.0,1.6,1.9,2.6,Moderate
108,7.6,3.1,7.0,3.7,2.6,3.28,Moderate
1447,7.1,2.9,7.6,0.4,6.0,3.15,Moderate
1632,7.0,1.6,6.4,1.6,7.4,2.97,Moderate
1540,6.8,1.9,6.6,0.9,7.8,3.38,Moderate
1007,6.5,1.9,9.3,1.8,4.5,2.92,Moderate
1631,7.4,2.2,9.6,4.3,0.5,2.77,Moderate
1085,7.9,0.7,8.6,1.1,5.7,3.18,Moderate
1102,6.3,0.3,6.3,5.5,5.6,3.06,Moderate
1476,8.0,0.7,8.7,1.8,4.8,3.25,Moderate
1377,7.8,2.9,9.7,3.3,0.3,3.09,Moderate
719,6.6,2.8,6.4,1.1,7.1,2.88,Moderate
1006,7.8,0.2,9.9,3.1,3.0,3.07,Moderate
1076,7.7,0.4,8.8,3.5,3.6,3.0,Moderate
1832,6.0,2.9,8.5,1.5,5.1,3.17,Moderate
1917,7.2,3.1,7.6,1.9,4.2,2.79,Moderate
731,6.1,2.5,6.3,3.5,5.6,3.13,Moderate
1902,7.4,3.3,9.8,2.2,1.3,3.06,Moderate
1897,7.6,2.7,6.9,1.5,5.3,3.05,Moderate
1791,7.4,0.1,8.4,1.8,6.3,2.75,Moderate
1296,7.3,1.1,9.8,1.8,4.0,2.91,Moderate
1039,8.0,3.0,6.1,5.0,1.9,2.9,Moderate
1382,6.4,0.2,8.3,5.2,3.9,2.75,Moderate
1582,7.1,2.0,7.4,1.6,5.9,2.86,Moderate
414,6.1,3.3,6.4,3.9,4.3,2.86,Moderate
455,6.6,2.3,6.9,3.6,4.6,3.2,Moderate
1835,6.9,3.0,6.9,2.0,5.2,3.23,Moderate
624,6.0,2.0,7.1,0.1,8.8,2.85,Moderate
833,6.1,2.5,7.9,1.1,6.4,2.94,Moderate
844,7.1,2.0,7.1,0.1,7.7,3.34,Moderate
21,7.1,3.0,6.1,0.5,7.3,2.9,Moderate
350,7.2,2.5,9.7,1.1,3.5,2.69,Moderate
1572,6.3,3.9,8.1,4.5,1.2,2.89,Moderate
1136,6.7,0.0,8.4,5.0,3.9,3.05,Moderate
1761,7.4,1.8,6.0,1.8,7.0,3.13,Moderate
1115,8.0,2.5,7.1,0.9,5.5,3.13,Moderate
1361,7.4,3.0,9.3,2.7,1.6,2.95,Moderate
1966,7.4,0.9,8.5,1.1,6.1,3.48,Moderate
526,6.3,1.4,9.6,1.7,5.0,2.74,Moderate
1692,6.4,3.3,9.9,2.2,2.2,2.9,Moderate
180,6.4,2.2,8.3,5.0,2.1,2.76,Moderate
174,6.3,1.5,8.0,1.6,6.6,3.15,Moderate
287,6.9,1.6,7.9,3.2,4.4,3.31,Moderate
604,7.2,2.6,9.7,0.3,4.2,3.42,Moderate
1250,6.7,2.1,7.9,0.1,7.2,2.78,Moderate
1788,7.7,3.5,9.6,0.9,2.3,3.39,Moderate
272,7.3,2.1,7.4,4.0,3.2,3.16,Moderate
31,6.2,2.9,6.8,3.8,4.3,3.05,Moderate
1049,6.1,2.6,8.0,5.5,1.8,3.01,Moderate
1669,7.0,0.7,6.3,1.6,8.4,2.63,Moderate
822,7.8,3.6,7.0,1.7,3.9,3.19,Moderate
860,7.4,0.5,6.3,2.5,7.3,3.4,Moderate
1282,6.2,1.2,8.9,0.5,7.2,2.76,Moderate
1990,7.0,2.7,7.4,6.0,0.9,2.85,Moderate
910,7.4,3.9,8.8,1.0,2.9,3.11,Moderate
1239,7.1,0.9,9.8,0.8,5.4,3.01,Moderate
629,7.3,0.3,6.9,4.8,4.7,3.09,Moderate
1338,7.5,3.5,6.2,0.5,6.3,3.0,Moderate
1306,8.0,0.3,6.1,5.6,4.0,2.76,Moderate
320,6.7,3.9,8.2,4.3,0.9,2.83,Moderate
1336,6.8,1.5,7.7,0.0,8.0,3.15,Moderate
1052,6.2,2.0,6.6,1.1,8.1,2.94,Moderate
1350,7.9,2.5,7.8,4.3,1.5,3.19,Moderate
305,6.0,1.3,6.1,2.1,8.5,2.91,Moderate
94,7.9,0.3,9.9,5.8,0.1,3.08,Moderate
62,7.1,1.0,6.8,4.5,4.6,3.27,Moderate
1138,6.5,1.5,8.8,4.9,2.3,2.88,Moderate
948,7.3,3.0,6.8,3.8,3.1,2.91,Moderate
883,7.4,0.4,6.2,1.9,8.1,3.16,Moderate
1370,6.2,1.6,8.9,4.6,2.7,2.63,Moderate
978,6.4,2.5,7.3,2.9,4.9,3.12,Moderate
906,7.2,0.5,7.6,2.1,6.6,3.11,Moderate
508,7.4,3.5,6.1,4.1,2.9,2.88,Moderate
963,6.5,2.1,7.8,3.6,4.0,2.9,Moderate
135,6.3,2.7,8.8,3.6,2.6,2.45,Moderate
1161,6.6,2.2,7.8,2.1,5.3,3.09,Moderate
1747,6.4,1.1,6.4,5.1,5.0,2.79,Moderate
27,6.8,3.9,9.8,0.9,2.6,2.64,Moderate
93,7.3,2.5,6.4,1.1,6.7,2.67,Moderate
950,7.4,0.9,9.8,4.2,1.7,2.94,Moderate
759,6.2,3.5,9.6,2.0,2.7,2.55,Moderate
1846,7.5,0.1,6.6,4.9,4.9,3.14,Moderate
1976,8.0,2.4,6.8,5.4,1.4,3.42,Moderate
1627,7.0,2.1,9.0,2.2,3.7,2.89,Moderate
325,7.2,0.4,8.2,1.3,6.9,3.39,Moderate
1025,7.6,4.0,8.1,1.6,2.7,3.02,Moderate
1056,7.6,0.1,8.2,0.5,7.6,3.56,Moderate
1521,6.0,0.8,8.4,1.3,7.5,3.19,Moderate
1026,6.9,1.4,7.2,4.7,3.8,3.14,Moderate
692,6.9,3.2,6.8,0.5,6.6,3.08,Moderate
677,6.2,0.5,6.3,2.1,8.9,2.84,Moderate
1027,7.4,3.2,7.9,1.9,3.6,2.99,Moderate
379,7.2,2.9,8.8,0.8,4.3,2.88,Moderate
922,6.4,1.2,6.9,2.4,7.1,3.0,Moderate
1061,6.3,0.5,6.3,2.3,8.6,2.97,Moderate
1121,6.1,0.9,8.1,5.0,3.9,2.61,Moderate
1853,7.4,2.0,6.1,1.6,6.9,3.22,Moderate
107,6.8,2.4,7.0,2.6,5.2,2.97,Moderate
646,6.1,2.4,6.3,4.0,5.2,2.73,Moderate
1655,6.1,0.8,7.1,3.9,6.1,3.4,Moderate
961,7.8,3.4,8.3,2.0,2.5,3.18,Moderate
632,7.2,4.0,7.8,1.6,3.4,2.98,Moderate
1050,7.8,1.1,7.4,2.0,5.7,3.04,Moderate
566,6.7,3.9,9.3,2.9,1.2,2.78,Moderate
291,7.4,1.0,6.4,1.8,7.4,3.15,Moderate
1591,6.0,1.3,6.4,3.2,7.1,2.84,Moderate
1893,7.2,4.0,9.2,3.2,0.4,2.95,Moderate
376,6.5,3.8,6.3,2.6,4.8,2.62,Moderate
1797,7.2,3.3,9.1,0.8,3.6,2.87,Moderate
280,7.8,3.0,9.4,1.5,2.3,3.25,Moderate
1063,6.4,2.6,6.7,6.0,2.3,2.78,Moderate
1396,7.2,3.8,6.2,3.2,3.6,3.02,Moderate
1644,6.4,3.2,9.0,2.5,2.9,2.87,Moderate
659,6.1,2.4,9.6,5.5,0.4,2.99,Moderate
798,8.0,1.6,6.2,0.6,7.6,3.38,Moderate
343,6.8,1.2,6.7,4.6,4.7,2.81,Moderate
1730,6.6,0.6,7.0,5.9,3.9,2.83,Moderate
461,7.5,3.9,6.9,0.2,5.5,3.11,Moderate
1531,6.8,2.6,6.2,0.7,7.7,3.0,Moderate
1706,7.3,0.0,7.8,4.0,4.9,2.75,Moderate
805,7.2,2.5,9.2,1.0,4.1,3.07,Moderate
1,6.9,3.8,8.7,2.8,1.8,2.99,Moderate
1989,7.3,1.4,8.5,4.6,2.2,3.28,Moderate
899,7.2,3.5,7.5,2.9,2.9,3.04,Moderate
1386,7.4,1.4,6.6,5.8,2.8,2.87,Moderate
1484,7.3,0.1,9.4,0.1,7.1,3.29,Moderate
458,6.7,0.3,7.0,1.9,8.1,3.28,Moderate
771,7.1,1.0,8.4,5.0,2.5,3.26,Moderate
1813,6.4,0.6,7.7,3.2,6.1,3.0,Moderate
1950,7.6,1.3,9.3,2.7,3.1,2.98,Moderate
1795,7.6,2.1,9.6,2.6,2.1,2.78,Moderate
548,7.6,3.0,6.4,2.1,4.9,2.83,Moderate
1139,7.0,3.8,7.0,4.6,1.6,3.24,Moderate
1116,6.1,2.9,6.6,3.0,5.4,3.01,Moderate
1841,7.6,2.3,9.7,0.9,3.5,3.36,Moderate
1613,6.5,0.1,6.1,1.7,9.6,2.72,Moderate
894,6.8,3.5,8.6,0.6,4.5,3.23,Moderate
1365,6.4,3.3,7.6,2.8,3.9,3.11,Moderate
191,6.8,0.4,9.6,0.8,6.4,3.01,Moderate
876,7.1,0.8,9.9,3.9,2.3,3.28,Moderate
676,6.4,3.2,6.6,1.8,6.0,3.06,Moderate
1998,6.2,0.0,6.2,0.8,10.8,3.14,Moderate
1718,7.4,1.2,7.6,2.3,5.5,3.03,Moderate
420,6.4,3.4,6.5,5.5,2.2,3.0,Moderate
1357,7.6,3.6,9.0,0.3,3.5,3.27,Moderate
1528,7.4,2.5,7.3,5.4,1.4,3.25,Moderate
1970,6.3,1.7,6.8,5.2,4.0,2.84,Moderate
408,7.4,3.3,7.3,2.1,3.9,3.34,Moderate
1048,7.2,2.9,8.5,5.3,0.1,3.26,Moderate
1825,7.5,3.3,7.0,0.6,5.6,2.82,Moderate
1190,7.9,3.6,7.8,0.8,3.9,3.45,Moderate
633,6.1,1.4,6.9,0.4,9.2,2.79,Moderate
1047,6.6,2.8,8.8,1.8,4.0,2.87,Moderate
558,6.6,2.9,9.1,1.0,4.4,2.85,Moderate
474,6.4,3.5,9.7,0.7,3.7,2.89,Moderate
1643,6.4,2.7,8.4,1.3,5.2,2.94,Moderate
1763,6.2,0.7,8.9,0.8,7.4,3.02,Moderate
650,6.6,3.6,9.4,1.4,3.0,2.94,Moderate
1756,7.7,1.1,9.5,5.3,0.4,2.99,Moderate
1621,6.6,1.0,9.8,5.5,1.1,3.23,Moderate
1984,6.2,1.2,9.7,5.0,1.9,3.06,Moderate
1038,8.0,0.4,8.4,0.4,6.8,3.39,Moderate
1872,8.0,1.8,6.8,2.1,5.3,3.23,Moderate
537,6.2,2.6,8.3,1.0,5.9,3.23,Moderate
527,7.3,3.6,8.5,0.3,4.3,2.93,Moderate
1977,7.5,1.9,10.0,2.3,2.3,3.14,Moderate
74,6.7,3.7,9.3,1.8,2.5,2.89,Moderate
622,7.7,0.5,8.0,0.7,7.1,3.34,Moderate
1666,6.3,0.7,9.8,5.1,2.1,3.03,Moderate
45,7.9,2.0,6.0,4.3,3.8,2.97,Moderate
988,6.0,3.1,7.1,3.4,4.4,2.84,Moderate
103,6.1,2.7,8.1,2.1,5.0,2.98,Moderate
1967,7.8,1.0,9.8,0.2,5.2,3.04,Moderate
612,6.8,2.0,9.7,4.8,0.7,3.09,Moderate
1952,7.7,0.9,7.4,1.9,6.1,3.31,Moderate
1198,6.3,1.5,9.2,1.2,5.8,3.15,Moderate
826,7.9,3.7,8.4,1.9,2.1,2.68,Moderate
976,7.2,2.3,7.9,2.0,4.6,3.06,Moderate
1286,7.4,4.0,8.4,0.3,3.9,3.15,Moderate
902,6.3,3.0,7.6,1.9,5.2,2.48,Moderate
574,6.3,2.5,7.9,5.0,2.3,3.07,Moderate
476,6.4,0.8,8.8,2.3,5.7,3.21,Moderate
1375,6.3,1.6,6.9,4.8,4.4,2.69,Moderate
933,6.8,3.3,6.0,2.8,5.1,2.92,Moderate
444,6.3,0.2,8.0,4.1,5.4,2.97,Moderate
1878,8.0,2.0,8.2,5.6,0.2,3.4,Moderate
623,6.7,0.6,8.5,1.2,7.0,3.18,Moderate
1249,7.5,0.3,7.8,3.0,5.4,3.09,Moderate
241,6.3,3.2,6.6,2.7,5.2,2.85,Moderate
1412,7.9,1.6,6.8,1.3,6.4,3.1,Moderate
761,6.5,0.2,7.9,2.4,7.0,2.98,Moderate
915,7.1,1.5,9.4,5.4,0.6,2.65,Moderate
66,6.9,2.5,7.5,5.1,2.0,3.06,Moderate
1349,6.8,1.7,8.1,0.4,7.0,2.75,Moderate
1032,6.2,3.9,9.8,1.0,3.1,2.87,Moderate
859,6.3,2.8,7.8,4.8,2.3,3.08,Moderate
1709,6.6,2.9,8.2,2.0,4.3,3.14,Moderate
1943,6.1,3.7,8.6,4.3,1.3,2.79,Moderate
663,7.5,2.8,8.5,3.4,1.8,2.98,Moderate
1298,7.2,3.2,8.7,2.1,2.8,2.78,Moderate
1798,6.5,1.2,8.6,1.4,6.3,3.18,Moderate
1419,6.1,0.9,6.4,0.8,9.8,2.79,Moderate
382,6.4,3.0,7.2,4.7,2.7,3.03,Moderate
635,6.1,2.6,7.4,0.0,7.9,3.03,Moderate
981,6.7,3.4,7.8,3.1,3.0,2.98,Moderate
1486,7.7,0.9,7.1,3.9,4.4,3.08,Moderate
1861,6.2,4.0,6.0,3.5,4.3,2.88,Moderate
1326,7.2,0.0,9.1,2.2,5.5,3.41,Moderate
1273,6.7,3.2,6.2,0.4,7.5,2.74,Moderate
16,6.7,0.3,6.6,2.0,8.4,3.2,Moderate
185,6.4,1.4,8.6,1.8,5.8,2.77,Moderate
1186,7.0,0.2,7.5,0.7,8.6,2.81,Moderate
1561,6.0,1.6,9.7,2.3,4.4,2.66,Moderate
1599,7.9,1.8,9.3,4.8,0.2,3.34,Moderate
64,7.4,0.4,7.5,2.8,5.9,3.26,Moderate
200,6.6,2.5,9.4,3.4,2.1,3.03,Moderate
1961,7.1,0.4,8.1,0.9,7.5,3.02,Moderate
1859,6.3,2.8,9.0,1.8,4.1,2.79,Moderate
10,7.7,0.7,9.8,4.5,1.3,2.76,Moderate
1319,6.5,0.7,6.9,5.5,4.4,2.71,Moderate
1217,6.0,0.2,8.7,5.0,4.1,3.04,Moderate
1017,6.4,1.1,7.0,6.0,3.5,2.98,Moderate
925,7.7,0.3,6.9,2.5,6.6,3.08,Moderate
1453,6.6,3.0,9.9,2.0,2.5,3.03,Moderate
931,8.0,3.3,6.9,0.8,5.0,3.08,Moderate
1844,7.3,2.8,6.9,1.0,6.0,3.24,Moderate
766,6.7,1.6,7.6,1.0,7.1,2.93,Moderate
104,7.6,3.1,7.6,4.9,0.8,2.99,Moderate
1638,7.1,2.9,9.3,0.7,4.0,3.12,Moderate
880,7.0,1.1,6.0,4.7,5.2,3.2,Moderate
204,7.1,3.0,6.2,0.7,7.0,3.36,Moderate
1150,7.7,0.4,7.1,5.1,3.7,2.94,Moderate
772,7.0,0.6,8.7,2.2,5.5,3.15,Moderate
142,6.2,3.6,6.9,3.3,4.0,3.27,Moderate
587,6.3,2.7,8.5,3.7,2.8,2.72,Moderate
801,6.6,1.2,7.0,4.0,5.2,2.76,Moderate
1944,7.6,0.7,6.5,1.9,7.3,3.0,Moderate
1177,6.2,1.5,6.3,2.9,7.1,2.97,Moderate
1162,6.9,1.0,6.2,2.7,7.2,3.02,Moderate
626,6.3,0.0,8.6,3.2,5.9,3.14,Moderate
1731,6.1,2.4,7.2,0.4,7.9,3.29,Moderate
1405,7.4,1.5,7.5,3.5,4.1,3.33,Moderate
673,6.7,0.3,9.9,4.9,2.2,2.96,Moderate
1735,6.1,2.9,9.7,2.8,2.5,2.5,Moderate
1493,7.8,0.4,6.0,2.5,7.3,3.24,Moderate
1318,7.1,3.9,6.0,1.3,5.7,3.3,Moderate
1957,7.4,1.6,6.6,2.7,5.7,2.88,Moderate
1748,6.2,3.2,7.8,0.0,6.8,2.8,Moderate
276,7.5,2.5,9.3,2.7,2.0,3.2,Moderate
1442,7.6,3.2,8.7,3.0,1.5,2.86,Moderate
610,7.6,2.1,6.8,2.1,5.4,2.97,Moderate
1317,6.3,0.2,6.2,4.8,6.5,2.93,Moderate
596,6.0,3.5,8.7,0.1,5.7,2.95,Moderate
997,7.0,2.4,7.2,4.5,2.9,3.0,Moderate
671,6.4,3.2,10.0,0.1,4.3,3.01,Moderate
1401,7.6,1.1,7.3,2.8,5.2,3.2,Moderate
1154,7.1,0.6,8.5,4.6,3.2,3.11,Moderate
1203,7.4,3.1,6.9,2.7,3.9,2.82,Moderate
1839,6.9,2.7,8.9,2.9,2.6,2.77,Moderate
1439,6.0,0.2,8.0,5.9,3.9,2.76,Moderate
563,7.6,2.0,6.8,5.6,2.0,3.25,Moderate
1407,7.6,1.6,7.9,0.5,6.4,2.89,Moderate
1997,6.3,2.8,8.8,1.5,4.6,2.65,Moderate
767,7.9,3.2,8.8,0.6,3.5,3.09,Moderate
1339,6.8,3.0,7.8,4.9,1.5,2.99,Moderate
1651,6.3,3.2,9.7,0.7,4.1,2.65,Moderate
412,7.4,3.9,8.2,0.6,3.9,3.02,Moderate
1935,6.4,0.2,9.0,2.5,5.9,2.81,Moderate
289,6.0,0.0,8.2,5.4,4.4,2.92,Moderate
456,6.9,0.7,7.2,0.9,8.3,3.26,Moderate
1279,6.9,1.2,7.3,4.9,3.7,3.05,Moderate
1955,7.9,2.0,9.4,0.4,4.3,3.42,Moderate
466,7.8,2.2,8.8,4.3,0.9,3.2,Moderate
1558,6.2,3.7,7.6,2.2,4.3,2.84,Moderate
562,6.5,2.9,8.8,0.6,5.2,2.67,Moderate
1271,7.9,1.8,6.7,4.5,3.1,3.24,Moderate
1905,7.3,1.3,7.4,4.9,3.1,2.83,Moderate
699,7.4,1.7,8.0,6.0,0.9,3.0,Moderate
1342,6.3,1.8,7.7,4.0,4.2,2.91,Moderate
1981,7.5,2.6,7.5,3.0,3.4,3.02,Moderate
1380,6.7,1.9,8.1,5.2,2.1,2.88,Moderate
1607,7.3,0.1,8.2,2.5,5.9,2.92,Moderate
24,6.1,1.7,9.1,5.2,1.9,2.85,Moderate
1519,6.4,0.1,7.1,5.4,5.0,2.72,Moderate
141,7.2,1.5,7.3,1.8,6.2,3.08,Moderate
525,7.9,0.6,9.1,3.8,2.6,3.5,Moderate
853,7.1,2.2,7.0,3.1,4.6,2.87,Moderate
983,7.9,0.5,7.9,4.6,3.1,3.38,Moderate
1536,6.7,0.9,7.4,3.3,5.7,3.26,Moderate
1592,6.2,1.8,7.6,4.6,3.8,2.98,Moderate
1158,7.5,2.3,6.2,4.8,3.2,2.93,Moderate
246,7.8,2.8,9.0,0.9,3.5,3.11,Moderate
435,6.3,1.4,7.4,0.3,8.6,2.86,Moderate
1838,7.4,2.0,6.6,0.8,7.2,3.1,Moderate
1938,7.5,1.8,7.6,0.8,6.3,2.93,Moderate
