What_would_you_call_the_part_of_the_country_you_live_in_now,How_much_do_you_personally_identify_as_a_Midwesterner,Do_you_consider_Illinois_state_as_part_of_the_Midwest,Do_you_consider_Indiana_state_as_part_of_the_Midwest,Do_you_consider_Iowa_state_as_part_of_the_Midwest,Do_you_consider_Kansas_state_as_part_of_the_Midwest,Do_you_consider_Michigan_state_as_part_of_the_Midwest,Do_you_consider_Minnesota_state_as_part_of_the_Midwest,Do_you_consider_Missouri_state_as_part_of_the_Midwest,Do_you_consider_Nebraska_state_as_part_of_the_Midwest,Do_you_consider_North_Dakota_state_as_part_of_the_Midwest,Do_you_consider_Ohio_state_as_part_of_the_Midwest,Do_you_consider_South_Dakota_state_as_part_of_the_Midwest,Do_you_consider_Wisconsin_state_as_part_of_the_Midwest,Do_you_consider_Arkansas_state_as_part_of_the_Midwest,Do_you_consider_Colorado_state_as_part_of_the_Midwest,Do_you_consider_Kentucky_state_as_part_of_the_Midwest,Do_you_consider_Oklahoma_state_as_part_of_the_Midwest,Do_you_consider_Pennsylvania_state_as_part_of_the_Midwest,Do_you_consider_West_Virginia_state_as_part_of_the_Midwest,Do_you_consider_Montana_state_as_part_of_the_Midwest,Do_you_consider_Wyoming_state_as_part_of_the_Midwest,Gender,Age,Household_Income,Education,In_what_ZIP_code_is_your_home_located,Census_Region
Southeast Texas,Not much,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Male,> 60,"$50,000 - $99,999",Graduate degree,77304,West South Central
Midwest,Some,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Female,> 60,"$50,000 - $99,999",Some college,73139,West South Central
new and gleaming,Not at all,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$150,000+",Some college,76018,West South Central
Hell,Not at all,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Female,45-60,"$0 - $24,999",Some college,73141,West South Central
Southwest,A lot,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Female,45-60,"$50,000 - $99,999",Some college,73120,West South Central
Southwest,Not at all,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$50,000 - $99,999",Some college,79938,West South Central
South or mid-south,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$150,000+",Graduate degree,73003,West South Central
south,Not much,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,72015,West South Central
Mid South,Some,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Male,18-29,"$25,000 - $49,999",Graduate degree,72903,West South Central
south redneck heaven,Some,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Male,45-60,"$50,000 - $99,999",Some college,74480,West South Central
The south,Some,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Female,45-60,"$50,000 - $99,999",Some college,72032,West South Central
The South,Not much,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$50,000 - $99,999",Some college,72032,West South Central
mid-south,Some,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Female,30-44,"$0 - $24,999",Associate or bachelor degree,72034,West South Central
Southwest,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$50,000 - $99,999",Graduate degree,78750,West South Central
Texas,Not at all,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$150,000+",Graduate degree,77054,West South Central
"the country, south, but not rural",Not at all,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Male,30-44,"$50,000 - $99,999",High school degree,72032,West South Central
Midwest,Some,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Graduate degree,63011,West South Central
south,Not at all,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Female,30-44,"$25,000 - $49,999",High school degree,71049,West South Central
South,Not at all,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Female,30-44,"$0 - $24,999",Associate or bachelor degree,71901,West South Central
mountain top - summit,Some,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Female,> 60,"$25,000 - $49,999",Some college,72036,West South Central
South,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Female,> 60,"$100,000 - $149,999",Graduate degree,78750,West South Central
South,Not at all,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Male,18-29,"$100,000 - $149,999",Associate or bachelor degree,75244,West South Central
south,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Male,45-60,"$50,000 - $99,999",Some college,76528,West South Central
Southwest,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$150,000+",Graduate degree,78654,West South Central
The Deep South,Not at all,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Male,30-44,"$50,000 - $99,999",Graduate degree,70605,West South Central
South Central,Not much,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Female,> 60,"$150,000+",High school degree,74962,West South Central
Green country -upper south,Not much,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Female,45-60,"$100,000 - $149,999",Some college,74136,West South Central
in a mess,Not at all,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Female,> 60,"$25,000 - $49,999",High school degree,70131,West South Central
Middle Plains,Not at all,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Female,45-60,"$25,000 - $49,999",Some college,74401,West South Central
Mid west or Central Western States,A lot,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Male,> 60,"$50,000 - $99,999",Graduate degree,74801,West South Central
The Southeast,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Male,45-60,"$150,000+",Some college,70431,West South Central
"The South, but I being so close to Missouri, I prefer midwest.",A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Female,45-60,"$25,000 - $49,999",Associate or bachelor degree,72703,West South Central
southwest,Not much,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Female,45-60,"$150,000+",Graduate degree,73034,West South Central
Southern Mid-West,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Male,> 60,"$150,000+",Graduate degree,73008,West South Central
Texas,Not at all,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Male,18-29,"$150,000+",Associate or bachelor degree,77345,West South Central
midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$25,000 - $49,999",Graduate degree,53575,East North Central
Midwest,Some,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Female,45-60,"$150,000+",Some college,43469,East North Central
Central,Not much,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Male,30-44,"$25,000 - $49,999",Graduate degree,60615,East North Central
MidWest,A lot,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
The midwest,A lot,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$50,000 - $99,999",Some college,49505,East North Central
Upper Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Male,> 60,"$25,000 - $49,999",Graduate degree,54849,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$25,000 - $49,999",Graduate degree,60647,East North Central
"Midwest, on the edge of East",Some,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
great,Not at all,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$0 - $24,999",Some college,60429,East North Central
Southern Illinois,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Female,18-29,"$25,000 - $49,999",Associate or bachelor degree,62816,East North Central
Buckeye country!,A lot,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Male,45-60,"$50,000 - $99,999",Some college,44618,East North Central
Upper Midwest,Some,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Female,18-29,"$50,000 - $99,999",Some college,47905,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,48009,East North Central
Cold,A lot,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$150,000+",Some college,60008,East North Central
Midwest,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,49088,East North Central
MIDWEST,Some,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Female,45-60,"$150,000+",Graduate degree,46226,East North Central
The midwest,Some,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,60439,East North Central
midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Graduate degree,46220,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$100,000 - $149,999",Associate or bachelor degree,53144,East North Central
Midwest,Some,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$0 - $24,999",Associate or bachelor degree,60137,East North Central
A Midwest city,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$0 - $24,999",Some college,49503,East North Central
midwest,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$150,000+",Graduate degree,60053,East North Central
small quaint town,A lot,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Female,> 60,"$150,000+",High school degree,60098,East North Central
COLD,Not much,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,18-29,"$0 - $24,999",Associate or bachelor degree,60115,East North Central
Suburban,Not much,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$50,000 - $99,999",Some college,60130,East North Central
Midwest,Some,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Female,18-29,"$150,000+",Associate or bachelor degree,44121,East North Central
The only semi-descent place to live in this country.,Not much,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Female,30-44,"$100,000 - $149,999",Associate or bachelor degree,46582,East North Central
Northern Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Male,> 60,"$50,000 - $99,999",Associate or bachelor degree,48097,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Male,45-60,"$150,000+",Graduate degree,44236,East North Central
southwest,Not at all,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Great Lakes Region,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Male,18-29,"$0 - $24,999",Some college,49931,East North Central
Ohio,Not at all,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Male,30-44,"$100,000 - $149,999",Some college,45419,East North Central
Mid west,Not much,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Female,18-29,"$25,000 - $49,999",Associate or bachelor degree,46256,East North Central
Midwest,Some,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Graduate degree,47803,East North Central
severely broken,Not at all,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Male,> 60,"$150,000+",Graduate degree,48844,East North Central
The Great Lakes,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$50,000 - $99,999",Graduate degree,49453,East North Central
chicagoland,A lot,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,45-60,"$50,000 - $99,999",Some college,46311,East North Central
Midwest,Some,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$150,000+",Associate or bachelor degree,60543,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Female,18-29,"$25,000 - $49,999",Graduate degree,47901,East North Central
Great weather here in Southern California,Some,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$50,000 - $99,999",Some college,77399,East North Central
midwest,Not much,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,> 60,"$150,000+",Graduate degree,61615,East North Central
midwest,A lot,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Upper mid-west,Not much,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$150,000+",Associate or bachelor degree,49505,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,54880,East North Central
A taxpayers hell,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$150,000+",Some college,53074,East North Central
North east mid west,A lot,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Male,45-60,"$150,000+",Graduate degree,48706,East North Central
Pacific Northwest,Not at all,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
upper south,Some,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Ohio,Some,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,45840,East North Central
Northeastern United States,Not at all,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest- Chicago,Some,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Chicago,Not much,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$50,000 - $99,999",Some college,60626,East North Central
Living blue in a red state.,Some,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Male,45-60,"$100,000 - $149,999",Graduate degree,46113,East North Central
Great Lakes Region,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Southern California,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
midwest,Some,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$50,000 - $99,999",Graduate degree,49525,East North Central
midwest,Not at all,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Male,> 60,"$25,000 - $49,999",Some college,45212,East North Central
North coast,Not much,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Graduate degree,44109,East North Central
Midwest,Some,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$100,000 - $149,999",High school degree,60123,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$50,000 - $99,999",Some college,49855,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,53110,East North Central
I live in the Midwest part of the country,A lot,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,45-60,"$100,000 - $149,999",Associate or bachelor degree,60628,East North Central
The midwest.  The rust belt.,Some,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Male,45-60,"$100,000 - $149,999",Some college,44133,East North Central
MidWest,A lot,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,44333,East North Central
Northern us,Some,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$100,000 - $149,999",Graduate degree,49341,East North Central
