att1,att2,att3,att4,att5,att6,class
1.0,0.0,0.0,130.3228614,1.25801767,1679.91193027,1
1.0,0.0,0.0,128.4698614,1.30433057,1668.80498477,1
1.0,0.0,0.0,129.8178614,1.29636731,1791.83553416,1
1.0,0.0,0.0,123.2688614,1.17555899,1647.61918626,1
1.0,0.0,0.0,123.3428614,1.3432221,1700.90002589,1
1.0,0.0,0.0,133.0348614,1.25094805,1718.36727738,1
1.0,0.0,0.0,129.1648614,1.23461166,1630.91695037,1
1.0,0.0,0.0,133.2328614,1.3696479,1747.26385688,1
1.0,0.0,0.0,130.1568614,1.28770643,1668.60099491,1
1.0,0.0,0.0,123.8878614,1.28820481,1664.23940964,1
1.0,0.0,0.0,130.6948614,1.34355699,1685.05622222,1
1.0,0.0,0.0,122.4488614,1.21294021,1618.52700454,1
1.0,0.0,0.0,127.9488614,1.31795585,1595.63213875,1
1.0,0.0,0.0,132.9768614,1.30284839,1628.67982628,1
1.0,0.0,0.0,128.9168614,1.21901707,1648.69601482,1
1.0,0.0,0.0,136.2268614,1.32988651,1877.63642139,1
1.0,0.0,0.0,134.8208614,1.27699841,1897.19666116,1
1.0,0.0,0.0,134.2498614,1.28543183,1949.58130647,1
1.0,0.0,0.0,125.1368614,1.2985483,1622.16847509,1
1.0,0.0,0.0,130.5788614,1.26868603,1596.78807182,1
1.0,0.0,0.0,124.3848614,1.36477753,1788.18041959,1
1.0,0.0,0.0,134.8048614,1.29223553,1619.93300457,1
1.0,0.0,0.0,124.1368614,1.2636163,1560.03417439,1
1.0,0.0,0.0,128.1228614,1.23895895,1508.24928604,1
1.0,0.0,0.0,127.7668614,1.23262291,1604.78016155,1
1.0,0.0,0.0,131.1988614,1.28776053,1697.67743159,1
1.0,0.0,0.0,128.8588614,1.27018625,1632.6415452,1
1.0,0.0,0.0,133.2828614,1.29113439,1777.04654451,1
1.0,0.0,0.0,133.3068614,1.30765993,1829.5297413,1
1.0,0.0,0.0,126.7748614,1.34214376,1730.01268478,1
1.0,0.0,0.0,127.9488614,1.3241497,1652.67322377,1
1.0,0.0,0.0,129.5528614,1.32046743,1764.70105417,1
1.0,0.0,0.0,127.6508614,1.2699622,1653.76856845,1
1.0,0.0,0.0,132.7948614,1.30028123,1549.25905297,1
1.0,0.0,0.0,130.1568614,1.42810916,1849.0474526,1
1.0,0.0,0.0,136.8228614,1.26906209,1799.85520063,1
1.0,0.0,0.0,133.0188614,1.29469852,1813.31245177,1
1.0,0.0,0.0,135.3008614,1.30683607,1690.06838378,1
1.0,0.0,0.0,125.3108614,1.28310706,1573.4046264,1
1.0,0.0,0.0,135.8628614,1.3408642,1733.27095901,1
1.0,0.0,0.0,130.9588614,1.34896079,1755.42212782,1
1.0,0.0,0.0,130.1408614,1.29312713,1601.57642365,1
1.0,0.0,0.0,124.9968614,1.21806978,1692.16793702,1
1.0,0.0,0.0,128.9248614,1.20101124,1605.44856508,1
1.0,0.0,0.0,134.0188614,1.34507793,1871.81312587,1
1.0,0.0,0.0,129.6768614,1.27359277,1830.09705727,1
1.0,0.0,0.0,128.6678614,1.27219284,1640.83042619,1
1.0,0.0,0.0,126.9988614,1.26663038,1542.46262651,1
1.0,0.0,0.0,132.6788614,1.32660085,1617.68322076,1
1.0,0.0,0.0,123.9458614,1.23928321,1634.67849399,1
1.0,0.0,0.0,130.2308614,1.31710131,1669.67378929,1
1.0,0.0,0.0,128.9738614,1.31114707,1752.9112564,1
1.0,0.0,0.0,124.4258614,1.27657056,1701.5585852,1
1.0,0.0,0.0,132.2158614,1.26304954,1757.95620714,1
1.0,0.0,0.0,131.8028614,1.30882969,1766.95970468,1
1.0,0.0,0.0,127.4608614,1.29241335,1608.96383181,1
1.0,0.0,0.0,130.5788614,1.21708303,1620.64338372,1
1.0,0.0,0.0,126.2788614,1.21050553,1514.35517665,1
1.0,0.0,0.0,125.6008614,1.16434637,1497.75330166,1
1.0,0.0,0.0,130.6608614,1.35955542,1859.82684902,1
1.0,0.0,0.0,134.9368614,1.26462445,1611.20856513,1
1.0,0.0,0.0,130.6368614,1.21629652,1601.07095887,1
1.0,0.0,0.0,126.9568614,1.27581627,1608.74060948,1
1.0,0.0,0.0,136.6488614,1.27365953,1712.3832063,1
1.0,0.0,0.0,136.3928614,1.38656855,1885.0995849,1
1.0,0.0,0.0,133.2988614,1.35423589,1880.48117147,1
1.0,0.0,0.0,125.1868614,1.19658827,1607.21226749,1
1.0,0.0,0.0,128.4198614,1.33442301,1634.09960556,1
1.0,0.0,0.0,125.0708614,1.27395336,1558.65307416,1
1.0,0.0,0.0,131.3728614,1.35867086,1638.35652561,1
1.0,0.0,0.0,134.0108614,1.27004236,1758.9687515,1
1.0,0.0,0.0,134.2358614,1.36023132,2267.90268354,1
1.0,0.0,0.0,131.5548614,1.29439272,1768.84941731,1
1.0,0.0,0.0,134.7468614,1.32258533,1753.23620453,1
1.0,0.0,0.0,133.4648614,1.29672601,1568.88156182,1
1.0,0.0,0.0,134.3908614,1.279433,1651.89169277,1
1.0,0.0,0.0,123.2368614,1.36567763,2097.18858445,1
1.0,0.0,0.0,121.9868614,1.30344208,2022.70179812,1
1.0,0.0,0.0,127.0728614,1.18246997,1636.62870465,1
1.0,0.0,0.0,126.8828614,1.22768958,1707.51830767,1
1.0,0.0,0.0,131.9348614,1.25178142,1555.87773847,1
1.0,0.0,0.0,136.5988614,1.32717551,1711.67069672,1
1.0,0.0,0.0,129.1648614,1.26397632,1537.42377086,1
1.0,0.0,0.0,131.7948614,1.22374997,1713.43175073,1
1.0,0.0,0.0,132.4068614,1.29027876,1694.65938515,1
1.0,0.0,0.0,129.3298614,1.30631098,1847.24725887,1
1.0,0.0,0.0,125.4428614,1.29821497,1591.47252937,1
1.0,0.0,0.0,130.2808614,1.29855226,1705.01938724,1
1.0,0.0,0.0,129.0988614,1.27645432,1664.23939077,1
1.0,0.0,0.0,128.3048614,1.24511603,1543.95558114,1
1.0,0.0,0.0,131.4878614,1.36723077,1914.10705382,1
1.0,0.0,0.0,134.4908614,1.29597741,1728.1325746,1
1.0,0.0,0.0,132.5968614,1.31671428,1694.23106131,1
1.0,0.0,0.0,135.0608614,1.25204255,1652.29059625,1
1.0,0.0,0.0,132.6128614,1.27416914,1740.20785429,1
1.0,0.0,0.0,132.5968614,1.37410275,1632.04728114,1
1.0,0.0,0.0,134.8208614,1.36792542,1872.54454929,1
1.0,0.0,0.0,128.7428614,1.29212545,1698.45440055,1
1.0,0.0,0.0,127.8168614,1.46108193,1782.53740446,1
1.0,0.0,0.0,136.9128614,1.41217499,2092.47254395,1
1.0,0.0,0.0,121.5728614,1.24812543,1530.15115571,1
1.0,0.0,0.0,139.6668614,1.46325305,2154.43740639,1
1.0,0.0,0.0,131.2568614,1.26114043,1719.12560259,1
1.0,0.0,0.0,127.9568614,1.28914158,1586.7223644,1
1.0,0.0,0.0,122.3008614,1.25893879,1669.41773487,1
0.0,2.0,0.0,231.2768614,2.38707988,15215.96441229,1
1.0,0.0,0.0,131.5368614,1.35581875,1831.15225005,1
1.0,0.0,0.0,124.0208614,1.22100722,1454.97629311,1
1.0,0.0,0.0,129.4038614,1.31042281,1731.03157899,1
1.0,0.0,0.0,132.5388614,1.27419744,1658.77694682,1
1.0,0.0,0.0,135.4328614,1.26648026,1795.47144615,1
1.0,0.0,0.0,130.5198614,1.36836636,1861.50567784,1
1.0,0.0,0.0,128.2708614,1.23604041,1795.0135708,1
1.0,0.0,0.0,131.9348614,1.35630432,1623.23803519,1
1.0,0.0,0.0,133.5888614,1.38344967,1666.20549321,1
1.0,0.0,0.0,136.6408614,1.30233768,1759.93891448,1
1.0,0.0,0.0,139.9728614,1.31327203,1997.27362228,1
1.0,0.0,0.0,131.6208614,1.27805214,1881.47056666,1
1.0,0.0,0.0,131.2568614,1.23698114,1638.09003059,1
1.0,0.0,0.0,127.8828614,1.32794238,1631.55110911,1
1.0,0.0,0.0,134.2668614,1.27103474,1794.42567007,1
1.0,0.0,0.0,133.3828614,1.27273909,1567.08442613,1
1.0,0.0,0.0,130.9588614,1.27922499,1750.99078626,1
1.0,0.0,0.0,129.8508614,1.29914115,1551.03520209,1
1.0,0.0,0.0,136.9788614,1.30855017,1963.71145831,1
1.0,0.0,0.0,126.8828614,1.22624778,1606.82530049,1
1.0,0.0,0.0,130.0898614,1.33291948,1734.78387127,1
1.0,0.0,0.0,127.1468614,1.21953048,1521.02281449,1
1.0,0.0,0.0,126.3948614,1.26536039,1803.28720088,1
1.0,0.0,0.0,131.0668614,1.24636898,1795.98588722,1
1.0,0.0,0.0,127.4368614,1.19367608,1628.76427815,1
1.0,0.0,0.0,132.4728614,1.32788173,1731.64558742,1
1.0,0.0,0.0,128.8008614,1.28299999,1566.94716914,1
1.0,0.0,0.0,137.8808614,1.3616139,1769.86700029,1
0.0,2.0,0.0,218.3008614,2.22940129,9370.6707355,1
1.0,0.0,0.0,135.9788614,1.30348946,1853.99154367,1
1.0,0.0,0.0,126.9988614,1.19220522,1629.07063529,1
1.0,0.0,0.0,126.1868614,1.20892583,1580.81257289,1
1.0,0.0,0.0,129.8918614,1.28666824,1782.85422809,1
1.0,0.0,0.0,129.3628614,1.21777348,1597.34502481,1
1.0,0.0,0.0,135.7388614,1.27993452,1949.63177272,1
1.0,0.0,0.0,136.0868614,1.4954385,1717.3390675,1
1.0,0.0,0.0,121.6568614,1.31800431,1720.43399409,1
1.0,0.0,0.0,144.0168614,1.34380209,2256.65347967,1
1.0,0.0,0.0,129.0488614,1.33914322,1605.035208,1
1.0,0.0,0.0,130.5128614,1.34887046,1608.47574299,1
1.0,0.0,0.0,137.8228614,1.29310001,1945.00374894,1
1.0,0.0,0.0,128.1468614,1.2124174,1726.83576108,1
1.0,0.0,0.0,127.8738614,1.23006376,1640.15550661,1
1.0,0.0,0.0,135.0438614,1.38734426,1924.8104898,1
1.0,0.0,0.0,122.9048614,1.20199446,1439.53493978,1
1.0,0.0,0.0,128.3548614,1.2002914,1496.38341174,1
1.0,0.0,0.0,126.7828614,1.25742287,1604.49994477,1
1.0,0.0,0.0,132.4148614,1.31166029,1836.50738764,1
1.0,0.0,0.0,125.1708614,1.18094467,1541.39783124,1
1.0,0.0,0.0,131.6208614,1.25377614,1853.71274353,1
1.0,0.0,0.0,135.1768614,1.28618366,1671.00103309,1
1.0,0.0,0.0,128.5028614,1.33892385,1715.13246789,1
1.0,0.0,0.0,128.7998614,1.21382606,1650.61383096,1
0.0,2.0,0.0,209.4188614,2.02748205,13099.45528567,1
1.0,0.0,0.0,127.1388614,1.19219994,1613.15094017,1
1.0,0.0,0.0,133.4648614,1.24739161,1628.79946076,1
1.0,0.0,0.0,134.2588614,1.30521478,1675.54924506,1
1.0,0.0,0.0,126.9398614,1.29046944,1732.98339977,1
1.0,0.0,0.0,133.0768614,1.26333133,1767.44918954,1
1.0,0.0,0.0,130.0828614,1.29738883,1680.51265899,1
1.0,0.0,0.0,132.1248614,1.39193846,1653.62840977,1
1.0,0.0,0.0,131.4888614,1.24124726,1614.93422469,1
1.0,0.0,0.0,131.5628614,1.26334795,1544.09252216,1
1.0,0.0,0.0,125.2198614,1.24423028,1602.84091206,1
0.0,3.0,1.0,143.9768614,1.5242584,4804.79816902,2
0.0,2.0,0.0,130.5128614,1.32165322,2872.47140957,2
0.0,2.0,0.0,137.6168614,1.33945175,2890.29047117,2
0.0,2.0,0.0,127.5528614,1.2818056,2914.5351922,2
0.0,2.0,0.0,141.7108614,1.45487181,4056.32894293,2
0.0,2.0,0.0,144.4728614,1.35175941,3132.83358873,2
0.0,2.0,0.0,137.7488614,1.27834212,3213.04532835,2
0.0,2.0,0.0,160.7908614,1.72801226,6309.70808601,2
0.0,2.0,0.0,139.0568614,1.36159656,3739.70629159,2
0.0,3.0,1.0,153.9088614,1.35545472,4170.92337429,2
0.0,2.0,0.0,138.0308614,1.32854015,2935.39833397,2
0.0,2.0,0.0,136.8228614,1.27389137,2779.17503715,2
0.0,3.0,1.0,147.6408614,1.68492678,6336.32965773,2
0.0,3.0,1.0,131.1748614,1.30421065,3276.90180443,2
0.0,3.0,1.0,142.0828614,1.31784974,3822.73054212,2
0.0,3.0,1.0,135.0608614,1.30375398,3247.02074838,2
0.0,3.0,1.0,139.5848614,1.3147318,4147.56779881,2
0.0,2.0,0.0,136.0948614,1.28833947,3050.00353178,2
0.0,3.0,1.0,142.4968614,1.60662012,5119.36136764,2
0.0,3.0,1.0,150.3548614,1.76573138,6730.24760501,2
0.0,3.0,1.0,135.6898614,1.33264812,3541.00237404,2
0.0,2.0,0.0,128.0248614,1.43318588,3643.66258709,2
0.0,2.0,0.0,146.6968614,1.41607728,4380.49168804,2
1.0,2.0,2.0,124.0048614,1.38167139,2819.71004244,2
0.0,3.0,1.0,142.8268614,1.44449207,3980.19347342,2
0.0,2.0,0.0,145.4488614,1.3534669,3350.71320324,2
0.0,3.0,1.0,140.0818614,1.48406818,4474.20867859,2
0.0,3.0,1.0,135.6158614,1.34669357,3253.93295907,2
0.0,2.0,0.0,143.8768614,1.55758278,4703.26915407,2
0.0,2.0,0.0,138.6428614,1.40761514,3198.81515082,2
0.0,2.0,0.0,130.5788614,1.23334767,2197.13019726,2
0.0,2.0,0.0,130.5708614,1.24805079,2838.26878575,2
0.0,2.0,0.0,146.5988614,1.48454992,5011.06634172,2
0.0,2.0,0.0,135.3008614,1.29177986,2295.14781372,2
0.0,2.0,0.0,134.3508614,1.28270977,3345.68538308,2
0.0,3.0,1.0,157.3168614,1.7514705,6954.97464162,2
0.0,2.0,0.0,141.0248614,1.3173262,2880.77025986,2
0.0,3.0,1.0,143.1658614,1.38605573,4104.32020039,2
0.0,2.0,0.0,144.4488614,1.35377064,3793.7682558,2
0.0,3.0,1.0,136.3188614,1.43213311,3775.71455581,2
0.0,3.0,1.0,135.2028614,1.35353877,3880.47779932,2
0.0,2.0,0.0,135.1528614,1.40438625,3247.43804117,2
0.0,2.0,0.0,142.3888614,1.40355403,3740.2003144,2
0.0,2.0,0.0,140.1728614,1.40952129,3187.61196296,2
0.0,3.0,1.0,144.3988614,1.52550653,5269.59516656,2
0.0,2.0,0.0,130.8188614,1.32990332,2834.45602432,2
0.0,2.0,0.0,132.4068614,1.28113854,2728.17282462,2
0.0,2.0,0.0,128.5368614,1.54752113,3634.41399807,2
0.0,2.0,0.0,133.2908614,1.32524905,3081.26670627,2
0.0,3.0,1.0,130.8188614,1.31881705,3223.86944887,2
0.0,2.0,0.0,191.9688614,2.09056944,11575.880161,3
0.0,2.0,0.0,189.1008614,2.09556469,10524.65185024,3
0.0,2.0,0.0,205.0028614,2.08812892,12375.0608582,3
0.0,2.0,0.0,199.7108614,1.92782593,11420.75538351,3
0.0,2.0,0.0,178.2148614,1.865824,9884.03325496,3
0.0,2.0,0.0,180.0528614,1.84728625,9837.07233495,3
0.0,2.0,0.0,206.4008614,2.04960327,12174.21356194,3
0.0,2.0,0.0,204.4748614,2.20228202,13686.01870696,3
0.0,2.0,0.0,164.2628614,1.92406817,8348.20441864,3
0.0,2.0,0.0,192.4988614,1.99084187,10969.88458587,3
0.0,2.0,0.0,206.5908614,2.08402439,12109.13058773,3
0.0,2.0,0.0,197.8668614,2.16449861,11817.64014567,3
0.0,2.0,0.0,186.1308614,1.93937355,10791.49646182,3
0.0,2.0,0.0,203.8548614,2.17821002,12826.22557231,3
0.0,2.0,0.0,201.9348614,2.35118779,12998.8718472,3
0.0,2.0,0.0,194.6908614,2.00544152,10439.85147866,3
0.0,2.0,0.0,192.1108614,2.18885378,11248.93600686,3
0.0,2.0,0.0,198.1888614,1.99799055,11721.20016651,3
0.0,2.0,0.0,212.3568614,2.40583324,13238.90170544,3
0.0,2.0,0.0,188.9268614,1.99872929,10406.00213057,3
0.0,2.0,0.0,162.3868614,1.79125362,7395.95616322,3
0.0,3.0,1.0,152.4948614,1.71387839,5908.13609404,3
0.0,2.0,0.0,185.4518614,1.9959419,10102.21885817,3
0.0,2.0,0.0,175.0808614,1.85224718,8488.77597136,3
0.0,2.0,0.0,187.6108614,1.99465007,9487.46466095,3
0.0,2.0,0.0,193.2608614,2.02614114,11076.60102182,3
0.0,2.0,0.0,183.3848614,2.0626865,10864.25364229,3
0.0,2.0,0.0,202.5388614,2.36023162,13014.44300761,3
0.0,2.0,0.0,201.3308614,2.28460531,11864.60492744,3
0.0,2.0,0.0,187.1148614,1.92869006,9843.09684511,3
0.0,2.0,0.0,189.8188614,2.01956004,9573.0691893,3
0.0,2.0,0.0,194.0128614,1.89970665,10621.09754191,3
0.0,2.0,0.0,157.8868614,1.75644912,6514.90724855,3
0.0,2.0,0.0,199.5528614,2.04870559,11627.20122893,3
0.0,2.0,0.0,223.2968614,2.55882965,13018.09082143,3
0.0,2.0,0.0,190.2568614,1.91802611,10275.86294353,3
0.0,2.0,0.0,180.0848614,2.06535441,10383.51603486,3
0.0,2.0,0.0,162.8658614,1.69928585,7045.79082495,3
0.0,2.0,0.0,187.0148614,1.95258414,10192.86876434,3
0.0,2.0,0.0,190.1508614,1.88590193,11846.52111624,3
0.0,2.0,0.0,161.7668614,1.72849544,7201.99575131,3
0.0,2.0,0.0,175.6928614,1.96526277,9308.35526687,3
0.0,2.0,0.0,188.2968614,1.8251411,8658.34938783,3
0.0,2.0,0.0,187.3388614,1.91697367,9772.3308844,3
0.0,2.0,0.0,171.4008614,2.00422547,8726.45401501,3
0.0,2.0,0.0,181.6488614,2.10782236,9578.79959016,3
0.0,2.0,0.0,197.8748614,2.05335232,10906.43063975,3
0.0,2.0,0.0,177.4708614,1.90450932,8874.52351134,3
0.0,2.0,0.0,194.1528614,1.96232138,11270.59677389,3
0.0,2.0,0.0,190.5648614,2.12328786,11295.04035158,3
0.0,4.0,2.0,169.5988614,1.727509,8910.36955052,4
0.0,3.0,1.0,165.0828614,1.64338487,8263.71586073,4
0.0,3.0,1.0,169.7468614,1.85271488,8150.84361484,4
0.0,2.0,0.0,172.4348614,1.95040566,8179.28588948,4
0.0,3.0,1.0,190.2088614,1.99139542,11393.36727149,4
0.0,4.0,2.0,185.9908614,1.96766823,9959.2783939,4
0.0,3.0,1.0,190.3148614,2.02339858,10211.8243526,4
0.0,3.0,1.0,176.4548614,1.81638843,9791.82907532,4
0.0,3.0,1.0,165.4968614,1.88716172,8692.21883039,4
0.0,3.0,1.0,158.0788614,1.75314052,6033.5952792,4
0.0,3.0,1.0,198.2208614,2.05139844,13164.42758245,4
0.0,3.0,1.0,175.3628614,1.82967521,9222.73646886,4
0.0,3.0,1.0,182.1448614,1.93242339,10334.97846721,4
0.0,2.0,0.0,165.4628614,1.60856847,7739.40695489,4
0.0,3.0,1.0,200.4128614,2.24708138,13358.62187728,4
0.0,2.0,0.0,137.7428614,1.52525276,3801.70695583,4
0.0,4.0,2.0,158.5088614,1.70845415,7317.15570253,4
0.0,3.0,1.0,153.4228614,1.6300112,5676.85666709,4
0.0,3.0,1.0,169.8888614,1.78729207,8188.01344505,4
0.0,2.0,0.0,179.5148614,1.92644428,9187.86671976,4
0.0,3.0,1.0,186.9328614,2.08444641,10726.28568968,4
0.0,2.0,0.0,169.5898614,1.77308381,7537.66165576,4
0.0,2.0,0.0,183.1448614,2.03427634,9036.09197813,4
0.0,2.0,0.0,154.5048614,1.62771228,6124.55730439,4
0.0,4.0,2.0,184.6248614,1.75169753,9678.07913142,4
0.0,3.0,1.0,179.2008614,1.90659082,8873.64522373,4
0.0,3.0,1.0,192.0108614,2.00200576,11134.45548066,4
0.0,4.0,2.0,211.3628614,2.20227607,15845.4204244,4
0.0,2.0,0.0,168.6248614,1.91502343,8822.05670673,4
0.0,3.0,1.0,170.0948614,1.78326949,8538.21315242,4
0.0,2.0,0.0,169.1208614,1.78418231,7032.55185336,4
0.0,3.0,1.0,191.5228614,2.13396197,10939.17494133,4
0.0,3.0,1.0,190.3488614,2.19032276,10871.54538053,4
0.0,3.0,1.0,184.8148614,1.94567248,10767.47203211,4
0.0,4.0,2.0,197.9648614,2.05707172,12499.4174839,4
0.0,4.0,2.0,163.9748614,1.74459522,7053.13552514,4
0.0,3.0,1.0,166.1088614,1.87134602,6979.7930821,4
0.0,2.0,0.0,159.8888614,1.68208846,7059.0392526,4
0.0,3.0,1.0,166.7048614,1.83050688,8052.60160884,4
0.0,3.0,1.0,153.2488614,1.79043289,6610.25112281,4
0.0,3.0,1.0,175.7268614,1.85517172,8390.67616432,4
0.0,4.0,2.0,163.4128614,1.72396435,7456.09033541,4
0.0,3.0,1.0,183.1528614,1.99307728,9901.10829177,4
0.0,2.0,0.0,157.5568614,1.60905215,5877.71690528,4
0.0,2.0,0.0,180.0428614,1.97846452,8943.06283038,4
0.0,4.0,2.0,191.3988614,2.07971809,11453.37389317,4
0.0,3.0,1.0,188.1648614,2.05067195,10296.85211481,4
0.0,2.0,0.0,172.2528614,1.82232869,8623.00059489,4
0.0,3.0,1.0,195.3928614,2.03034583,11234.78105944,4
0.0,4.0,2.0,202.6708614,2.00512342,11249.85636477,4
0.0,3.0,1.0,155.9348614,1.68071084,7086.93940095,5
0.0,3.0,1.0,165.6028614,1.90875195,9296.39712504,5
0.0,2.0,0.0,155.7868614,1.65278434,6634.18562276,5
0.0,2.0,0.0,149.1288614,1.67207177,6858.85243118,5
0.0,3.0,1.0,167.6128614,1.96161757,8222.61415622,5
0.0,2.0,0.0,158.6488614,1.7137199,7364.01490889,5
0.0,3.0,1.0,146.0448614,1.66535045,6194.82269664,5
0.0,3.0,1.0,158.1028614,1.78257426,6902.26456977,5
0.0,3.0,1.0,145.4818614,1.65757688,5967.15809076,5
0.0,3.0,1.0,164.2888614,1.82201122,7826.24935643,5
0.0,2.0,0.0,149.1208614,1.63371655,5774.54873649,5
0.0,3.0,1.0,170.1368614,1.94324951,8860.47527332,5
0.0,3.0,1.0,154.5368614,1.68042689,7140.10054526,5
0.0,5.0,1.0,99.5088614,1.5499579,3579.87140209,5
0.0,3.0,1.0,162.1628614,1.83865879,9115.76782412,5
0.0,3.0,1.0,174.2788614,1.98406363,9116.31395407,5
0.0,4.0,2.0,161.8168614,1.77280953,8095.26066754,5
0.0,4.0,1.0,157.6728614,1.76647456,6775.26588918,5
0.0,4.0,2.0,155.6288614,1.79829973,7490.57478418,5
0.0,3.0,1.0,166.1568614,1.82035707,8595.742624,5
0.0,3.0,1.0,179.2408614,1.9592731,10298.70077143,5
0.0,2.0,0.0,157.2268614,1.8167647,7665.67098528,5
0.0,2.0,0.0,133.7888614,1.33020044,3193.35524586,5
0.0,3.0,1.0,174.6508614,1.84123528,9831.74303453,5
0.0,3.0,1.0,155.4308614,1.64090416,7442.47043847,5
0.0,3.0,1.0,152.1648614,1.77776833,8090.03082449,5
0.0,2.0,0.0,146.2688614,1.59407792,5163.62160963,5
0.0,2.0,0.0,157.7468614,1.7191683,7312.45456065,5
0.0,2.0,0.0,145.4488614,1.55080208,5775.93993999,5
0.0,3.0,0.0,147.0608614,1.40728573,4731.5133327,5
0.0,3.0,1.0,162.4948614,1.72639489,8058.97657998,5
0.0,3.0,1.0,162.1628614,1.70364395,8031.62324464,5
0.0,2.0,0.0,146.4008614,1.58842002,5818.68168787,5
0.0,2.0,0.0,162.3948614,1.75033858,7507.13000038,5
0.0,4.0,2.0,165.0588614,1.89302446,6946.70657449,5
0.0,6.0,2.0,118.1248614,1.57786176,4756.59084591,5
0.0,3.0,1.0,165.1728614,1.93472732,9146.97915479,5
0.0,3.0,1.0,156.9028614,1.75370369,7847.20144767,5
0.0,3.0,1.0,177.9088614,1.96247338,9006.60706368,5
0.0,3.0,1.0,159.8808614,1.69144059,7813.04669002,5
0.0,3.0,1.0,131.8788614,1.48453498,3621.13195294,5
0.0,3.0,1.0,154.9768614,1.82476097,6841.24582786,5
0.0,6.0,2.0,114.7188614,1.46045826,4695.09525811,5
0.0,2.0,0.0,160.7248614,1.80924885,6880.07858987,5
0.0,2.0,0.0,162.5688614,1.74966161,7734.96519969,5
0.0,3.0,1.0,138.0968614,1.53035213,5602.35019121,5
0.0,3.0,1.0,152.8088614,1.70794504,6332.25928752,5
0.0,3.0,1.0,168.4568614,1.79740185,8899.88312117,5
0.0,3.0,1.0,155.9528614,1.78858971,7817.27599614,5
0.0,3.0,1.0,154.1508614,1.80718137,7312.85540398,5
0.0,3.0,1.0,190.1088614,1.95693977,12037.73784665,6
0.0,3.0,1.0,207.2608614,2.00658944,14217.7881521,6
0.0,3.0,1.0,197.2788614,2.05412842,12679.95690863,6
0.0,2.0,0.0,190.4308614,1.85239842,11344.8203844,6
0.0,3.0,1.0,214.8848614,2.14854451,14945.87190352,6
0.0,2.0,0.0,210.8088614,2.19202258,13242.9376969,6
0.0,2.0,0.0,189.4708614,2.1623047,10536.85473618,6
0.0,3.0,1.0,210.4688614,2.02575229,15197.64923595,6
0.0,2.0,0.0,190.3548614,1.99018455,10787.27553586,6
0.0,2.0,0.0,179.4888614,1.77359218,10886.3583669,6
0.0,3.0,1.0,199.9668614,2.03949376,13436.64656485,6
0.0,3.0,1.0,210.6608614,2.1875135,15847.07312158,6
0.0,2.0,0.0,186.4688614,2.01423065,10513.02171566,6
0.0,3.0,1.0,226.4628614,2.32190325,17572.19994308,6
0.0,2.0,0.0,181.1428614,1.95669937,10845.71837331,6
0.0,3.0,1.0,199.3888614,2.2250795,14037.38861021,6
0.0,3.0,1.0,187.7768614,1.80419515,10927.11757301,6
0.0,2.0,0.0,188.7858614,1.83639684,12341.95965937,6
0.0,3.0,1.0,178.7278614,1.93629926,9894.85772753,6
0.0,3.0,1.0,214.7368614,2.12449834,15319.35065207,6
0.0,3.0,1.0,192.2328614,1.95805559,12567.19435663,6
0.0,3.0,1.0,195.4668614,1.94585482,12046.50496769,6
0.0,3.0,1.0,210.5188614,2.07639239,15091.80552571,6
