utterance,frame,coefficient1,coefficient2,coefficient3,coefficient4,coefficient5,coefficient6,coefficient7,coefficient8,coefficient9,coefficient10,coefficient11,coefficient12,speaker
11,21,1.130783,-0.445543,0.364569,0.425989,0.531755,-0.24613,0.033795,-0.269103,-0.310263,-0.086934,-0.07091,0.057424,1
18,5,1.291198,-0.52998,0.587566,-0.084848,-0.325938,-0.234877,-0.301744,-0.000538,0.133549,-0.190451,-0.146277,0.215198,1
25,11,1.29037,-0.648581,0.930489,-0.14707,0.17843,0.207555,-0.376823,-0.048229,-0.183871,-0.36287,0.102153,0.070595,1
4,19,1.175227,-0.937689,0.701567,0.200096,0.201766,-0.031186,-0.363746,-0.090629,-0.279473,-0.281225,0.130948,-0.082822,1
10,15,1.351184,-0.677556,0.404298,0.35881,0.455207,-0.181377,-0.170452,-0.201633,-0.259083,-0.098875,-0.036473,0.034121,1
29,2,1.464189,0.053217,0.389357,-0.24935,0.165755,-0.321796,-0.225504,0.120788,-0.245839,-0.071939,0.066911,0.014287,1
26,10,1.335742,-0.283552,0.4823,-0.208787,0.323964,-0.039357,-0.031319,-0.117345,-0.339573,-0.218489,-0.167142,0.183731,1
15,13,0.856577,-0.183545,0.432902,0.300241,0.43772,-0.138838,-0.057541,-0.383162,-0.078646,-0.222391,-0.095005,0.052156,1
10,19,1.183276,-0.76871,0.624813,0.295512,0.173752,0.041093,-0.272356,-0.147752,-0.234849,-0.240623,0.044577,-0.086706,1
4,3,1.234654,-0.107083,0.504189,-0.151549,-0.409837,-0.666554,0.176855,0.024257,-0.085188,0.005654,-0.007566,0.168465,1
19,15,1.105063,-0.361028,0.399507,0.142749,0.442067,0.020123,-0.328473,-0.232185,-0.110911,-0.371956,0.083743,0.12826,1
5,1,1.66567,-0.251224,0.30971,-0.371666,-0.311727,-0.520932,-0.21593,0.255584,0.048732,-0.115333,0.063014,0.156787,1
12,14,0.793042,-0.247226,0.440944,0.34453,0.335469,-0.160599,-0.151398,-0.343337,0.009328,-0.400983,0.01996,0.087633,1
26,15,0.836499,-0.408787,0.621503,0.137621,0.397523,0.061317,-0.23053,-0.089801,-0.346905,-0.221605,0.231903,-0.047172,1
14,7,1.350008,-0.630733,0.472417,-0.254397,0.061382,-0.021562,-0.204925,0.115827,-0.105298,-0.454447,-0.0762,0.214493,1
8,5,1.677717,-0.331005,0.557505,-0.691774,0.167053,-0.277809,-0.484052,0.29072,-0.081371,-0.311812,-0.0978,0.034412,1
17,8,1.504163,-0.641297,0.43951,-0.024301,0.121429,0.168302,-0.22972,-0.22852,-0.118824,-0.311815,-0.127682,0.213003,1
9,13,1.270744,-0.606895,0.62233,0.140819,0.542111,-0.011489,-0.374397,-0.019385,-0.230698,-0.259715,0.062815,0.032935,1
8,6,1.49631,-0.058366,0.503373,-0.366392,-0.12415,-0.444358,-0.127737,0.137048,-0.05885,-0.232269,-0.047289,0.157446,1
16,7,1.427649,-0.338176,0.347535,-0.311427,0.397086,-0.020506,-0.408365,-0.011141,-0.140495,-0.302277,-0.122009,0.043477,1
9,7,1.729965,-0.591056,0.34575,-0.121536,0.036976,0.156905,-0.287593,-0.141473,-0.041858,-0.323904,-0.09804,0.182918,1
7,10,1.561812,-0.341313,0.532809,-0.338048,0.276729,-0.254892,-0.321675,-0.026014,-0.328668,-0.306133,0.023878,0.258802,1
29,19,0.977013,-0.348809,0.707327,0.216012,0.533745,-0.004777,-0.167701,-0.106995,-0.386168,-0.128815,0.135459,-0.14589,1
28,3,1.236526,-0.204128,0.456844,-0.526025,0.209161,-0.367808,-0.224912,0.412866,-0.182233,-0.288822,-0.022821,0.052026,1
17,11,0.25604,-0.015887,0.360707,-0.000276,0.59197,-0.100101,-0.189571,-0.189323,-0.260202,-0.207469,0.019726,0.059951,1
18,11,1.322102,-0.448322,0.642123,-0.161898,0.068909,0.043746,-0.154014,-0.288204,-0.15533,-0.151219,-0.095504,0.170023,1
17,4,1.601294,-0.553931,0.308314,-0.311712,0.004868,-0.2379,-0.001664,0.179583,-0.083984,-0.189362,-0.275253,0.106716,1
24,3,1.512927,-0.305422,0.434537,-0.578103,0.123878,-0.356449,-0.286346,0.445305,0.032688,-0.158888,-0.11975,-0.094798,1
22,17,1.031473,-0.706103,0.625887,0.087235,0.553565,-0.088849,-0.343944,-0.051795,-0.374963,-0.183224,0.105642,-0.001572,1
7,8,1.306239,-0.197304,0.409404,-0.363984,0.229075,-0.342244,-0.19479,-0.06831,-0.251026,-0.218385,-0.05055,0.251723,1
22,12,1.241012,-0.811797,0.549696,-0.066229,0.335268,-0.02289,-0.344647,-0.091678,-0.230122,-0.24228,0.010818,0.129176,1
1,17,1.546531,-0.556976,0.712057,0.07276,0.338227,-0.271046,-0.331239,-0.159139,-0.248844,-0.159776,-0.064375,0.133143,1
1,16,1.547938,-0.579402,0.765664,0.04268,0.355656,-0.275494,-0.424934,-0.126804,-0.227243,-0.186781,-0.059158,0.117885,1
3,16,1.490078,-0.653257,0.446414,0.066392,0.480976,-0.103687,-0.43608,-0.011642,-0.300611,-0.229628,0.131973,-0.006097,1
12,4,0.800297,0.302975,0.335931,-0.33177,-0.270319,-0.265806,0.199208,-0.049145,0.018432,-0.213068,-0.051511,0.131266,1
10,4,1.236936,-0.134536,0.200361,-0.205342,0.115107,-0.144189,-0.198622,0.060671,-0.167579,-0.23664,-0.135416,0.047944,1
6,1,1.316781,0.208962,0.247252,-0.122314,-0.291894,-0.538407,0.038262,0.028536,-0.165629,-0.145149,0.112608,0.108192,1
8,29,1.249188,-0.71255,0.424194,0.363984,0.199327,-0.164907,-0.3109,-0.2367,-0.23126,-0.177717,0.048325,-0.073199,1
22,8,1.699042,-0.467732,0.352263,0.027277,-0.017661,-0.130321,-0.376645,-0.091503,0.077631,-0.318319,-0.253165,0.148,1
8,3,1.493844,0.151059,0.599481,-0.435213,-0.209622,-0.580975,-0.021653,0.162263,-0.115507,-0.102577,0.025254,0.127344,1
5,14,1.612174,-0.724072,0.121253,0.269891,0.333275,-0.345888,-0.170601,-0.171993,-0.272781,-0.098009,-0.111772,0.05563,1
18,8,1.317975,-0.214486,0.331147,-0.179611,-0.11229,-0.170785,-0.036539,0.018351,0.078879,-0.361484,-0.202611,0.271559,1
16,3,1.290049,-0.151758,0.4302,-0.424655,-0.020797,-0.442189,-0.184192,0.272168,-0.106583,-0.249256,-0.01316,0.109049,1
2,12,1.591455,-0.471778,0.125782,0.048809,0.250247,-0.188473,-0.121802,0.001121,-0.280562,-0.177655,-0.1194,0.011129,1
18,1,1.468739,-0.720948,0.576898,-0.214658,-0.531025,-0.031477,-0.012811,0.118581,0.173086,-0.173132,-0.22238,0.075368,1
10,13,1.423059,-0.643738,0.296279,0.351851,0.452219,-0.207946,-0.171174,-0.173904,-0.319767,-0.0865,0.029628,0.026568,1
29,4,1.544737,0.19769,0.308297,-0.390524,0.246699,-0.18836,-0.118288,0.049998,-0.36579,-0.171895,0.067986,0.066837,1
20,7,1.540229,-0.356073,0.333341,-0.26174,0.189414,-0.111391,-0.151212,0.065817,-0.05416,-0.336337,-0.249153,0.200252,1
22,19,1.35755,-0.768087,0.707721,0.209641,0.231404,-0.177469,-0.364945,-0.065887,-0.190302,-0.305244,-0.028387,0.029089,1
24,8,2.003249,-0.463823,0.301816,0.065488,-0.276633,-0.016368,-0.103689,-0.158421,-0.02043,-0.292361,-0.252227,0.220654,1
11,13,1.530596,-0.649683,0.685855,0.070036,0.199452,0.06679,-0.374636,-0.227339,-0.195041,-0.218632,0.123853,0.071601,1
10,14,1.376422,-0.681156,0.406414,0.290211,0.466918,-0.142681,-0.19212,-0.216962,-0.275877,-0.068733,-0.025688,0.022251,1
14,8,1.274289,-0.434685,0.468077,-0.20373,0.260138,-0.20492,-0.145586,0.149549,-0.254864,-0.228173,0.025656,0.247534,1
18,10,1.297862,-0.377045,0.709652,-0.243636,-0.040671,-0.009519,-0.102215,-0.15165,-0.143997,-0.245385,-0.070859,0.220023,1
31,10,1.138961,-0.455763,0.641822,-0.149541,0.24695,0.01699,-0.141716,0.011811,-0.229672,-0.391195,-0.022486,0.227583,1
28,12,1.462704,-0.69514,0.803643,0.118761,0.011255,0.131562,-0.222778,-0.17886,-0.251469,-0.273721,0.115114,0.008981,1
18,14,1.491716,-0.828782,0.516537,0.005267,0.363333,0.284656,-0.468866,-0.290884,-0.063758,-0.230996,-0.055405,0.09592,1
8,1,1.422172,0.151471,0.596082,-0.437178,-0.129344,-0.613048,-0.019315,0.182442,-0.195741,-0.029516,0.019961,0.101176,1
1,11,1.51035,-0.548025,0.13193,-0.028036,0.104782,0.092027,-0.416792,-0.120635,-0.056442,-0.30885,-0.099587,0.103529,1
13,5,0.702899,0.16021,0.374029,-0.458545,0.058324,-0.410072,0.071827,0.248476,-0.212445,-0.202121,0.007736,0.121079,1
23,4,1.5382,-0.280949,0.386523,-0.440751,0.012413,-0.207275,-0.228632,0.189813,-0.023845,-0.249312,-0.003228,0.137781,1
1,2,1.547694,0.008754,0.319101,-0.29744,-0.007617,-0.636042,-0.29648,0.2627,-0.118514,-0.085128,0.030408,0.118123,1
7,1,1.29813,-0.204391,0.800532,-0.493828,-0.308468,-0.326608,0.044441,0.286279,-0.102278,-0.150698,-0.045042,0.088014,1
5,1,1.441249,-0.19691,0.480571,-0.446748,-0.118123,-0.372871,-0.162448,0.387664,-0.082049,-0.192631,0.033554,-0.008581,1
6,5,1.310997,-0.030111,0.507571,-0.491682,-0.360644,-0.290714,0.133114,-0.011299,-0.103233,-0.171606,-0.033292,0.112799,1
31,7,0.977183,-0.171669,0.390637,-0.243227,0.288333,-0.221358,-0.22562,0.142716,-0.11527,-0.256693,-0.07324,0.133995,1
26,5,1.548609,-0.395852,0.430163,-0.370181,0.131139,-0.014093,-0.346828,0.054198,-0.013478,-0.30158,0.010145,0.220486,1
24,16,1.402619,-0.596803,0.508378,0.027865,0.31885,0.002593,-0.297799,-0.018523,-0.315718,-0.343416,0.140657,0.060486,1
27,5,1.096366,-0.232957,0.58901,-0.355695,0.279578,-0.123471,-0.252119,0.273005,-0.153015,-0.334539,-0.169006,0.028544,1
15,2,1.291126,0.068776,0.896932,-0.294521,0.233098,-0.428556,-0.411853,0.254375,-0.150382,-0.234686,0.020957,0.063724,1
20,1,0.91504,0.113486,0.491946,-0.38262,-0.080644,-0.401453,-0.080646,0.232774,-0.183325,-0.287493,0.076799,0.082329,1
21,14,1.295962,-0.904501,0.733417,0.024133,0.098223,0.032393,-0.210975,-0.185079,-0.241676,-0.274942,-0.022922,0.114413,1
27,4,1.720759,-0.329536,0.539693,-0.282105,0.06568,-0.219773,-0.229438,-0.042303,-0.044778,-0.14762,-0.257499,0.118467,1
3,14,1.882291,-0.885675,0.428198,0.002923,0.265651,0.115176,-0.406025,-0.163888,-0.123137,-0.360651,-0.031532,0.200109,1
5,2,1.570194,-0.320125,0.547031,-0.460288,-0.154588,-0.308658,-0.142441,0.362066,-0.143885,-0.239804,0.087423,-0.000963,1
28,2,1.257687,-0.154022,0.334941,-0.183081,-0.267329,-0.112124,-0.178024,0.145034,-0.021484,-0.399561,-0.055051,0.186738,1
10,22,1.283262,-0.845536,0.703597,0.356229,0.196833,0.011877,-0.301048,-0.136343,-0.219837,-0.242036,0.036929,-0.122511,1
16,13,1.25838,-0.382374,0.421054,-0.043783,0.486485,-0.066118,-0.342631,-0.103734,-0.25765,-0.292643,0.043742,0.0407,1
24,16,1.671889,-0.761271,0.603038,0.218876,0.065373,0.145413,-0.291956,-0.28924,-0.126376,-0.255087,0.005098,0.175033,1
22,4,1.585777,-0.418757,0.336066,0.068958,-0.248636,-0.290405,-0.404455,0.052597,0.066125,-0.206246,-0.149652,0.058394,1
4,1,1.418749,0.129034,0.47528,-0.400347,0.040541,-0.57686,-0.259998,0.180785,-0.036081,-0.098609,0.020065,0.133878,1
2,4,1.43655,-0.206565,0.641775,-0.391073,-0.103646,-0.227374,-0.070016,0.138611,-0.125229,-0.182744,-0.021516,0.065927,1
18,4,1.575393,-0.572963,0.584884,-0.17643,-0.405552,-0.235987,-0.225425,0.060941,0.139739,-0.176076,-0.154424,0.163818,1
14,12,1.011749,-0.425444,0.760107,-0.045285,0.44411,-0.150515,-0.24194,0.013706,-0.253425,-0.228807,0.057901,0.161323,1
20,7,1.224938,-0.497523,0.796277,-0.586684,-0.014432,-0.175979,-0.452302,0.284026,-0.08223,-0.38325,-0.045221,0.001322,1
21,15,0.915334,-0.63776,0.579964,0.309014,0.277109,0.062199,-0.237463,-0.099908,-0.370466,-0.201949,0.114454,-0.150938,1
30,14,0.947621,-0.660556,1.143231,0.022668,0.436071,0.081502,-0.393783,-0.003644,-0.276161,-0.203999,0.118564,-0.225751,1
15,1,1.150639,-0.190578,0.562465,-0.146862,-0.402289,-0.385894,0.324414,-0.04772,-0.122438,-0.029703,-0.094095,0.158405,1
17,2,1.471378,-0.327257,0.245489,-0.298627,-0.093787,-0.295236,-0.030282,0.213114,0.033934,-0.198578,-0.168678,0.177098,1
21,10,1.611059,-0.817229,0.426707,0.040304,0.181371,-0.138424,-0.123358,-0.150019,-0.382172,-0.184026,0.029266,0.183786,1
4,16,1.556289,-1.043587,0.909457,-0.018181,0.018808,0.033865,-0.410164,-0.134829,-0.178459,-0.244507,0.090128,-0.077927,1
10,2,1.476022,0.014134,0.495687,-0.492308,-0.348115,-0.453957,0.178747,0.134743,-0.250135,0.052755,-0.01608,-0.089233,1
14,10,1.101487,-0.507149,0.595837,-0.089892,0.315784,-0.124667,-0.213016,0.090453,-0.255947,-0.217798,0.093615,0.168525,1
23,15,1.537053,-1.021175,0.567625,0.090479,0.049637,0.069154,-0.325253,-0.042998,-0.139264,-0.434381,-0.012477,0.150419,1
15,3,1.378514,0.015724,0.875981,-0.334586,0.263393,-0.388604,-0.405186,0.266404,-0.178577,-0.260021,0.026702,0.0591,1
23,15,1.437613,-0.68942,0.320577,-0.227823,0.245345,0.058723,-0.44867,-0.07369,-0.105041,-0.425161,-0.038743,0.171652,1
9,2,1.526055,-0.114201,0.486037,-0.436262,-0.155911,-0.382819,0.088281,0.274656,-0.233286,-0.226012,0.010427,0.101381,1
29,12,1.154107,-0.232998,0.636905,-0.046495,0.474789,-0.196517,-0.023221,0.017988,-0.557556,-0.142335,0.095569,0.038903,1
23,11,1.563245,-0.551948,0.293437,-0.293655,0.188841,0.113857,-0.324984,-0.066962,-0.052435,-0.431775,-0.200763,0.178873,1
31,12,1.100724,-0.511956,0.642864,-0.020074,0.326456,0.050264,-0.214036,-0.107523,-0.241159,-0.301212,0.051211,0.168885,1
6,14,1.49818,-0.339891,0.266016,0.018302,0.28121,-0.06495,-0.223262,-0.060338,-0.264617,-0.352943,-0.020135,0.175192,1
3,4,1.585858,-0.148691,0.696888,-0.433672,-0.369871,-0.325267,-0.192924,0.12444,-0.041498,-0.20858,0.129806,0.146745,1
8,3,1.750511,-0.308582,0.53531,-0.715814,0.040141,-0.356215,-0.477349,0.336016,-0.000313,-0.211349,-0.082473,-0.037075,1
19,5,1.162975,-0.235986,0.392406,-0.360919,-0.271118,-0.256223,0.076098,0.020137,0.068017,-0.356396,-0.168443,0.243819,1
11,10,1.47677,-0.418898,0.299984,-0.097451,0.287593,-0.25244,-0.068394,0.096903,-0.428354,-0.236317,-0.035986,0.150682,1
20,13,1.481268,-0.795681,0.569069,-0.439455,0.381887,0.057323,-0.484039,0.084482,-0.292945,-0.402932,0.079637,0.079272,1
4,9,1.543273,-0.853992,0.582981,-0.157712,-0.365579,-0.095108,-0.108669,0.035963,-0.057307,-0.386457,-0.185253,0.16828,1
10,5,1.500486,-0.170499,0.528804,-0.452345,-0.044726,-0.417028,-0.142913,0.210408,-0.316019,-0.170948,0.069617,0.04384,1
1,1,1.635533,0.024848,0.432087,-0.361914,-0.074776,-0.693481,-0.229621,0.261503,-0.089421,-0.020431,-0.008612,0.139754,1
1,19,1.388998,-0.728562,0.801037,0.101208,0.287227,-0.065235,-0.36335,-0.138497,-0.127783,-0.235129,-0.06768,0.108629,1
10,13,1.6184,-0.538103,0.462638,-0.067358,0.238743,-0.075426,-0.260208,0.025663,-0.331406,-0.381045,0.104549,0.140901,1
16,2,1.04741,0.336246,0.248383,-0.382609,-0.095124,-0.468017,-0.059318,0.314964,0.02762,-0.288403,-0.081207,0.018217,1
23,2,1.647792,-0.320824,0.595265,-0.555282,0.070723,-0.310653,-0.297112,0.311664,-0.118128,-0.249979,0.063763,0.162092,1
12,11,0.7937,-0.173967,0.284486,0.327683,0.282067,-0.076451,-0.154679,-0.366768,-0.040127,-0.290624,0.044375,0.095339,1
16,4,1.263908,-0.08385,0.45435,-0.471002,0.00913,-0.243589,-0.191004,0.189324,0.079851,-0.349622,-0.217839,0.154666,1
9,3,1.538597,-0.145072,0.238779,-0.268656,-0.358038,0.023831,-0.070798,0.102855,-0.009672,-0.438297,-0.022689,0.235453,1
11,12,1.448708,-0.367905,0.445529,0.008481,0.147957,0.168112,-0.316357,-0.295658,-0.169087,-0.204705,0.045708,0.103071,1
30,7,1.019561,-0.379438,0.5805,0.000425,0.189253,0.012434,-0.107702,-0.004791,-0.096377,-0.369858,-0.030121,0.205189,1
10,3,1.434685,-0.08974,0.268809,-0.283737,0.044152,-0.267194,-0.21518,0.177159,-0.114408,-0.200048,-0.110405,-0.009389,1
11,8,1.573314,-0.397875,0.251634,-0.024583,0.089206,-0.220509,-0.038019,0.157918,-0.37698,-0.300661,0.029323,0.148048,1
27,1,1.482768,-0.124894,0.573752,-0.262642,-0.043429,-0.326884,-0.259947,0.101963,-0.008893,-0.069691,-0.113352,0.044541,1
20,11,1.437891,-0.376128,0.793687,-0.142931,0.305722,0.06801,-0.216893,-0.09879,-0.339762,-0.355722,0.128608,0.15971,1
5,4,1.4297,-0.244747,0.529617,-0.48104,-0.075284,-0.33235,-0.141365,0.336681,-0.203517,-0.22564,0.121011,0.026731,1
10,6,1.393941,-0.224181,0.501645,-0.366471,-0.02613,-0.347102,-0.087742,0.104466,-0.367455,-0.169425,0.096432,0.079614,1
21,1,1.343719,-0.27459,0.498772,-0.377738,-0.040293,-0.286514,0.174393,0.304019,-0.288013,-0.224133,-0.134055,-0.008237,1
13,6,0.771904,0.110438,0.336901,-0.482479,0.123442,-0.344262,0.009709,0.225037,-0.195525,-0.259561,0.006332,0.104772,1
21,8,1.488843,-0.673018,0.393696,-0.0994,0.09975,-0.133793,-0.102514,-0.00637,-0.384401,-0.306269,0.0502,0.175925,1
23,4,1.922503,-0.131358,0.121297,-0.064366,-0.115012,-0.442741,-0.275862,0.141285,0.005277,-0.20748,-0.163136,0.016091,1
27,9,1.449144,-0.508827,0.552238,-0.265278,0.219058,0.237387,-0.310583,-0.174189,-0.192188,-0.320975,-0.027117,0.151665,1
18,9,1.284325,-0.27171,0.534851,-0.255311,-0.040557,-0.062876,-0.057025,-0.054398,-0.072339,-0.341362,-0.09613,0.285666,1
13,8,1.042758,-0.06453,0.446341,-0.42717,0.214259,-0.227749,-0.076586,0.255618,-0.333115,-0.28163,0.011456,0.015429,1
4,11,1.626277,-0.844833,0.55501,-0.044239,-0.308894,-0.003722,-0.225799,-0.06849,-0.008632,-0.340455,-0.155957,0.139002,1
23,3,1.815971,-0.124513,0.307278,-0.182076,-0.246316,-0.353763,-0.379602,0.215759,0.080989,-0.232605,-0.090966,0.001524,1
14,9,1.191268,-0.544804,0.31879,-0.038257,0.324971,-0.11459,-0.267356,-0.126101,-0.185195,-0.228677,-0.020787,0.133158,1
17,10,1.118043,-0.337721,0.288328,0.033412,0.53827,-0.095636,-0.332692,-0.122268,-0.214874,-0.247947,0.03768,0.066338,1
30,14,1.381959,-0.380126,0.353789,0.289633,0.262134,-0.131958,-0.183052,-0.141991,-0.386113,-0.163749,0.10516,-0.044367,1
19,7,1.320922,-0.269567,0.446169,-0.358876,0.163303,-0.037222,-0.193452,0.149636,-0.00795,-0.45807,-0.203661,0.182205,1
10,3,1.389361,0.015225,0.426657,-0.365413,-0.314519,-0.455878,0.167896,0.164595,-0.280009,-0.069689,0.025848,-0.045817,1
2,20,1.61242,-0.60699,0.416774,0.050611,0.24054,-0.08176,-0.047219,-0.173372,-0.269674,-0.118128,-0.176121,0.075934,1
2,11,1.64063,-0.471932,0.091516,0.061063,0.165614,-0.212629,-0.046723,-0.034998,-0.210997,-0.221234,-0.175446,0.072476,1
14,8,1.237384,-0.510523,0.36097,-0.187588,0.233576,-0.113671,-0.270326,0.009368,-0.150611,-0.369138,0.012995,0.197501,1
7,5,1.417637,-0.157945,0.520153,-0.572629,-0.039446,-0.253199,-0.059307,0.048715,-0.282594,-0.206558,-0.00389,0.169362,1
3,9,1.908451,-0.580881,0.431328,-0.259862,-0.209985,-0.07967,-0.147213,0.134547,-0.051157,-0.451099,-0.077406,0.226654,1
25,12,0.971092,-0.416604,0.306195,-0.212046,0.174819,-0.088769,-0.02291,-0.136161,-0.129152,-0.346467,-0.11163,0.351362,1
21,6,1.179826,-0.165594,0.381865,-0.061234,0.285824,-0.093728,-0.030273,-0.032882,-0.3906,-0.381579,0.041946,0.175163,1
28,6,1.331112,-0.303744,0.329994,-0.063735,0.140143,0.007809,-0.3093,-0.019939,-0.195018,-0.411622,0.09798,0.225047,1
1,13,1.321718,-0.311942,0.462991,0.144054,0.260473,-0.18642,-0.406317,-0.180396,-0.062192,-0.176076,-0.102425,0.001619,1
20,17,1.403385,-0.801059,0.659047,-0.035096,0.442497,-0.133564,-0.437229,-0.019641,-0.32301,-0.20334,0.032216,-0.066877,1
2,7,1.376047,-0.595044,0.40442,-0.081591,0.162077,0.135335,-0.161962,-0.044528,-0.204831,-0.384834,-0.071462,0.171193,1
1,4,1.717517,-0.218572,0.217119,-0.228186,-0.018608,-0.137624,-0.403318,-0.009643,0.164607,-0.323267,-0.210105,0.098098,1
17,15,1.375627,-0.792459,0.978507,-0.015287,0.422981,0.025122,-0.515855,0.014642,-0.269192,-0.363116,0.133912,-0.054855,1
27,9,1.305465,-0.533004,0.590922,-0.025334,0.313182,0.036521,-0.276372,0.080929,-0.256191,-0.385045,-0.017659,0.068826,1
30,1,1.534961,0.135152,0.359434,-0.40684,-0.159842,-0.254233,-0.264098,0.281291,0.122439,-0.232343,0.023277,0.014731,1
26,6,1.476997,-0.340477,0.427313,-0.499404,0.298888,0.028735,-0.339908,0.000482,-0.122845,-0.259053,0.026019,0.216762,1
12,4,0.987085,-0.112233,0.372049,-0.375791,-0.02395,-0.439617,0.047053,0.190476,-0.165435,-0.255345,0.038963,0.280815,1
13,8,1.450007,-0.178937,0.071381,-0.136031,0.147804,0.010888,-0.135866,0.077924,-0.091754,-0.435766,-0.100893,0.186682,1
2,15,0.630548,-0.423411,1.170455,0.288878,0.393472,0.166311,-0.055463,-0.183218,-0.28337,0.082538,0.020099,-0.294943,1
3,13,1.66936,-0.679862,0.256937,0.069152,0.122822,0.099089,-0.408978,-0.108924,-0.046027,-0.432718,-0.059613,0.247765,1
3,18,1.4529,-0.704247,0.378652,0.242781,0.311237,0.192922,-0.452417,-0.18149,-0.116275,-0.295192,0.053308,0.06499,1
24,2,1.913461,-0.136827,0.378663,0.028427,-0.638446,-0.338539,-0.069063,-0.11171,0.081588,-0.10744,-0.127575,0.139456,1
23,13,1.534153,-0.888564,0.655308,0.051023,-0.076622,0.022449,-0.285852,-0.025407,-0.094625,-0.392952,-0.069133,0.114314,1
21,4,1.401365,-0.379031,0.432996,-0.350367,-0.020553,-0.279934,0.089712,0.307476,-0.422538,-0.301505,-0.03681,-0.024021,1
5,13,1.627512,-0.753931,0.230844,0.148994,0.216088,-0.27685,-0.23204,-0.227556,-0.168355,-0.094685,-0.181778,0.061112,1
8,15,1.490069,-0.698884,0.398661,-0.06401,0.366971,-0.067635,-0.436847,-0.006558,-0.234806,-0.268016,0.035742,-0.010386,1
30,2,1.072831,-0.353014,0.60351,-0.223142,-0.103556,-0.302159,-0.056409,0.054185,-0.142722,-0.22593,-0.149259,0.223955,1
16,11,1.081263,-0.400506,0.516263,0.076383,0.49079,-0.146077,-0.438907,-0.052452,-0.133099,-0.27205,0.009551,0.045942,1
24,13,1.593208,-0.537919,0.481547,-0.035749,0.202876,-0.084086,-0.250517,0.102015,-0.296322,-0.419606,0.018099,0.067803,1
4,5,1.519423,-0.298427,0.396608,-0.470015,-0.019213,-0.519322,-0.213676,0.348197,-0.146555,-0.141138,-0.004335,0.069171,1
12,10,0.910412,-0.060027,0.349972,0.14695,0.143977,-0.029119,-0.129842,-0.456497,0.014726,-0.303288,0.036358,0.143797,1
