Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air_Quality
32.6,61.4,37.3,53.1,27.8,11.8,1.65,5.1,529,Moderate
28.9,72.0,48.2,58.4,29.3,9.2,1.56,9.5,422,Moderate
37.1,53.3,37.3,51.0,25.9,10.0,0.98,9.0,473,Moderate
27.9,89.6,11.5,8.6,21.7,15.8,1.27,5.2,618,Moderate
31.4,79.4,55.7,62.7,24.1,11.5,1.46,7.8,361,Moderate
26.7,48.8,19.7,23.8,31.8,5.3,1.27,5.3,538,Moderate
28.3,82.7,11.7,19.7,28.6,14.5,1.27,5.2,430,Moderate
32.7,59.4,2.1,14.7,21.9,13.7,1.21,8.4,394,Moderate
34.7,88.9,8.9,16.1,33.3,8.5,1.19,6.0,447,Moderate
33.6,72.6,24.5,31.2,24.1,14.8,1.3,6.7,489,Moderate
29.9,78.6,25.1,30.1,26.5,7.2,1.49,7.3,323,Moderate
30.7,61.2,2.6,15.9,20.5,4.2,1.77,5.3,449,Moderate
25.4,75.4,33.4,35.5,31.4,9.4,1.8,5.8,600,Moderate
31.0,95.6,32.3,39.5,21.4,8.9,1.25,10.7,327,Moderate
29.2,77.9,12.9,21.4,24.7,12.6,1.39,6.4,640,Moderate
31.3,56.1,2.3,11.6,21.1,9.0,1.41,10.9,588,Moderate
33.8,53.7,11.2,30.1,25.8,10.6,1.23,5.3,640,Moderate
31.5,73.6,55.0,68.7,22.3,12.5,1.35,6.2,417,Moderate
41.4,79.4,28.4,40.4,28.0,17.8,1.15,6.4,538,Moderate
24.2,80.6,3.3,13.0,23.6,14.5,1.22,6.1,367,Moderate
34.8,72.7,12.7,20.2,23.4,16.3,1.68,8.2,679,Moderate
37.3,61.0,67.6,72.0,22.7,10.3,1.6,9.3,582,Moderate
30.8,76.8,3.7,15.9,30.8,12.0,1.78,7.8,501,Moderate
40.0,52.7,1.0,12.1,34.3,5.3,1.25,6.2,355,Moderate
29.3,86.7,18.2,32.5,29.2,12.9,1.4,5.5,552,Moderate
29.3,78.5,14.8,19.2,29.3,-0.4,1.48,8.0,451,Moderate
31.5,67.6,33.4,46.2,22.8,0.7,2.07,5.4,446,Moderate
35.6,82.5,1.8,11.9,20.6,14.6,1.63,10.1,672,Moderate
43.7,76.2,56.6,64.2,23.2,12.3,1.4,5.6,390,Moderate
27.7,58.8,39.1,50.7,33.0,9.8,1.43,7.9,408,Moderate
31.2,49.7,20.5,30.6,25.2,15.7,1.59,9.0,347,Moderate
29.9,69.7,4.0,13.5,25.5,10.5,1.52,11.8,668,Moderate
29.8,60.2,10.7,19.8,24.9,12.4,2.0,6.4,472,Moderate
29.3,86.8,62.8,74.6,23.6,13.1,1.62,5.1,564,Moderate
23.9,79.8,35.5,48.2,25.8,11.1,1.77,8.8,441,Moderate
32.1,75.6,16.2,21.1,18.9,12.4,1.44,9.3,405,Moderate
31.2,63.7,24.8,34.8,28.0,5.7,1.43,7.3,616,Moderate
31.6,68.2,3.4,14.1,20.2,8.8,1.56,5.2,423,Moderate
23.2,72.9,29.3,39.3,20.6,7.2,1.36,5.4,299,Moderate
30.7,81.9,0.5,11.4,26.4,20.0,1.71,5.2,650,Moderate
30.5,76.0,30.7,48.8,25.3,3.3,1.56,7.3,721,Moderate
35.1,81.5,1.7,10.9,29.1,11.0,1.48,11.5,337,Moderate
37.9,96.9,43.3,51.1,31.9,10.6,1.23,7.2,293,Moderate
30.3,51.2,7.3,18.8,26.3,14.1,1.39,5.2,624,Moderate
28.9,91.1,12.3,22.6,29.5,6.3,1.21,6.3,351,Moderate
25.7,78.9,47.3,61.1,32.0,8.7,1.23,7.4,530,Moderate
35.4,85.1,18.4,25.0,25.3,6.5,1.56,5.3,425,Moderate
30.8,84.4,34.2,50.3,27.8,16.1,1.3,5.1,416,Moderate
38.1,82.6,5.1,13.8,25.0,9.9,1.5,6.7,582,Moderate
36.4,61.9,15.7,22.4,21.9,13.4,1.75,5.7,616,Moderate
30.1,86.8,7.3,22.4,27.9,6.0,1.29,6.0,690,Moderate
24.3,92.5,25.8,32.4,30.8,13.7,1.69,6.0,268,Moderate
30.1,72.0,14.4,19.7,22.7,10.7,1.46,6.4,372,Moderate
33.1,80.3,28.6,49.4,27.8,15.3,1.46,5.6,609,Moderate
28.0,80.2,27.7,28.8,34.3,12.3,1.55,6.2,631,Moderate
30.9,73.9,7.1,19.8,27.7,4.1,1.19,6.1,545,Moderate
26.4,74.6,73.9,86.5,24.4,7.0,1.65,5.1,603,Moderate
29.3,52.3,22.6,31.6,25.6,7.0,1.68,6.5,508,Moderate
31.6,60.9,18.0,35.8,17.9,11.0,1.34,7.9,458,Moderate
29.0,50.4,4.8,18.9,26.4,9.4,1.75,9.0,302,Moderate
32.3,69.5,0.4,10.8,32.6,8.2,1.35,5.8,643,Moderate
29.6,46.6,5.1,16.2,27.0,7.0,1.93,7.6,364,Moderate
24.2,83.2,19.6,29.1,22.4,1.7,1.37,6.0,384,Moderate
25.3,64.3,0.7,14.2,22.5,9.6,1.52,6.7,301,Moderate
27.6,51.3,6.0,12.7,32.6,6.4,1.44,5.1,386,Moderate
34.6,86.1,17.8,28.9,37.4,10.2,1.44,6.4,414,Moderate
35.7,73.1,2.8,7.9,26.9,14.5,1.77,6.2,421,Moderate
30.5,55.3,6.3,18.2,21.9,15.1,1.45,5.2,391,Moderate
24.1,72.6,27.7,36.5,35.3,6.5,1.95,8.4,493,Moderate
34.7,85.2,30.0,42.1,36.6,5.2,1.55,7.6,448,Moderate
34.1,61.4,6.8,16.3,41.3,15.3,1.57,7.3,624,Moderate
28.7,96.3,8.5,13.6,27.1,13.1,1.35,5.2,409,Moderate
34.2,81.2,30.3,40.5,31.5,19.6,1.48,5.5,551,Moderate
22.1,53.8,6.9,19.6,18.8,5.7,1.65,9.6,457,Moderate
33.7,89.4,30.0,47.3,26.5,8.1,1.41,6.0,613,Moderate
32.5,53.4,45.9,52.7,27.2,10.8,1.21,7.5,513,Moderate
29.8,84.3,0.6,14.0,34.6,14.2,1.61,5.4,506,Moderate
35.4,51.9,48.4,53.0,21.0,10.4,1.53,6.6,628,Moderate
35.2,71.8,12.2,25.7,28.0,7.1,1.27,7.8,327,Moderate
20.6,88.6,47.9,57.9,28.9,12.3,1.94,5.4,412,Moderate
32.5,64.6,5.5,13.3,29.7,11.6,1.74,5.5,485,Moderate
34.6,81.4,21.9,32.1,29.6,1.9,1.19,6.9,512,Moderate
27.2,70.5,37.6,41.9,18.9,13.9,1.68,8.2,579,Moderate
24.2,55.2,11.6,28.8,24.8,9.9,1.5,7.8,350,Moderate
25.6,87.4,23.6,32.3,29.2,3.1,1.59,6.2,582,Moderate
42.9,80.5,3.8,7.1,24.0,9.4,1.3,6.6,553,Moderate
27.6,69.8,16.8,30.0,27.7,8.9,1.74,12.2,564,Moderate
27.4,64.6,21.8,37.7,22.3,5.6,1.45,6.4,465,Moderate
27.4,67.7,36.3,42.0,27.0,19.6,1.35,7.4,511,Moderate
29.5,82.2,40.6,50.6,25.0,13.1,1.7,6.6,591,Moderate
32.2,78.1,0.4,6.2,26.7,13.8,1.64,5.1,540,Moderate
25.5,68.9,2.9,16.0,38.3,2.3,1.61,10.9,357,Moderate
23.2,88.9,55.5,60.9,31.4,13.1,1.19,5.5,351,Moderate
22.7,69.7,9.6,24.8,32.8,14.1,1.45,5.2,607,Moderate
23.6,67.9,13.6,31.3,32.5,12.4,1.48,6.2,309,Moderate
36.5,81.0,9.8,22.2,31.5,6.8,1.63,6.5,322,Moderate
28.5,62.2,84.5,102.4,24.8,0.8,1.41,5.1,287,Moderate
31.0,72.1,1.5,17.4,28.5,5.9,1.7,5.1,332,Moderate
26.6,66.0,2.2,3.7,27.7,11.7,1.63,6.6,395,Moderate
27.6,67.0,1.5,18.1,28.8,10.5,1.38,5.8,406,Moderate
33.5,75.7,2.3,18.1,29.4,10.1,1.45,6.0,633,Moderate
17.5,51.6,7.5,22.3,18.4,16.8,1.56,10.7,284,Moderate
29.5,85.9,13.6,33.2,18.7,14.4,1.78,6.6,397,Moderate
36.1,82.6,28.1,28.1,31.7,12.7,1.52,9.0,601,Moderate
32.0,74.9,43.3,45.5,28.8,9.5,1.42,7.8,598,Moderate
26.2,85.9,48.1,60.2,19.8,9.0,1.56,7.1,286,Moderate
32.7,79.1,17.2,29.7,23.9,17.0,1.25,7.5,504,Moderate
22.6,74.6,3.4,16.0,17.5,4.9,1.6,6.2,718,Moderate
29.6,56.4,17.2,35.2,20.7,4.5,1.7,6.3,649,Moderate
35.1,47.6,23.8,31.7,26.6,14.5,1.35,6.9,565,Moderate
26.9,59.1,21.4,33.0,22.2,9.2,1.14,5.5,398,Moderate
30.6,58.2,8.8,13.1,17.5,14.4,1.35,6.3,328,Moderate
27.9,59.3,45.9,56.0,27.0,6.7,1.4,6.7,633,Moderate
30.6,58.5,17.0,31.9,27.1,9.3,1.54,5.4,405,Moderate
31.5,71.2,8.1,16.1,17.1,8.3,1.47,9.0,615,Moderate
33.1,72.0,30.3,48.8,30.8,11.8,1.12,6.2,341,Moderate
30.0,67.1,47.1,61.3,22.1,7.3,1.82,5.7,639,Moderate
29.4,73.1,11.7,28.0,24.5,13.2,1.51,8.0,459,Moderate
35.0,56.0,23.4,27.1,32.7,11.5,1.62,5.8,452,Moderate
35.2,57.6,46.5,59.0,22.3,4.7,1.37,5.3,650,Moderate
29.5,58.6,6.1,17.5,32.6,17.0,1.19,5.0,311,Moderate
34.9,59.2,31.4,41.2,25.3,16.4,1.55,7.2,570,Moderate
18.1,50.3,10.3,15.5,19.8,19.8,1.69,7.3,440,Moderate
21.1,54.2,49.3,59.1,30.7,9.9,1.5,6.9,660,Moderate
31.8,71.4,18.6,32.0,18.7,13.9,1.3,5.5,483,Moderate
32.7,60.5,13.5,27.2,22.9,9.3,1.45,8.7,322,Moderate
24.3,77.6,16.9,29.0,34.7,8.9,1.22,9.0,316,Moderate
32.5,55.8,1.0,13.5,34.3,9.7,1.84,6.0,325,Moderate
33.4,70.5,7.5,15.2,24.1,8.6,1.49,6.0,417,Moderate
31.2,54.0,16.4,22.8,23.0,3.9,1.59,9.4,492,Moderate
34.1,67.9,40.1,47.1,34.6,1.0,1.72,9.5,462,Moderate
32.1,72.6,11.3,25.5,21.7,7.1,1.55,6.7,374,Moderate
31.5,83.9,14.3,24.3,29.9,12.7,1.64,5.2,265,Moderate
29.8,62.8,22.2,32.8,36.9,1.1,1.55,5.0,437,Moderate
38.1,61.3,8.5,27.1,21.9,13.0,1.61,5.5,343,Moderate
29.9,81.0,3.9,14.9,25.2,10.9,1.24,6.4,366,Moderate
24.9,54.3,39.0,56.5,30.3,12.3,1.6,5.2,351,Moderate
26.7,72.9,28.7,30.2,32.9,6.4,1.65,8.1,688,Moderate
28.8,49.0,0.4,9.3,35.2,7.3,1.43,5.4,553,Moderate
31.9,68.5,7.2,19.3,20.7,1.9,1.46,12.4,537,Moderate
26.7,54.6,3.1,7.1,29.9,9.1,1.44,9.6,509,Moderate
23.7,73.0,16.4,21.4,21.7,9.5,1.66,6.0,386,Moderate
32.6,92.5,5.4,10.9,26.2,12.9,1.32,5.6,377,Moderate
32.5,55.7,5.6,10.7,26.0,12.7,1.54,5.7,298,Moderate
26.9,79.7,17.3,27.3,27.2,0.0,1.45,7.5,575,Moderate
34.1,67.7,8.4,18.5,25.0,10.7,1.52,10.2,460,Moderate
25.6,51.5,35.5,40.7,32.2,-1.7,1.35,7.3,378,Moderate
31.9,70.7,20.2,28.7,29.2,9.7,1.39,6.4,689,Moderate
35.7,53.1,43.4,52.7,26.4,6.1,1.51,6.9,659,Moderate
29.5,53.5,12.2,22.2,26.8,10.0,1.49,8.0,438,Moderate
31.8,85.8,51.5,73.1,20.7,16.8,1.63,6.9,683,Moderate
23.0,79.9,0.3,9.8,23.0,10.2,1.73,8.9,264,Moderate
27.7,78.7,1.1,20.5,28.2,9.8,1.53,5.5,449,Moderate
37.7,76.3,15.4,15.2,22.0,13.0,1.02,6.2,386,Moderate
24.9,83.7,12.1,20.4,30.8,7.6,1.3,7.6,516,Moderate
30.8,60.9,7.2,20.0,36.1,13.7,1.37,5.1,342,Moderate
32.4,57.8,18.0,29.1,26.1,9.8,1.71,7.4,299,Moderate
35.6,47.4,13.1,30.9,33.1,4.9,1.66,5.7,328,Moderate
34.2,62.7,40.0,50.3,23.8,9.3,1.5,5.1,416,Moderate
31.0,85.8,10.1,24.8,29.4,8.5,1.89,12.1,507,Moderate
40.0,63.2,14.9,24.0,27.4,7.0,1.51,6.4,569,Moderate
36.2,56.8,27.1,35.3,30.8,8.1,1.47,5.7,388,Moderate
36.6,59.5,12.9,20.4,33.3,9.1,1.41,5.7,588,Moderate
34.6,71.4,20.4,32.4,22.9,7.0,1.64,7.6,514,Moderate
36.3,60.8,19.8,29.7,22.1,14.6,1.27,16.3,495,Moderate
32.2,42.8,24.8,37.3,26.9,16.8,1.16,5.8,453,Moderate
29.1,54.3,5.8,15.1,28.0,8.8,1.43,10.8,421,Moderate
25.8,58.8,0.3,10.3,25.0,9.9,1.62,9.9,622,Moderate
36.2,63.6,16.1,27.3,23.4,9.6,1.73,7.6,574,Moderate
30.5,58.2,11.8,24.8,22.9,15.9,1.52,5.1,431,Moderate
29.2,83.7,5.8,20.6,25.7,11.9,1.46,5.1,698,Moderate
29.0,79.2,66.5,82.1,25.8,16.7,1.51,5.3,575,Moderate
25.3,73.8,6.5,19.1,32.4,12.6,1.2,5.5,419,Moderate
28.3,76.6,10.3,17.8,37.4,5.2,1.38,7.1,540,Moderate
32.0,63.8,53.7,62.1,27.2,6.8,1.49,17.1,345,Moderate
26.4,66.0,3.5,14.4,23.7,7.0,1.74,5.0,511,Moderate
31.0,50.1,6.8,20.9,17.7,12.8,1.7,5.1,328,Moderate
33.7,72.5,6.9,22.6,22.8,16.2,1.48,8.5,644,Moderate
27.9,82.5,8.3,24.2,29.0,9.4,1.78,5.6,349,Moderate
32.5,75.1,24.9,36.0,25.8,6.3,1.69,6.4,516,Moderate
24.8,86.3,14.3,21.5,22.7,12.2,1.27,8.6,419,Moderate
34.9,76.9,7.5,25.2,31.4,14.4,1.43,5.0,342,Moderate
28.1,73.2,31.1,41.5,18.8,12.8,1.23,5.1,423,Moderate
30.4,48.7,0.1,6.6,24.2,9.1,1.63,6.1,536,Moderate
33.3,64.4,17.0,33.1,25.1,10.6,1.39,5.9,511,Moderate
35.5,55.7,41.5,52.6,37.1,8.7,1.17,9.2,546,Moderate
33.2,57.3,6.3,20.3,31.2,5.8,1.69,8.2,316,Moderate
26.7,71.4,9.4,22.3,31.4,10.3,1.55,7.7,688,Moderate
30.7,80.5,19.9,34.2,19.9,8.4,1.43,6.8,527,Moderate
36.3,83.6,43.6,55.0,27.9,10.0,1.17,7.2,512,Moderate
31.5,80.1,26.2,28.0,14.9,7.3,1.21,7.6,317,Moderate
35.0,72.3,38.4,47.6,28.4,5.5,1.24,7.6,640,Moderate
29.2,63.7,0.2,11.0,24.3,18.3,1.3,11.8,574,Moderate
25.3,64.5,30.9,47.8,27.8,11.3,1.63,5.3,389,Moderate
35.6,57.6,19.4,33.5,35.1,10.0,1.57,5.1,424,Moderate
27.4,81.5,18.9,30.4,22.6,12.8,1.55,5.1,341,Moderate
28.0,55.4,3.0,15.1,22.8,21.8,1.76,5.1,405,Moderate
22.3,53.9,28.5,47.9,30.2,12.6,1.44,5.9,614,Moderate
32.7,50.3,26.8,40.9,22.0,8.1,1.68,9.1,417,Moderate
35.5,62.6,71.2,75.9,20.5,9.3,1.58,5.5,405,Moderate
27.8,75.4,6.0,14.4,16.8,12.8,1.47,5.7,539,Moderate
30.3,68.3,18.8,29.0,23.9,11.2,1.47,9.6,456,Moderate
28.8,77.2,27.8,42.3,27.5,4.8,1.6,10.8,538,Moderate
23.8,70.3,0.8,12.7,17.8,11.1,1.42,5.5,606,Moderate
31.2,55.8,19.5,27.0,20.5,13.4,1.47,6.1,402,Moderate
36.1,61.6,1.1,10.7,21.5,8.5,1.76,7.0,567,Moderate
32.9,79.1,1.5,6.7,30.9,20.2,1.77,5.5,344,Moderate
28.1,62.6,19.4,29.4,16.2,12.3,1.77,7.1,676,Moderate
31.9,53.6,13.3,23.8,20.8,7.0,1.67,11.3,366,Moderate
30.1,56.7,7.9,25.2,26.4,11.4,1.39,7.0,662,Moderate
23.5,86.3,4.3,23.8,32.3,5.6,1.46,9.5,427,Moderate
33.8,72.1,3.7,18.3,29.7,6.8,1.16,5.9,625,Moderate
28.0,76.6,24.8,35.9,28.1,13.4,1.53,7.4,440,Moderate
23.5,62.3,0.8,10.5,32.4,14.9,1.03,8.1,614,Moderate
31.6,71.5,11.0,24.3,24.5,17.1,1.57,8.0,560,Moderate
34.8,61.8,6.8,15.5,23.5,9.6,1.47,6.0,404,Moderate
31.3,70.5,13.7,23.4,28.6,10.6,1.69,5.9,647,Moderate
30.6,65.6,28.7,38.2,21.5,14.8,1.48,8.3,383,Moderate
26.8,91.8,5.1,10.5,28.3,7.2,1.31,9.6,376,Moderate
35.2,79.8,11.3,18.6,37.1,8.2,1.42,9.6,510,Moderate
36.5,78.5,4.7,11.3,30.3,13.9,1.33,6.5,412,Moderate
30.4,56.5,5.9,14.5,23.7,6.4,1.24,6.7,410,Moderate
32.9,56.0,6.0,15.9,21.0,12.3,1.78,6.4,434,Moderate
32.2,55.9,10.8,18.0,21.9,0.5,1.59,8.5,476,Moderate
28.7,80.3,26.8,41.0,32.8,7.2,1.65,8.8,249,Moderate
32.0,75.0,2.5,12.8,32.3,4.3,1.39,5.6,546,Moderate
28.2,56.0,12.8,21.0,23.4,10.6,1.65,5.3,277,Moderate
26.7,50.1,33.2,43.6,26.9,11.5,1.23,10.8,651,Moderate
29.2,62.5,4.2,7.0,26.5,13.5,1.07,6.1,630,Moderate
33.0,60.4,20.1,29.9,31.9,7.6,1.32,5.7,335,Moderate
31.7,61.4,7.9,20.8,27.7,12.6,1.68,7.5,574,Moderate
27.0,84.3,18.2,25.4,15.5,10.9,1.08,5.5,431,Moderate
26.8,54.3,25.1,33.7,27.1,6.3,1.61,9.7,632,Moderate
22.7,69.5,15.6,15.6,27.8,7.3,1.84,7.2,483,Moderate
29.5,84.6,40.6,51.7,25.4,11.5,1.75,9.5,418,Moderate
31.5,62.0,75.4,82.5,22.7,19.2,1.55,5.9,642,Moderate
27.1,88.3,20.9,25.4,35.1,4.5,1.75,6.1,506,Moderate
24.9,85.6,7.4,18.6,30.2,10.8,1.22,6.4,515,Moderate
28.8,74.3,29.9,40.6,26.6,6.9,1.43,5.4,649,Moderate
30.0,85.3,9.2,18.2,25.8,5.2,1.42,10.2,503,Moderate
33.6,81.2,20.2,30.3,30.2,10.6,1.24,6.3,714,Moderate
22.8,76.0,12.3,22.0,27.1,12.2,1.54,12.1,577,Moderate
34.5,72.1,25.0,38.3,22.8,18.3,1.43,6.3,577,Moderate
29.0,51.2,7.6,16.0,30.6,15.2,1.48,5.8,660,Moderate
26.3,83.1,29.7,48.0,33.0,8.2,1.56,6.0,579,Moderate
35.8,69.7,9.8,14.4,22.5,10.5,1.1,5.3,396,Moderate
29.6,75.1,6.1,14.0,25.6,9.5,1.52,8.2,649,Moderate
31.6,81.1,18.7,30.0,31.6,12.3,1.45,5.5,664,Moderate
35.0,85.2,47.4,62.5,24.0,8.8,1.87,9.2,641,Moderate
39.4,55.7,1.0,11.4,33.1,10.3,1.27,6.2,416,Moderate
30.4,57.2,46.1,56.4,20.2,11.7,1.8,8.8,516,Moderate
25.3,45.7,12.5,27.4,28.8,9.0,1.37,5.4,525,Moderate
29.1,68.0,37.5,47.0,30.1,7.9,1.63,7.1,516,Moderate
32.2,79.4,4.0,11.0,32.9,10.9,1.25,9.5,651,Moderate
32.4,62.5,28.9,38.3,31.0,7.0,1.64,5.1,688,Moderate
29.3,79.8,3.9,13.9,21.9,6.4,1.72,7.0,337,Moderate
30.1,54.1,18.3,29.2,25.5,4.3,1.62,6.1,532,Moderate
26.4,77.1,20.6,24.8,24.1,12.4,1.46,6.7,576,Moderate
29.8,68.3,0.1,10.9,19.9,6.1,1.57,5.4,345,Moderate
36.4,61.5,35.3,30.1,28.7,6.4,1.1,5.7,312,Moderate
38.5,55.8,12.3,32.1,24.8,9.4,1.75,5.6,312,Moderate
30.7,76.4,18.3,31.9,27.6,11.6,1.54,5.9,516,Moderate
30.3,82.2,64.0,77.0,25.2,9.1,1.16,6.1,338,Moderate
29.0,90.6,24.2,30.3,31.4,9.4,1.38,6.8,303,Moderate
24.6,55.8,14.6,24.1,26.0,12.3,1.93,5.7,579,Moderate
37.5,64.7,3.5,18.5,25.1,15.9,1.7,7.2,399,Moderate
33.7,54.1,5.2,15.5,34.5,6.8,1.5,5.4,367,Moderate
33.6,46.7,11.1,22.2,23.7,3.8,1.16,10.0,592,Moderate
25.5,81.0,1.1,9.9,31.2,12.3,1.77,5.9,572,Moderate
26.3,91.1,142.3,157.0,30.5,6.5,1.18,7.1,480,Moderate
31.2,83.8,43.8,61.7,20.5,9.2,1.65,7.1,621,Moderate
31.4,54.3,25.6,34.5,37.0,14.9,1.32,8.3,632,Moderate
32.2,83.4,5.8,15.3,38.3,12.6,1.72,7.4,449,Moderate
30.5,74.7,17.5,22.8,26.3,9.9,1.61,7.9,441,Moderate
26.8,58.5,39.0,46.5,27.4,8.6,1.59,5.5,466,Moderate
29.3,57.3,13.7,23.6,28.3,12.0,1.87,7.0,657,Moderate
24.4,56.1,3.7,13.4,27.5,7.4,1.85,8.1,382,Moderate
26.8,72.5,20.7,35.2,18.5,13.2,1.72,5.4,662,Moderate
38.2,54.8,43.9,53.5,21.1,9.0,1.47,5.0,485,Moderate
30.9,60.3,56.3,68.7,22.8,10.5,1.4,7.4,426,Moderate
29.0,61.4,11.0,17.4,36.6,10.8,1.52,10.7,326,Moderate
29.4,56.0,24.3,41.9,30.5,5.3,1.64,12.5,375,Moderate
24.2,89.0,22.8,31.7,34.3,10.9,1.46,5.8,623,Moderate
27.3,75.8,51.0,59.3,23.5,7.9,1.77,5.2,542,Moderate
21.9,80.0,1.1,6.0,21.8,11.4,1.77,6.5,642,Moderate
28.6,50.1,3.2,15.6,26.6,4.9,1.6,5.5,566,Moderate
28.4,82.6,2.0,14.6,27.4,3.7,1.37,5.9,339,Moderate
28.0,88.7,13.5,25.9,23.7,18.5,0.94,8.6,546,Moderate
26.0,76.0,79.0,83.4,19.6,10.1,1.48,12.6,501,Moderate
32.3,76.8,19.1,38.4,23.9,12.6,1.69,6.2,674,Moderate
35.7,83.1,8.1,20.2,24.9,9.4,1.4,7.2,564,Moderate
24.0,86.1,27.9,40.8,17.3,7.3,1.36,9.9,491,Moderate
29.3,50.0,31.7,36.7,33.8,8.5,1.46,5.3,642,Moderate
25.3,49.4,19.5,32.0,24.9,7.2,1.73,5.8,426,Moderate
31.1,89.1,22.8,28.2,17.7,10.5,1.71,6.8,680,Moderate
35.9,87.0,26.4,34.1,29.2,17.2,1.33,6.5,619,Moderate
19.9,80.9,12.2,22.0,24.4,8.3,1.45,7.3,433,Moderate
41.7,64.8,2.3,11.2,22.4,7.6,1.22,6.6,452,Moderate
32.4,56.5,0.0,13.9,27.2,5.3,1.0,5.4,412,Moderate
27.2,75.6,13.5,21.6,27.1,16.2,1.77,5.5,396,Moderate
23.6,72.3,0.8,13.8,26.4,11.0,1.68,6.2,543,Moderate
31.8,80.2,22.4,34.1,29.7,4.9,1.22,9.4,580,Moderate
31.0,89.4,10.8,17.3,31.3,3.3,2.01,5.9,435,Moderate
32.4,82.2,11.2,16.0,26.0,4.5,1.45,6.8,601,Moderate
31.6,86.5,17.9,23.5,28.0,8.6,1.72,5.4,370,Moderate
26.5,60.2,10.0,17.4,25.4,5.2,1.51,6.6,432,Moderate
33.5,43.8,46.5,61.9,22.9,5.2,1.71,10.8,523,Moderate
30.8,66.5,15.7,21.5,23.8,0.7,1.54,6.6,528,Moderate
35.2,68.3,4.7,16.8,21.6,13.0,1.3,9.6,478,Moderate
25.9,63.5,15.9,23.5,29.6,11.2,1.44,6.0,394,Moderate
32.7,86.0,7.5,17.3,31.0,15.3,1.3,5.8,683,Moderate
29.2,77.6,106.6,114.2,27.5,3.4,1.86,6.2,549,Moderate
36.4,72.1,37.2,45.7,29.1,9.6,1.45,9.8,312,Moderate
28.8,69.1,2.3,16.8,25.2,7.7,1.6,8.7,643,Moderate
25.9,49.6,1.0,12.6,23.0,16.9,1.96,5.5,592,Moderate
26.1,88.5,33.9,41.7,37.4,14.5,1.17,7.7,542,Moderate
26.0,64.5,10.4,15.5,25.2,3.1,0.98,5.3,359,Moderate
29.7,88.0,3.9,13.9,36.8,10.3,1.7,6.9,457,Moderate
29.4,94.1,0.9,7.1,24.5,12.2,1.24,6.4,648,Moderate
30.8,68.9,2.0,11.5,23.6,13.0,1.46,7.1,638,Moderate
20.6,80.6,0.3,5.1,22.0,4.6,1.49,7.6,647,Moderate
26.4,53.4,23.2,33.9,17.2,9.9,1.29,7.5,392,Moderate
35.4,58.4,3.0,9.5,27.3,5.4,1.54,6.1,411,Moderate
27.7,71.7,34.5,43.9,21.7,8.0,1.6,8.2,385,Moderate
