spid,commeqta,llploans,costtoincome,roe,liqassta,size,rating
212135,0.133662,0.013054,1.06744,-0.177724,0.434148,19.847261,above_average
322887,0.137914,0.013212,1.502365,0.243778,0.105346,19.808344,above_average
144873,0.092079,0.036947,1.450806,0.075722,0.415039,17.209572,above_average
146134,0.017193,0.056026,1.23965,0.273175,0.764287,15.773709,above_average
151093,0.022645,0.031738,0.24853,-0.223519,0.624141,19.882239,above_average
246562,0.058868,0.063499,0.523379,-0.451329,0.535689,15.790094,above_average
292520,0.119254,0.051792,0.756479,0.067443,0.411767,19.775527,above_average
305337,0.034871,0.0155,0.422716,-0.353523,0.352463,17.580395,above_average
133939,0.117113,0.064856,1.339978,-0.100383,0.348399,15.519022,above_average
332085,0.128875,0.051265,0.968758,-0.160031,0.04455,17.358597,above_average
220221,0.103719,0.013152,1.191253,0.374306,0.720013,19.605816,above_average
165327,0.098241,0.07197,1.472006,-0.176274,0.492742,21.195608,above_average
250487,0.031693,0.036875,0.470253,0.03464,0.318877,15.537213,above_average
143668,0.099373,0.012541,0.816319,-0.268019,0.453581,20.607981,above_average
320296,0.100836,0.039103,0.951554,-0.249506,0.312706,15.336431,above_average
388737,0.008968,0.010761,0.243114,0.074932,0.545853,20.430565,above_average
196729,0.071462,0.058341,0.597239,-0.119508,0.088591,17.264452,above_average
107622,0.008912,0.089919,0.558106,0.041581,0.41332,16.621987,above_average
272005,0.073862,0.053457,1.481567,0.092529,0.258909,16.462469,above_average
150195,0.123279,0.01649,0.32141,0.375487,0.424867,19.746116,above_average
340758,0.151331,0.021048,0.616544,-0.432366,0.602812,16.901187,above_average
390738,0.136345,0.061564,0.39325,-0.387376,0.135857,20.215913,above_average
185780,0.097867,0.022993,1.575199,-0.127477,0.688987,16.541907,above_average
164582,0.028023,0.062965,0.68635,0.022318,0.762828,17.582201,above_average
199916,0.117513,0.037586,0.553259,0.273368,0.698102,21.146025,above_average
229186,0.117511,0.046754,0.598361,-0.099712,0.123651,19.280077,above_average
384803,0.167089,0.025923,0.430201,0.38488,0.261732,19.013283,above_average
195732,0.04168,0.092147,0.990304,-0.469842,0.727085,18.505745,above_average
126317,0.136566,0.057693,1.023896,-0.437565,0.04929,20.615536,above_average
163016,0.090103,0.050986,0.839667,0.164443,0.382838,20.249974,above_average
363906,0.097125,0.007423,1.03479,0.487987,0.444682,17.584773,above_average
280421,0.090117,0.038521,0.993982,-0.412526,0.686166,20.530535,above_average
249406,0.010659,0.032676,1.092897,0.357075,0.258292,18.97703,above_average
178534,0.106608,0.01543,0.367784,0.236131,0.652939,21.262753,above_average
304702,0.022293,0.071036,0.292165,0.067565,0.510368,16.542602,above_average
107125,0.010782,0.089392,0.35583,0.262439,0.408223,15.772133,above_average
367786,0.030738,0.014139,0.417723,0.093263,0.539409,19.902369,above_average
321496,0.090032,0.014264,1.565973,-0.105211,0.531004,19.139745,above_average
150508,0.12202,0.027181,0.539949,-0.019708,0.814974,16.337213,above_average
185670,0.069151,0.084972,0.385293,-0.431526,0.757609,20.34209,above_average
227504,0.147568,0.046077,1.088325,0.331471,0.521523,16.108017,above_average
197168,0.16205,0.062308,0.965589,0.220549,0.132627,20.35473,above_average
181917,0.052825,0.039759,1.038303,0.08349,0.522647,17.112954,above_average
350840,0.041641,0.008355,0.299009,0.1738,0.257291,15.530285,above_average
147632,0.029725,0.092257,1.248344,0.208265,0.61728,20.838314,above_average
229949,0.117968,0.02562,0.415026,0.029127,0.367902,19.016714,above_average
100517,0.04977,0.09235,0.469585,-0.442854,0.633727,21.023782,above_average
125507,0.039756,0.08199,0.979988,0.285176,0.334199,16.417159,above_average
398774,0.151302,0.08925,0.657992,0.453599,0.315969,19.205403,above_average
281680,0.032176,0.056428,0.397765,-0.18524,0.281055,20.35785,above_average
154541,0.146344,0.022036,1.57977,-0.258311,0.047588,21.249247,above_average
369469,0.113544,0.052293,0.245365,-0.420496,0.03761,16.985105,above_average
374072,0.048023,0.026295,0.380719,-0.446673,0.721345,21.152045,above_average
370200,0.165069,0.037817,0.29298,-0.158593,0.17452,21.109774,above_average
240791,0.020739,0.070521,1.562938,-0.319328,0.443493,20.731047,above_average
144236,0.143822,0.018031,0.889899,0.426709,0.63153,18.202253,above_average
196461,0.066043,0.086515,0.91844,-0.399116,0.618638,18.834859,above_average
230063,0.027339,0.071635,0.563361,0.166368,0.142424,18.891198,above_average
112087,0.095398,0.036008,1.384486,0.351007,0.778466,15.918266,above_average
188653,0.052839,0.017601,0.521508,-0.479363,0.076742,20.727268,above_average
310220,0.103433,0.009972,0.73224,0.433363,0.676095,18.941133,above_average
105285,0.105257,0.009913,0.389594,-0.490177,0.79951,17.323033,above_average
223376,0.025423,0.002209,0.40904,-0.114699,0.079761,17.561048,above_average
105399,0.144111,0.005153,0.624719,-0.306505,0.197419,15.914676,above_average
341676,0.071447,0.027843,0.266484,0.315287,0.116548,19.630047,above_average
364199,0.135792,0.030452,0.780331,0.336842,0.302433,16.567796,above_average
112281,0.016044,0.02625,0.821492,-0.438126,0.723845,17.02991,above_average
199528,0.148248,0.030312,0.678161,-0.419185,0.377444,18.14689,above_average
146001,0.078474,0.067781,0.729197,0.057405,0.670696,16.317358,above_average
373110,0.042896,0.077766,1.446818,-0.476926,0.076052,16.685784,above_average
177546,0.143424,0.046217,0.799326,-0.342855,0.133733,19.853267,above_average
292841,0.135247,0.053312,1.263927,-0.193427,0.733295,16.186802,above_average
303241,0.056234,0.033027,1.341251,0.389844,0.146923,19.887695,above_average
143705,0.104113,0.081596,1.36919,0.481742,0.533681,17.545401,above_average
256760,0.084867,0.067446,0.497574,0.026455,0.59895,15.67535,above_average
323710,0.139688,0.020495,0.821711,0.28292,0.523125,18.777921,above_average
154566,0.102361,0.0718,0.368732,0.271818,0.065855,19.20214,above_average
187928,0.131997,0.037501,0.416263,0.2842,0.733812,17.532639,above_average
243379,0.085808,0.053841,0.317133,-0.469326,0.258946,17.665208,above_average
165388,0.077575,0.018173,0.727666,0.184354,0.243342,19.193514,above_average
392167,0.094316,0.071285,1.33735,0.404406,0.350504,18.157137,above_average
107313,0.013049,0.094904,0.929743,0.265719,0.690523,19.616041,above_average
203490,0.075187,0.044351,1.215159,-0.453955,0.527418,17.335995,above_average
331110,0.160824,0.009823,1.125697,-0.257099,0.788071,17.464801,above_average
223976,0.130376,0.006747,0.39614,-0.241663,0.153602,21.103894,above_average
156406,0.031603,0.022961,1.121027,-0.048862,0.812529,17.573621,above_average
293235,0.124708,0.035183,1.267833,-0.412135,0.755259,18.309355,above_average
106258,0.008845,0.078614,0.947007,-0.381077,0.652565,18.824653,above_average
335498,0.02527,0.090044,1.346152,-0.307719,0.53975,19.574136,above_average
347180,0.073313,0.059056,1.485432,0.183351,0.776543,17.427644,above_average
365102,0.073791,0.085289,1.388908,-0.053937,0.789081,19.08336,above_average
152017,0.085797,0.023625,1.420902,-0.079124,0.329241,21.24695,above_average
192807,0.08189,0.061087,1.45933,-0.445606,0.627561,17.045247,above_average
116873,0.068252,0.006913,0.830326,-0.353292,0.51395,17.965618,above_average
220957,0.116727,0.083752,1.424128,-0.378143,0.363279,19.694456,above_average
390269,0.043519,0.071414,1.057308,0.19947,0.035687,17.852662,above_average
220941,0.133458,0.042919,0.540087,0.115101,0.386138,20.620973,above_average
353302,0.105079,0.053533,1.56973,-0.149542,0.482407,18.471247,above_average
109858,0.01673,0.016784,0.30252,-0.040235,0.600796,17.30897,average
348842,0.067041,0.00469,0.465146,-0.012173,0.243277,19.780568,average
342081,0.139066,0.016683,0.419964,0.238436,0.35704,17.196584,average
354169,0.148852,0.017528,0.769944,-0.04309,0.50315,20.190062,average
323736,0.117477,0.005521,0.717753,0.007229,0.02492,21.218041,average
203385,0.116674,0.015921,0.955334,0.090812,0.483391,19.228957,average
258949,0.163705,0.007467,0.828934,0.196945,0.262971,21.262584,average
216834,0.164819,0.016542,0.576435,-0.080569,0.193897,17.629855,average
249824,0.061996,0.010225,0.302427,-0.136508,0.242879,20.884034,average
279126,0.056292,0.009275,1.093038,-0.022625,0.585803,17.725529,average
318675,0.158045,0.007566,0.612749,0.030574,0.668145,16.810107,average
396288,0.038463,0.010933,0.250714,0.068664,0.10569,19.495318,average
173674,0.054139,0.000935,0.330728,0.158761,0.268918,19.461259,average
371250,0.106482,0.006327,0.389185,0.091319,0.516378,20.813811,average
196836,0.166322,0.01344,0.795519,0.090471,0.345296,16.398294,average
204853,0.133209,0.002823,0.73604,-0.072299,0.082085,20.474691,average
290430,0.066331,0.017092,0.588182,0.226303,0.368885,17.500597,average
185413,0.029861,0.013387,1.09684,-0.128122,0.238652,19.836774,average
399207,0.125213,0.00472,0.953811,0.244447,0.581242,18.869429,average
212747,0.109902,0.013147,0.286226,0.124881,0.424299,21.041874,average
194073,0.038471,0.007544,0.759117,-0.08441,0.666684,19.198663,average
199395,0.065264,0.00921,0.425566,0.223945,0.207963,20.049824,average
236391,0.079083,0.006343,0.727383,0.076043,0.290085,21.275078,average
274217,0.010628,0.016627,1.104183,0.069528,0.586366,20.527498,average
166011,0.14409,0.015918,0.521374,-0.044222,0.653943,20.067337,average
151168,0.080303,0.012712,1.009948,-0.152894,0.62857,21.300717,average
360758,0.059482,0.007768,0.762781,0.150527,0.094586,17.830952,average
283225,0.095528,0.01001,1.118721,-0.063973,0.67701,19.747621,average
186272,0.105719,0.010935,0.360976,-0.116777,0.443265,19.578126,average
159144,0.132964,0.009894,0.509045,-0.087683,0.038024,21.352773,average
259444,0.0922,0.007675,0.760533,0.232918,0.614314,16.586525,average
371491,0.153451,0.004401,0.382705,0.061298,0.27465,18.465665,average
181221,0.044783,0.004988,0.417731,0.162264,0.483553,19.081848,average
351283,0.126144,0.005643,1.049522,-0.06493,0.517792,17.270215,average
248961,0.039509,0.015742,0.347191,0.246752,0.080553,18.148127,average
177958,0.01391,0.002796,0.29141,-0.074919,0.024761,15.896659,average
254862,0.073661,0.010854,0.539149,-0.130663,0.623484,18.800705,average
398453,0.105114,0.016107,0.535384,0.103583,0.055063,15.830297,average
306560,0.160459,0.007639,0.745796,-0.083145,0.073381,15.82286,average
356116,0.14211,0.016677,0.654252,-0.096995,0.220393,19.024,average
357087,0.125585,0.005609,0.380064,0.227397,0.216305,20.6642,average
104449,0.04806,0.001492,0.777414,0.187566,0.156551,17.853128,average
312095,0.067408,0.001709,0.779501,-0.01596,0.277209,17.535992,average
208545,0.145058,0.011327,0.498976,0.243489,0.430442,16.338638,average
321880,0.145874,0.011043,1.030231,-0.047138,0.587674,18.993758,average
203191,0.093278,0.000821,0.522661,-0.078224,0.075115,20.155973,average
243517,0.15038,0.005135,0.319208,0.062973,0.601258,21.253485,average
299259,0.059399,0.001994,0.906782,0.097779,0.34131,16.688653,average
117891,0.068345,0.010764,0.754089,0.093507,0.329168,17.458008,average
332158,0.122832,0.017442,0.876443,0.041621,0.078758,16.365606,average
106911,0.118675,0.014689,0.328989,0.09802,0.099456,17.854595,average
312759,0.060507,0.016953,0.498642,-0.145541,0.267146,19.391939,average
114021,0.07944,0.005024,0.905382,-0.12023,0.125475,20.95041,average
180603,0.01379,0.010454,0.767468,0.122218,0.632569,20.56912,average
288017,0.131451,0.015114,0.331574,0.149984,0.08901,20.438471,average
127763,0.091022,0.007241,0.245759,-0.135716,0.643519,19.769761,average
347512,0.105477,0.0129,1.100527,0.183417,0.541788,19.082467,average
325835,0.039935,0.005433,0.599624,-0.131032,0.056207,18.603803,average
280869,0.125413,0.003915,0.944651,0.137107,0.648833,20.995619,average
153937,0.10702,0.01035,0.426811,-0.009588,0.676943,19.301553,average
156012,0.148156,0.000263,0.325364,-0.048781,0.304479,21.059132,average
399315,0.144956,0.000518,0.55322,0.15821,0.689032,18.046434,average
352319,0.085049,0.003764,0.643845,0.08873,0.310384,18.327898,average
340407,0.009266,0.00146,1.138326,-0.040227,0.401029,19.462226,average
376495,0.039514,0.003969,0.318076,0.150934,0.077789,18.753089,average
337887,0.079781,0.004889,0.964925,0.204978,0.527352,19.087651,average
379158,0.030408,0.011673,0.266284,-0.137122,0.438699,19.179164,average
291557,0.056368,0.015041,1.09851,0.077467,0.227634,20.674555,average
130861,0.025114,0.002403,1.114033,-0.018928,0.313189,19.81143,average
370472,0.028188,0.011545,0.516399,0.033119,0.605305,20.038463,average
402124,0.121312,0.012637,0.272289,-0.022336,0.469243,19.576694,average
320355,0.136639,0.009953,0.785675,0.137474,0.558528,18.624479,average
347823,0.124038,0.006504,0.292023,-0.133934,0.400888,18.85496,average
185277,0.057611,0.012501,0.816512,0.072784,0.594099,20.578712,average
264519,0.160955,0.001936,0.251556,0.061273,0.41124,20.878623,average
219239,0.103977,0.004016,0.321224,0.245725,0.599221,16.235932,average
228684,0.162999,0.010731,0.607654,0.191259,0.171155,17.163941,average
367965,0.015449,0.007739,0.493528,0.085437,0.059864,18.986125,average
362430,0.008302,0.008466,0.504154,-0.127507,0.171689,20.158032,average
206298,0.052801,0.014322,0.322679,-0.042696,0.546793,21.009826,average
269359,0.079327,0.017737,0.456338,0.091413,0.152505,15.876873,average
389183,0.163693,0.006848,0.690212,-0.11079,0.198291,19.510419,average
146137,0.100153,0.01663,1.107379,0.198576,0.427809,20.76118,average
178982,0.061064,0.009491,0.48079,-0.073779,0.162685,18.830002,average
193582,0.138021,0.009883,0.417618,0.163338,0.656924,18.537296,average
360126,0.114337,0.004645,1.083885,-0.120134,0.182271,16.817019,average
311481,0.14201,0.013498,0.886222,-0.047053,0.248131,21.349435,average
305506,0.149671,0.006312,1.043324,0.103714,0.669614,18.278911,average
292749,0.009824,0.007809,1.11722,-0.073207,0.293704,16.295904,average
295999,0.020315,0.014329,0.43932,0.251254,0.646833,17.125494,average
164517,0.156661,0.003524,0.388509,0.047919,0.157795,17.319328,average
227924,0.06959,0.011285,0.937561,0.020311,0.197533,17.252645,average
332837,0.032467,0.010778,1.095349,0.176277,0.393494,16.230977,average
354770,0.154813,0.006509,0.847695,0.009186,0.191911,16.167513,average
170895,0.143944,0.00753,0.931881,0.114432,0.303956,16.109084,average
313164,0.070827,0.014334,0.673963,0.032144,0.549063,19.889092,average
127311,0.015513,0.007116,0.483847,-0.15058,0.131281,18.073566,average
206646,0.050272,0.011323,0.987448,-0.082293,0.261447,18.696582,average
225465,0.134179,0.006847,0.456664,0.191288,0.605559,19.109065,average
120551,0.066325,0.002184,0.545542,-0.037449,0.047467,20.162869,average
309358,0.116123,0.011435,0.953488,-0.142955,0.308678,16.425742,average
212915,0.085838,0.002586,0.549813,0.160743,0.517647,21.283523,average
148739,0.067831,0.011314,0.632981,0.004475,0.129738,19.223979,average
161988,0.02507,0.016108,0.31206,0.149554,0.060306,19.392702,average
298813,0.062491,0.001081,0.466752,-0.018146,0.24851,18.752449,average
331993,0.031161,0.014483,0.760767,-0.058562,0.249323,16.714767,average
142189,0.1058,0.017491,0.868494,0.108962,0.343379,18.500914,average
224833,0.059496,0.017395,0.897349,-0.034596,0.351313,17.477994,average
228629,0.16168,0.016382,0.884036,0.165046,0.502044,18.234787,average
364880,0.109282,0.000714,0.373938,-0.089365,0.604284,19.239487,average
238555,0.113284,0.007446,0.999848,-0.132263,0.567377,19.888539,average
132533,0.157993,0.003221,0.377139,-0.032017,0.05415,20.108353,average
215755,0.142293,0.0173,0.290701,0.123145,0.098555,17.397173,average
342035,0.049497,0.002415,0.649867,-0.084915,0.640019,18.719463,average
223651,0.143413,0.013109,1.017289,0.176082,0.444857,19.452038,average
141779,0.030199,0.003333,1.001596,0.207163,0.481113,20.752155,average
402279,0.072973,0.015075,0.319067,0.23872,0.192043,15.828656,average
368008,0.029828,0.009305,0.778459,-0.064881,0.612642,16.879499,average
384254,0.127529,0.011653,0.696106,0.198976,0.309287,19.508351,average
273735,0.019412,0.002564,1.055529,0.126455,0.509965,16.240593,average
334128,0.112158,0.013453,0.812098,0.175803,0.284155,20.75309,average
297296,0.16384,0.011398,1.157303,0.238945,0.529377,17.949867,average
349274,0.16712,0.012588,0.63211,-0.111542,0.131121,17.922557,average
184822,0.080471,0.002431,1.150349,0.19091,0.19567,18.870914,average
145463,0.010661,0.005587,1.140774,0.15178,0.265419,19.452408,average
100868,0.094467,0.002301,0.686616,0.177599,0.234407,18.775424,bad
218150,0.020253,-0.001409,0.712263,0.170991,0.048688,17.967745,bad
268779,0.089581,0.003468,0.475952,0.185527,0.336264,17.356084,bad
114532,0.038634,1.2e-05,0.512081,0.121357,0.084792,16.665332,bad
233465,0.024152,0.006433,0.652523,0.135137,0.236902,19.958542,bad
196016,0.075616,0.005057,0.462001,0.207602,0.33459,20.933816,bad
162290,0.052894,-0.000492,0.70219,0.115793,0.126784,20.800016,bad
158990,0.068842,0.002483,0.473237,0.215199,0.34852,19.136994,bad
157497,0.065319,0.005456,0.456054,0.167249,0.082306,17.019957,bad
245908,0.020517,0.007833,0.459384,0.070007,0.256863,15.683727,bad
320937,0.060698,0.006841,0.576207,0.111832,0.2901,19.331233,bad
338209,0.04546,0.00083,0.572525,0.132483,0.053319,17.751034,bad
336116,0.081378,0.002618,0.558109,0.108169,0.279694,20.58261,bad
291779,0.066156,0.007791,0.717526,0.148923,0.203384,17.997493,bad
321009,0.032707,0.003806,0.711285,0.082067,0.297323,20.026198,bad
243758,0.086593,0.004113,0.530874,0.066767,0.220988,18.883887,bad
368420,0.046233,0.000828,0.529652,0.212291,0.424246,19.907564,bad
338791,0.050419,0.003569,0.698481,0.144863,0.388729,18.957782,bad
160945,0.063896,0.002452,0.587351,0.146105,0.154878,20.09749,bad
249736,0.030543,0.006855,0.537169,0.214838,0.310143,19.284179,bad
320482,0.020316,0.003157,0.643994,0.128643,0.150801,20.280907,bad
137085,0.087822,0.000841,0.473108,0.196042,0.278727,18.236974,bad
212636,0.074392,0.00188,0.618678,0.114108,0.169016,18.735669,bad
308850,0.044926,0.006326,0.58763,0.132461,0.058179,18.700997,bad
357276,0.075504,0.004128,0.48264,0.181306,0.333371,17.520976,bad
101258,0.042691,0.003419,0.539491,0.178711,0.306682,16.063348,bad
252465,0.097399,0.008161,0.529144,0.109995,0.399788,15.897298,bad
217913,0.068086,0.00799,0.52348,0.059112,0.206803,17.071412,bad
370150,0.039343,0.007216,0.467413,0.052511,0.303831,17.804676,bad
384464,0.023722,0.008058,0.57351,0.143409,0.337548,20.744225,bad
371066,0.02044,0.0079,0.649158,0.182358,0.211453,15.942487,bad
199416,0.098799,0.007518,0.526092,0.163743,0.234403,18.724057,bad
283458,0.020485,0.008167,0.458848,0.215912,0.158903,15.985879,bad
385669,0.061736,0.002406,0.638757,0.221303,0.310916,19.348247,bad
336026,0.077333,0.000549,0.642499,0.151297,0.320062,19.796861,bad
282037,0.035943,0.006398,0.61493,0.162146,0.085156,17.153237,bad
140867,0.071172,0.001623,0.720073,0.179225,0.403225,19.641944,bad
187234,0.039679,0.000396,0.508504,0.116948,0.370127,19.094413,bad
158597,0.093027,0.003869,0.722993,0.208993,0.192571,17.976093,bad
205746,0.027065,0.006368,0.565824,0.1691,0.350908,19.72131,bad
394876,0.064725,0.002246,0.457289,0.129687,0.422933,21.172058,bad
381335,0.045277,0.007397,0.597056,0.157082,0.247596,15.64475,bad
394917,0.07485,0.005007,0.574484,0.081122,0.244239,17.035072,bad
301329,0.089235,0.001403,0.634338,0.177687,0.067925,16.809533,bad
300631,0.075784,0.004504,0.567791,0.055653,0.265701,19.921978,bad
325299,0.055939,0.004424,0.575704,0.159032,0.043074,17.444426,bad
206917,0.067217,0.00277,0.58163,0.058958,0.106148,18.887838,bad
366180,0.092924,0.000715,0.719453,0.124846,0.398277,19.379984,bad
387943,0.09452,0.000623,0.62858,0.133046,0.14685,19.010235,bad
168163,0.030021,-0.000547,0.526907,0.124315,0.221898,15.964791,bad
348791,0.049858,0.007296,0.707532,0.111832,0.288968,20.615118,bad
252055,0.040642,0.00025,0.693022,0.096362,0.299634,16.179047,bad
201418,0.068677,0.006803,0.707485,0.215422,0.135911,21.058137,bad
391661,0.089884,0.005548,0.479541,0.125004,0.194436,15.641573,bad
321475,0.061566,0.001128,0.687864,0.143924,0.371848,17.179776,bad
281793,0.083904,-0.000869,0.556757,0.061533,0.298114,20.474208,bad
260176,0.021454,0.007807,0.688388,0.179911,0.03884,16.927611,bad
347450,0.029794,0.004674,0.631271,0.118755,0.107838,17.583116,bad
274252,0.091126,0.006821,0.545613,0.184486,0.118944,15.821355,bad
296083,0.022992,0.004206,0.648957,0.199199,0.382313,15.958299,bad
180013,0.049445,-0.001105,0.545766,0.088873,0.181419,15.811194,bad
173054,0.0512,0.000765,0.680071,0.083337,0.303661,20.453719,bad
169888,0.018336,0.007848,0.637821,0.188898,0.194349,21.238314,bad
275824,0.049099,0.004979,0.52635,0.222477,0.289576,20.549405,bad
393238,0.089233,0.00092,0.461707,0.218292,0.025356,19.039187,bad
259234,0.085546,0.005996,0.553989,0.102825,0.045756,17.6728,bad
346638,0.027007,0.007599,0.712383,0.188999,0.28272,17.913211,bad
171900,0.071224,0.002709,0.583114,0.120381,0.351398,18.437526,bad
139731,0.088207,0.000171,0.457101,0.212974,0.211529,17.698844,bad
224090,0.031419,0.003989,0.556923,0.222517,0.102245,18.78028,bad
139206,0.03125,0.003866,0.518446,0.098637,0.144964,16.315785,bad
315205,0.022045,-0.000732,0.482941,0.168617,0.362187,16.72685,bad
175626,0.081398,-0.000619,0.610434,0.196635,0.36978,20.648923,bad
133725,0.020878,0.005162,0.654781,0.204859,0.312421,17.689129,bad
360106,0.092578,0.000805,0.608713,0.185258,0.419735,17.603713,bad
298243,0.018528,0.00611,0.644975,0.075489,0.12676,20.925977,bad
330910,0.065532,-0.000407,0.692748,0.103429,0.401676,17.168974,bad
255130,0.06889,0.004773,0.583957,0.148919,0.387543,20.543504,bad
372921,0.078246,0.0013,0.576356,0.198034,0.189721,20.585745,bad
170090,0.047571,0.002628,0.514565,0.211144,0.122809,16.936211,bad
134398,0.023499,0.002961,0.45981,0.207942,0.400257,18.923817,bad
228283,0.089707,0.003902,0.496168,0.056023,0.414393,16.463374,bad
366386,0.031399,0.006308,0.53484,0.140682,0.023897,19.038047,bad
317933,0.052559,0.001385,0.502997,0.206179,0.034118,20.474018,bad
247987,0.042593,0.003126,0.469829,0.077095,0.272752,15.863026,bad
310656,0.071791,-0.001084,0.604153,0.082374,0.381538,16.745411,bad
204507,0.063825,0.002598,0.62125,0.152177,0.048214,16.281842,bad
399817,0.045998,0.007477,0.590197,0.149857,0.408761,16.553768,bad
400855,0.074747,0.007915,0.71862,0.071736,0.183498,20.455,bad
275940,0.058322,0.004578,0.686612,0.123097,0.419835,19.273547,bad
110080,0.041383,-0.000654,0.528019,0.105777,0.103961,20.803786,bad
280041,0.096968,0.008074,0.56943,0.146405,0.260257,15.590684,bad
399828,0.057173,0.00776,0.592534,0.1657,0.376048,18.094555,bad
298244,0.038365,0.001593,0.560267,0.052132,0.344656,18.875072,bad
207779,0.054205,0.008262,0.584471,0.065031,0.394369,19.37598,bad
372716,0.076088,-0.001356,0.513501,0.101581,0.244283,18.006957,bad
191269,0.028023,0.003961,0.589877,0.223053,0.305779,15.684343,bad
355685,0.04636,3.1e-05,0.531786,0.105294,0.245594,19.809856,bad
175869,0.092577,0.002249,0.665901,0.112403,0.202698,20.623383,bad
106817,0.031202,-0.001475,0.548442,0.158841,0.242671,18.253202,bad
101969,0.041745,0.003929,0.546755,0.12877,0.348842,15.540874,bad
123432,0.039465,0.002329,0.69716,0.085493,0.027169,16.113601,bad
192768,0.057453,0.000479,0.62954,0.064294,0.223476,16.501641,bad
313693,0.070566,-0.00014,0.72455,0.089717,0.144749,19.902285,bad
190715,0.074903,0.006004,0.57529,0.184969,0.380733,19.630549,bad
141934,0.088373,0.00087,0.452323,0.129102,0.39472,19.472007,bad
287925,0.072425,0.005481,0.585085,0.152113,0.060842,17.254031,bad
281271,0.093363,-0.001076,0.620228,0.154596,0.219559,17.355338,bad
215500,0.063255,0.006103,0.535553,0.196525,0.432892,17.747289,bad
120389,0.018076,0.008051,0.555695,0.140939,0.203939,19.899674,bad
334202,0.093785,-0.001007,0.599826,0.095016,0.266186,20.077445,bad
230969,0.028545,0.003467,0.455583,0.118031,0.222014,20.69221,bad
230040,0.036141,3.1e-05,0.639722,0.179108,0.152975,20.339361,bad
299117,0.084068,0.002104,0.477914,0.078106,0.181946,18.831774,bad
169590,0.036301,0.000157,0.639612,0.142588,0.041497,19.196534,bad
373151,0.08493,0.000683,0.714515,0.129325,0.292863,17.903952,bad
128542,0.093379,0.002738,0.632089,0.072227,0.31353,21.09929,bad
373557,0.090389,0.005031,0.672286,0.206862,0.043214,16.443771,bad
262411,0.062774,0.002503,0.722004,0.131903,0.186936,18.180009,bad
135324,0.088467,0.00669,0.477672,0.053441,0.072582,16.018529,bad
215114,0.027318,0.007016,0.714426,0.18652,0.309412,20.854077,bad
366373,0.069848,0.004406,0.593017,0.065029,0.136016,20.137517,bad
237886,0.028598,0.004417,0.653572,0.114054,0.30671,20.123858,bad
251094,0.087072,0.003383,0.607889,0.168303,0.199818,17.360946,bad
395209,0.064874,0.00611,0.597757,0.160366,0.327517,20.487589,bad
232081,0.069312,0.026594,0.6353,-0.012213,0.212817,18.699307,below_average
349488,0.208989,0.030824,0.443364,0.133524,0.325937,20.392109,below_average
395518,0.127865,0.017074,0.552217,0.123494,0.24581,16.037251,below_average
269013,0.215631,0.02803,0.661212,-0.033237,0.146741,17.034318,below_average
213171,0.062254,0.052224,0.556651,0.111373,0.603603,17.883012,below_average
328221,0.049201,0.010728,0.770361,0.181419,0.290726,18.395707,below_average
317243,0.246614,0.055558,0.352724,0.144346,0.386666,20.103442,below_average
328449,0.264332,0.010891,0.39446,0.045003,0.084418,20.800462,below_average
